バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			背中を見て学べ							
他のクラスを学ぶためには、最初に選んだバトルクラスのレベル10クラスクエストを完了する必要があります。			他のクラスを学ぶためには、最初に選んだバトルクラスのレベル10クラスクエストを完了する必要があります。			槍術士になるには？							
……かしこまりました。では、我が「槍術士ギルド」について、簡単にご紹介いたしましょう。			……かしこまりました。では、我が「槍術士ギルド」について、簡単にご紹介いたしましょう。			槍術士になるには？							
槍は、武器であると同時に狩りの道具でもある……。狩猟が盛んな黒衣森では、グリダニアの建国以前から、槍術が身近なものであったと伝えられています。			槍は、武器であると同時に狩りの道具でもある……。狩猟が盛んな黒衣森では、グリダニアの建国以前から、槍術が身近なものであったと伝えられています。			槍術士になるには？							
特に槍を主武器とするレンジャー部隊、「鬼哭隊」の武名が轟くようになると、各地より腕試しをすべく、豪傑が集うようになったそうです。			特に槍を主武器とするレンジャー部隊、「鬼哭隊」の武名が轟くようになると、各地より腕試しをすべく、豪傑が集うようになったそうです。			槍術士になるには？							
こうしてエオルゼア中の槍術の技が、ここグリダニアで相対し、やがて融合していったのです。			こうしてエオルゼア中の槍術の技が、ここグリダニアで相対し、やがて融合していったのです。			槍術士になるには？							
特に100年ほど前に、元鬼哭隊隊長ミスタルにより道場として「槍術士ギルド」が開かれたことで、槍術の体系化が加速しました。			特に100年ほど前に、元鬼哭隊隊長ミスタルにより道場として「槍術士ギルド」が開かれたことで、槍術の体系化が加速しました。			槍術士になるには？							
槍術の継承と発展のため、グリダニア内外から門下生を募る伝統は、今現在まで受け継がれています。			槍術の継承と発展のため、グリダニア内外から門下生を募る伝統は、今現在まで受け継がれています。			槍術士になるには？							
……いかがでしょう。槍術士ギルドについて、おわかりいただけたでしょうか。			……いかがでしょう。槍術士ギルドについて、おわかりいただけたでしょうか。			槍術士になるには？							
あなたが槍を極めたいとお考えでしたら、我がギルドへ入門し、指導を受けるとよいでしょう。			あなたが槍を極めたいとお考えでしたら、我がギルドへ入門し、指導を受けるとよいでしょう。			槍術士になるには？							
入門にあたって、私から手続きをご紹介いたします。心が決まりましたら、あらためて声をかけてください。			入門にあたって、私から手続きをご紹介いたします。心が決まりましたら、あらためて声をかけてください。			槍術士になるには？							
……冒険者よ。「幻術士ギルド」へ、ようこそお越しくださいました。			……冒険者よ。「幻術士ギルド」へ、ようこそお越しくださいました。			幻術士になるには？							
世界に満つる土、風、水の力を借り、生命の守護と癒しを司る魔法……幻術。ここは、幻術を教え正しくあるよう導く場所。			世界に満つる土、風、水の力を借り、生命の守護と癒しを司る魔法……幻術。ここは、幻術を教え正しくあるよう導く場所。			幻術士になるには？							
幻術を習得し、幻術士となりたいのでしたら、我がギルドに所属して手ほどきを受けるとよいでしょう。幻術士ギルドへの入門を希望されますか？			幻術を習得し、幻術士となりたいのでしたら、我がギルドに所属して手ほどきを受けるとよいでしょう。幻術士ギルドへの入門を希望されますか？			幻術士になるには？							
