小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			追われた巡業一座							
許してくれ、友よ。私はきみの存在を後世に伝えようとはしなかった。それこそが、ラムザ……きみの願いだと知ってたから。			許してくれ、友よ。私はきみの存在を後世に伝えようとはしなかった。それこそが、ラムザ……きみの願いだと知ってたから。			楽欲の僧院 オーボンヌ							
だが、親友のきみを忘れたことは一度もない。今日まで本当にありがとう。さぁ、共に旅立とう、母なるハイデリンのもとへ……。			だが、親友のきみを忘れたことは一度もない。今日まで本当にありがとう。さぁ、共に旅立とう、母なるハイデリンのもとへ……。			楽欲の僧院 オーボンヌ							
おかえりなさいませ。……ようやく胸をなで下ろすことができますね。そして、この冒険の旅もいよいよ……。			おかえりなさいませ。……ようやく胸をなで下ろすことができますね。そして、この冒険の旅もいよいよ……。			楽欲の僧院 オーボンヌ							
ゼノスを討ちドマを解放した……というのは本当だったのだな。私は貴殿を侮っていたようだ、……失礼した、謝罪しよう。すまなかった。			ゼノスを討ちドマを解放した……というのは本当だったのだな。私は貴殿を侮っていたようだ、……失礼した、謝罪しよう。すまなかった。			楽欲の僧院 オーボンヌ							
そして、我が故郷に巣くうあの悪魔を退治してくれたことに、我が一族に成り代わり礼を言おう。ありがとう、深く感謝する……。			そして、我が故郷に巣くうあの悪魔を退治してくれたことに、我が一族に成り代わり礼を言おう。ありがとう、深く感謝する……。			楽欲の僧院 オーボンヌ							
やったナ……さすがだゼ、アンタはやっぱスゲェや……。兄貴も……バッガモナンの兄貴も喜んでるだろうゼ……。ありがとナ……。			やったナ……さすがだゼ、アンタはやっぱスゲェや……。兄貴も……バッガモナンの兄貴も喜んでるだろうゼ……。ありがとナ……。			楽欲の僧院 オーボンヌ							
最後の最後まで貴女貴方には本当にお世話になりました。この命を救っていただいたこと、一生、忘れはしません！			最後の最後まで貴女貴方には本当にお世話になりました。この命を救っていただいたこと、一生、忘れはしません！			楽欲の僧院 オーボンヌ							
兄さんを救い出していただき本当にありがとうございます！冒険者さんには、なんてお礼を申し上げればよいのか……。			兄さんを救い出していただき本当にありがとうございます！冒険者さんには、なんてお礼を申し上げればよいのか……。			楽欲の僧院 オーボンヌ							
そうか、そうか、聖石を生み出す悪魔のヤローを倒したンだナ！さっすが光の戦士様っていったところカナ！！……兄貴の弔い合戦もこれでオシマイだ。			そうか、そうか、聖石を生み出す悪魔のヤローを倒したンだナ！さっすが光の戦士様っていったところカナ！！……兄貴の弔い合戦もこれでオシマイだ。			楽欲の僧院 オーボンヌ							
……ありがとネ、バッガモナン兄貴の仇を討ってくレテ。聖石がなければ兄貴もああはならなかっただろうし、アンタも兄貴を討つ必要はなかったはすだからネ……。			……ありがとネ、バッガモナン兄貴の仇を討ってくレテ。聖石がなければ兄貴もああはならなかっただろうし、アンタも兄貴を討つ必要はなかったはすだからネ……。			楽欲の僧院 オーボンヌ							
おかえりなさいっ！ラムザくんも冒険者さんも、み～んなご無事でホント良かった！あ、ごめんなさい……涙が……。			おかえりなさいっ！ラムザくんも冒険者さんも、み～んなご無事でホント良かった！あ、ごめんなさい……涙が……。			楽欲の僧院 オーボンヌ							
勇者ラムザと英雄王ディリータに会ったクポ！嘘じゃないクポ！　本当だクポ！一生に一度の経験だったクポ！！			勇者ラムザと英雄王ディリータに会ったクポ！嘘じゃないクポ！　本当だクポ！一生に一度の経験だったクポ！！			楽欲の僧院 オーボンヌ							
兄ちゃんが嘘ついてるなんて思ってないクポ～。もっと詳しい話を聞かせて欲しいクポ！他の兄弟たちもみんな聞きたがる冒険譚だクポ！！			兄ちゃんが嘘ついてるなんて思ってないクポ～。もっと詳しい話を聞かせて欲しいクポ！他の兄弟たちもみんな聞きたがる冒険譚だクポ！！			楽欲の僧院 オーボンヌ							
おまえが無事に戻ってくれて本当に嬉しく思う……。すまなかったな、ラムザ、アルマ。私の我が儘におまえたちを巻き込んでしまった……。			おまえが無事に戻ってくれて本当に嬉しく思う……。すまなかったな、ラムザ、アルマ。私の我が儘におまえたちを巻き込んでしまった……。			楽欲の僧院 オーボンヌ							
父さん、もう大丈夫。……すべては終わったのだから。			父さん、もう大丈夫。……すべては終わったのだから。			楽欲の僧院 オーボンヌ							
デュライ白書はたしかに真実の書でしたね、父さん……。ボクらはオーランが愚かな異端者でないことを確認できました。あとはこれをどうやって世に知らしめるか……。			デュライ白書はたしかに真実の書でしたね、父さん……。ボクらはオーランが愚かな異端者でないことを確認できました。あとはこれをどうやって世に知らしめるか……。			楽欲の僧院 オーボンヌ							
