メワヘイゾーンのコーナは、ロネークの世話に夢中のようだ。			メワヘイゾーンのコーナは、ロネークの世話に夢中のようだ。			王の家族							
コーナ兄さんとアタシ、つまりトライヨラの連王から、Forenameに話しておきたいことがあってな。よかったら、今から王宮まで来てくれねぇか？			コーナ兄さんとアタシ、つまりトライヨラの連王から、Forenameに話しておきたいことがあってな。よかったら、今から王宮まで来てくれねぇか？			アレクサンドリアからの報せ							
ありがてぇ、それじゃ用事が終わったら王宮まで来てくれ。「勇連隊の衛兵」が案内してくれるはずだ。			ありがてぇ、それじゃ用事が終わったら王宮まで来てくれ。「勇連隊の衛兵」が案内してくれるはずだ。			アレクサンドリアからの報せ							
すまねぇ。コーナ兄さんが席を外しちまったみたいだ……。			すまねぇ。コーナ兄さんが席を外しちまったみたいだ……。			アレクサンドリアからの報せ							
ようこそ、Forename様。コーナ様に緊急の案件が入ってしまったため、恐れ入りますが、お見えになるまでしばし中でお待ちください。			ようこそ、Forename様。コーナ様に緊急の案件が入ってしまったため、恐れ入りますが、お見えになるまでしばし中でお待ちください。			アレクサンドリアからの報せ							
「金凰の間」へ移動しますか？			「金凰の間」へ移動しますか？			アレクサンドリアからの報せ							
おっ、お前らも来てくれたんだな。			おっ、お前らも来てくれたんだな。			アレクサンドリアからの報せ							
ええ、コーナに招集されたのよ。……まあ、そうでなくても、最近はしょっちゅう彼と顔を合わせてるんだけど。			ええ、コーナに招集されたのよ。……まあ、そうでなくても、最近はしょっちゅう彼と顔を合わせてるんだけど。			アレクサンドリアからの報せ							
国交を結んだラザハンとの関係を、より強固なものとするため、かの国の文化やあり方を学びたい……そう請われれば、断るわけにはいかないさ。			国交を結んだラザハンとの関係を、より強固なものとするため、かの国の文化やあり方を学びたい……そう請われれば、断るわけにはいかないさ。			アレクサンドリアからの報せ							
オレとクルルも、理王に呼ばれたんだ。それまではバルデシオン委員会の仕事を……黄金郷に関する情報をまとめててさ。			オレとクルルも、理王に呼ばれたんだ。それまではバルデシオン委員会の仕事を……黄金郷に関する情報をまとめててさ。			アレクサンドリアからの報せ							
20年前、ガラフおじいちゃんが引き受けた「黄金郷の調査」。それを受け継ぐかたちで、報告書を作成してるところよ。			20年前、ガラフおじいちゃんが引き受けた「黄金郷の調査」。それを受け継ぐかたちで、報告書を作成してるところよ。			アレクサンドリアからの報せ							
ちなみにサンクレッドとウリエンジェは、トラル大陸を巡る旅を続けるとかで、この街を離れたわ。			ちなみにサンクレッドとウリエンジェは、トラル大陸を巡る旅を続けるとかで、この街を離れたわ。			アレクサンドリアからの報せ							
それからヤ・シュトラも、世界を超える方法を究明するために、黄金郷の扉と、リビング・メモリーを調べるって。何日か前に、コーナに許可をもらいにきてたの。			それからヤ・シュトラも、世界を超える方法を究明するために、黄金郷の扉と、リビング・メモリーを調べるって。何日か前に、コーナに許可をもらいにきてたの。			アレクサンドリアからの報せ							
