漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			海の流星							
……とまあ、えらく頑固でねえ、こいつ。海に生きる種族だからって、お高くとまってさ。私たち釣り道楽の方が、魚を獲る技術や、知識は豊富なのに！			……とまあ、えらく頑固でねえ、こいつ。海に生きる種族だからって、お高くとまってさ。私たち釣り道楽の方が、魚を獲る技術や、知識は豊富なのに！			釣り道楽との再会							
フスィーッ……サハギン族を侮辱するつもりか！？よかろう、貴様らが俺よりうまく魚が獲れると証明できるなら、その主張を聞き入れてやる！			フスィーッ……サハギン族を侮辱するつもりか！？よかろう、貴様らが俺よりうまく魚が獲れると証明できるなら、その主張を聞き入れてやる！			釣り道楽との再会							
なら、このベロジナ川に棲む魚、「ダークベロジナカープ」を、どっちが先に、3匹釣り上げられるか勝負よ！漁師の腕、たっぷり見せてあげようじゃないか。			なら、このベロジナ川に棲む魚、「ダークベロジナカープ」を、どっちが先に、3匹釣り上げられるか勝負よ！漁師の腕、たっぷり見せてあげようじゃないか。			釣り道楽との再会							
……まさか、こんな簡単な挑発に引っかかるなんてねえ。そいじゃ、「ダークベロジナカープ」を釣り上げるのは頼んだよ！			……まさか、こんな簡単な挑発に引っかかるなんてねえ。そいじゃ、「ダークベロジナカープ」を釣り上げるのは頼んだよ！			釣り道楽との再会							
いやー、さすがにあたしの腕じゃサハギン族には勝てないよ。なに、海に生きるあいつらも、川での漁となれば勝手が違うさ。あんたなら、きっと楽勝だって！			いやー、さすがにあたしの腕じゃサハギン族には勝てないよ。なに、海に生きるあいつらも、川での漁となれば勝手が違うさ。あんたなら、きっと楽勝だって！			釣り道楽との再会							
釣り場の適応力なら、あたしら釣り道楽の方が上だろう。ゴォヴが、ベロジナ川での漁に手間取っている隙に、「ダークベロジナカープ」を、3匹釣り上げちまいな！			釣り場の適応力なら、あたしら釣り道楽の方が上だろう。ゴォヴが、ベロジナ川での漁に手間取っている隙に、「ダークベロジナカープ」を、3匹釣り上げちまいな！			釣り道楽との再会							
ゴォヴも、川で魚を獲るのには慣れてないだろう。あいつより先に、「ダークベロジナカープ」を、3匹、ベロジナ川で釣り上げるんだ！			ゴォヴも、川で魚を獲るのには慣れてないだろう。あいつより先に、「ダークベロジナカープ」を、3匹、ベロジナ川で釣り上げるんだ！			釣り道楽との再会							
おつかれさま！　さすがの早業だったね！それじゃ、ゴォヴを呼んでこようじゃないか！			おつかれさま！　さすがの早業だったね！それじゃ、ゴォヴを呼んでこようじゃないか！			釣り道楽との再会							
さあ、Forenameはきっちり釣り上げたよ！ゴォヴは……残念ながら駄目だったみたいだねえ。			さあ、Forenameはきっちり釣り上げたよ！ゴォヴは……残念ながら駄目だったみたいだねえ。			釣り道楽との再会							
フスィーッ……海との違いに手間取り、うまく魚を探せなかった。まさか、こうも短時間で狙いの魚を釣り上げてみせるとは……。ワワラゴ親分以外にも、これだけの腕を持つヒトがいたのか。			フスィーッ……海との違いに手間取り、うまく魚を探せなかった。まさか、こうも短時間で狙いの魚を釣り上げてみせるとは……。ワワラゴ親分以外にも、これだけの腕を持つヒトがいたのか。			釣り道楽との再会							
さ、頭は冷えたみたいだね。それじゃ、あたしの言うことを聞いてもらうよ！			さ、頭は冷えたみたいだね。それじゃ、あたしの言うことを聞いてもらうよ！			釣り道楽との再会							
むう、確かにそういう約束だが……何故そう言い切れるのだ？「海の流星」が姿を消したのは、この川から海に流れる、青燐水が原因に違いないと信じていたのだが……。			むう、確かにそういう約束だが……何故そう言い切れるのだ？「海の流星」が姿を消したのは、この川から海に流れる、青燐水が原因に違いないと信じていたのだが……。			釣り道楽との再会							
言い切れるのは、私がその魚について聞いたことがあるからさ。ここではない、もっと東方の地で……！			言い切れるのは、私がその魚について聞いたことがあるからさ。ここではない、もっと東方の地で……！			釣り道楽との再会							
あたしの本業は暗殺者でね、仕事のため各地を飛び回っては、その合間に、方々で釣りを楽しんできたのさ。もちろん、地元の漁師たちと話すことも多くてね……。			あたしの本業は暗殺者でね、仕事のため各地を飛び回っては、その合間に、方々で釣りを楽しんできたのさ。もちろん、地元の漁師たちと話すことも多くてね……。			釣り道楽との再会							
