アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			弱き者の底意地							
そうすれば、土属性の力が強まり、ひび割れの拡大を防ぐことができるという寸法じゃな。			そうすれば、土属性の力が強まり、ひび割れの拡大を防ぐことができるという寸法じゃな。			ひび割れた家							
この家は、かつての石切場跡でのう……。石を切り出した穴を、誰かが休憩所として使い始め、それがいつしか家となり……集落となったそうじゃ。			この家は、かつての石切場跡でのう……。石を切り出した穴を、誰かが休憩所として使い始め、それがいつしか家となり……集落となったそうじゃ。			ひび割れた家							
私の爺さんの爺さんも、この家に住んでおったそうな。さあ、昔話は、ここらで終いとしておくかの。あらためて礼を言うぞ、お前さん。			私の爺さんの爺さんも、この家に住んでおったそうな。さあ、昔話は、ここらで終いとしておくかの。あらためて礼を言うぞ、お前さん。			ひび割れた家							
アラガーナのヒッデン・ハースは、力ある若者を探しているようだ。			アラガーナのヒッデン・ハースは、力ある若者を探しているようだ。			畑仕事の必需品							
苦土石灰の麻袋を入手			苦土石灰の麻袋を入手			畑仕事の必需品							
ベント・フロンドに苦土石灰の麻袋を渡す			ベント・フロンドに苦土石灰の麻袋を渡す			畑仕事の必需品							
指定地点に苦土石灰の麻袋を使う			指定地点に苦土石灰の麻袋を使う			畑仕事の必需品							
ベント・フロンドに報告			ベント・フロンドに報告			畑仕事の必需品							
ねえ、そこのあなた。手間賃を払うから、力仕事を頼んでもいいかしら？荷車が壊れて、困っているのよ。			ねえ、そこのあなた。手間賃を払うから、力仕事を頼んでもいいかしら？荷車が壊れて、困っているのよ。			畑仕事の必需品							
崖の上の資材置き場に「苦土石灰の麻袋」が4袋あるわ。それを、バイロンズブレッドで畑仕事をしている、私の姉「ベント・フロンド」に届けてちょうだい。			崖の上の資材置き場に「苦土石灰の麻袋」が4袋あるわ。それを、バイロンズブレッドで畑仕事をしている、私の姉「ベント・フロンド」に届けてちょうだい。			畑仕事の必需品							
資材置き場に「苦土石灰の麻袋」が4袋あるわ。それを、バイロンズブレッドの「ベント・フロンド」に届けてね。御礼は、彼女から受け取ってちょうだい。			資材置き場に「苦土石灰の麻袋」が4袋あるわ。それを、バイロンズブレッドの「ベント・フロンド」に届けてね。御礼は、彼女から受け取ってちょうだい。			畑仕事の必需品							
私に何か用かしら？			私に何か用かしら？			畑仕事の必需品							
まあ、ありがとう。妹に頼まれて、苦土石灰の麻袋を運んでくれたのね。			まあ、ありがとう。妹に頼まれて、苦土石灰の麻袋を運んでくれたのね。			畑仕事の必需品							
ねえ、お疲れのところ、悪いんだけど、ついでに苦土石灰を畑に撒いてくれないかしら？荷運びの御礼に色を付けるから。			ねえ、お疲れのところ、悪いんだけど、ついでに苦土石灰を畑に撒いてくれないかしら？荷運びの御礼に色を付けるから。			畑仕事の必需品							
あなたが運んでくれた「苦土石灰の麻袋」を開けて、畑にまんべんなく撒いてくれればいいの。それじゃ、お願いね。			あなたが運んでくれた「苦土石灰の麻袋」を開けて、畑にまんべんなく撒いてくれればいいの。それじゃ、お願いね。			畑仕事の必需品							
姉に苦土石灰の麻袋を届けてくれたのね。助かったわ、ありがとう。御礼は姉から受け取ってね。			姉に苦土石灰の麻袋を届けてくれたのね。助かったわ、ありがとう。御礼は姉から受け取ってね。			畑仕事の必需品							
あなたが運んでくれた「苦土石灰の麻袋」を開けて、畑にまんべんなく撒いてくれればいいの。それじゃ、お願いね。			あなたが運んでくれた「苦土石灰の麻袋」を開けて、畑にまんべんなく撒いてくれればいいの。それじゃ、お願いね。			畑仕事の必需品							
おつかれさま。あなたのおかげで、助かったわ。はい、これが約束していた御礼よ。			おつかれさま。あなたのおかげで、助かったわ。はい、これが約束していた御礼よ。			畑仕事の必需品							
