宝杖通りのナシュは、何か手伝ってほしいようだ。			宝杖通りのナシュは、何か手伝ってほしいようだ。			事件屋を探せ							
実に鮮やかな戦いブリ！冷たく凍った心臓が、動き出しそうになるくらい熱くなりマシタ！			実に鮮やかな戦いブリ！冷たく凍った心臓が、動き出しそうになるくらい熱くなりマシタ！			のこされた手がかり							
あ～、やっぱり！ヒルディブランド様、発見です～！			あ～、やっぱり！ヒルディブランド様、発見です～！			のこされた手がかり							
こんな寒いところで寝てたら、風邪ひきますよ！さあ、引っこ抜きましょう～！			こんな寒いところで寝てたら、風邪ひきますよ！さあ、引っこ抜きましょう～！			のこされた手がかり							
オオオオオオ……！			オオオオオオ……！			のこされた手がかり							
う～ん、びくともしません！			う～ん、びくともしません！			のこされた手がかり							
危うく、私の腐った腕が、もげるところでしたヨ……。			危うく、私の腐った腕が、もげるところでしたヨ……。			のこされた手がかり							
どうしたんです？何か見つけたんですか？			どうしたんです？何か見つけたんですか？			のこされた手がかり							
う、うわぁっ！し、し、し……死んでる！！異端者が死んでるううううううう！！			う、うわぁっ！し、し、し……死んでる！！異端者が死んでるううううううう！！			のこされた手がかり							
ヒルディブランド様は、異端者なんかじゃありません！それに、ぜったい死んでなんかいません！ちょっと休んでるだけですよ～！			ヒルディブランド様は、異端者なんかじゃありません！それに、ぜったい死んでなんかいません！ちょっと休んでるだけですよ～！			のこされた手がかり							
ホーウ、我が息子よ、こんなところにいたとは！では、私が試してみるとしましょう！			ホーウ、我が息子よ、こんなところにいたとは！では、私が試してみるとしましょう！			のこされた手がかり							
フンッ！			フンッ！			のこされた手がかり							
マンダヴィィィル・メテオストラィィィィク！			マンダヴィィィル・メテオストラィィィィク！			のこされた手がかり							
ホーーーーウ！再会の喜びのあまり、少々、力が入りすぎたようですな。			ホーーーーウ！再会の喜びのあまり、少々、力が入りすぎたようですな。			のこされた手がかり							
仕方ありません……では、改めて！			仕方ありません……では、改めて！			のこされた手がかり							
マンダヴィィィル・メテオドライヴゥゥ！			マンダヴィィィル・メテオドライヴゥゥ！			のこされた手がかり							
やりました～！ヒルディブランド様が抜けました～！			やりました～！ヒルディブランド様が抜けました～！			のこされた手がかり							
おや、みなさんおそろいで……。これはいったい、何の集まりですかな？			おや、みなさんおそろいで……。これはいったい、何の集まりですかな？			のこされた手がかり							
