特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			アジムステップの若き冒険者							
カーンチャナと話した。彼女の家が空き巣に遭い、オグルが犯人を追っているようだ。イェドリマンで「オグル」を探そう。			カーンチャナと話した。彼女の家が空き巣に遭い、オグルが犯人を追っているようだ。イェドリマンで「オグル」を探そう。			オグルは恩義に報いたい							
オグルを見つけた。犯人の手がかりを探すために、イェドリマンで住民に聞き込みをしよう。			オグルを見つけた。犯人の手がかりを探すために、イェドリマンで住民に聞き込みをしよう。			オグルは恩義に報いたい							
住民に聞き込みをした。イェドリマンの「オグル」に報告しよう。			住民に聞き込みをした。イェドリマンの「オグル」に報告しよう。			オグルは恩義に報いたい							
オグルに報告した。窃盗犯の子どもの背後に、主犯の大人がいるらしい。問題を解決するには、主犯を見つけるほかなさそうだ。			オグルに報告した。窃盗犯の子どもの背後に、主犯の大人がいるらしい。問題を解決するには、主犯を見つけるほかなさそうだ。			オグルは恩義に報いたい							
イェドリマンのカーンチャナと話す			イェドリマンのカーンチャナと話す			オグルは恩義に報いたい							
カーンチャナと再度話す			カーンチャナと再度話す			オグルは恩義に報いたい							
オグルを探す			オグルを探す			オグルは恩義に報いたい							
住民に聞き込みを行う			住民に聞き込みを行う			オグルは恩義に報いたい							
オグルに報告			オグルに報告			オグルは恩義に報いたい							
準備できたみたいだな！こっちも、財布の中身を確認し終えたところだ。			準備できたみたいだな！こっちも、財布の中身を確認し終えたところだ。			オグルは恩義に報いたい							
船賃はどうにかなりそうだけど……食費その他を考えると、あとひと仕事かなぁ。よかったら、もう少しだけ付き合ってくれると助かる！			船賃はどうにかなりそうだけど……食費その他を考えると、あとひと仕事かなぁ。よかったら、もう少しだけ付き合ってくれると助かる！			オグルは恩義に報いたい							
イェドリマンに戻ったら報告も兼ねて、ほかに依頼がないか、「カーンチャナ」に聞いてみよう。どっちが早いか……競争だーっ！			イェドリマンに戻ったら報告も兼ねて、ほかに依頼がないか、「カーンチャナ」に聞いてみよう。どっちが早いか……競争だーっ！			オグルは恩義に報いたい							
Forename、おかえりなさい。ひと仕事終えたようだけれど……オグルは一緒じゃないの？			Forename、おかえりなさい。ひと仕事終えたようだけれど……オグルは一緒じゃないの？			オグルは恩義に報いたい							
お、お金……			お、お金……			オグルは恩義に報いたい							
お財布ごと、まるっとスられたぁ～！スリの犯人も見失って、完全に無一文のすかんぴん！うわああっ、今日の宿場代も飯代もないぞ！			お財布ごと、まるっとスられたぁ～！スリの犯人も見失って、完全に無一文のすかんぴん！うわああっ、今日の宿場代も飯代もないぞ！			オグルは恩義に報いたい							
うええ、お腹すいたよお……。			うええ、お腹すいたよお……。			オグルは恩義に報いたい							
あらあら、それは可哀相に……。私の家でよかったら、お泊まりなさいな。仕事もしっかり、終えてくれたみたいだしねえ。			あらあら、それは可哀相に……。私の家でよかったら、お泊まりなさいな。仕事もしっかり、終えてくれたみたいだしねえ。			オグルは恩義に報いたい							
ほ、ほんと……！？			ほ、ほんと……！？			オグルは恩義に報いたい							
ふふ、ようやく目線を合わせてくれた！少しは、アルカソーダラ族にも慣れてきた？			ふふ、ようやく目線を合わせてくれた！少しは、アルカソーダラ族にも慣れてきた？			オグルは恩義に報いたい							
涙でぼやけてるからだよぉ！依頼のおかげで、多少はマタンガ族と、同じ空気を吸うことに慣れてきたけど……。			涙でぼやけてるからだよぉ！依頼のおかげで、多少はマタンガ族と、同じ空気を吸うことに慣れてきたけど……。			オグルは恩義に報いたい							
