蒼天街のフランセルは、気になる人物を見かけたようだ。			蒼天街のフランセルは、気になる人物を見かけたようだ。			お得意様デュランデル伯爵							
紹介するよ、ロウェナ商会のアンナさんだ。蒼天街に安くて良いものを卸してくれる、外からの商人でさ。最近よく世話になってるんだ。			紹介するよ、ロウェナ商会のアンナさんだ。蒼天街に安くて良いものを卸してくれる、外からの商人でさ。最近よく世話になってるんだ。			お得意様エル・トゥ							
なぁに？　あなた、もしかしてロウェナ商会をご存知？開国したイシュガルドを支援するために出店している、優良商会へようこそ！			なぁに？　あなた、もしかしてロウェナ商会をご存知？開国したイシュガルドを支援するために出店している、優良商会へようこそ！			お得意様エル・トゥ							
お姉ちゃま、あなたも「ものづくり」ちまちゅの？			お姉ちゃま、あなたも「ものづくり」ちまちゅの？			お得意様エル・トゥ							
まぁまぁまぁ！ちっちゃくて可愛いドラゴン！いいえ私はものは作らないわ、取引をするだけ。			まぁまぁまぁ！ちっちゃくて可愛いドラゴン！いいえ私はものは作らないわ、取引をするだけ。			お得意様エル・トゥ							
このおチビちゃんたちが「ものづくり」を学びたいらしくてさ、英雄殿も手伝ってくれるらしいんだ。素材とかの工面を、お願いできねぇかな？			このおチビちゃんたちが「ものづくり」を学びたいらしくてさ、英雄殿も手伝ってくれるらしいんだ。素材とかの工面を、お願いできねぇかな？			お得意様エル・トゥ							
ふうん、人に友好的なドラゴンか……。未知の素材や、埋もれた古物の在処を知っていそうね。あの英雄もいることだし、先行投資といこうかしら……。			ふうん、人に友好的なドラゴンか……。未知の素材や、埋もれた古物の在処を知っていそうね。あの英雄もいることだし、先行投資といこうかしら……。			お得意様エル・トゥ							
それに、開国されたイシュガルドがどんどん発展していけば、いちはやく仲介していた商会の利益も上がる……。そしたら私の手柄も、スノーマン式に……！			それに、開国されたイシュガルドがどんどん発展していけば、いちはやく仲介していた商会の利益も上がる……。そしたら私の手柄も、スノーマン式に……！			お得意様エル・トゥ							
んふふふふ、いいわ、お姉さんが手伝ってあげる！入り用なものがあったら、いつでも言って。なんでも、すぐに用意しておくわ！			んふふふふ、いいわ、お姉さんが手伝ってあげる！入り用なものがあったら、いつでも言って。なんでも、すぐに用意しておくわ！			お得意様エル・トゥ							
あ、ありがとうございます……！			あ、ありがとうございます……！			お得意様エル・トゥ							
おチビちゃんを手伝う大人にも、報酬がほしいわよねぇ？そこの英雄さんには、ロウェナ商会からスクリップを支払うわ。だから、バリバリ手伝ってあげてちょうだい。			おチビちゃんを手伝う大人にも、報酬がほしいわよねぇ？そこの英雄さんには、ロウェナ商会からスクリップを支払うわ。だから、バリバリ手伝ってあげてちょうだい。			お得意様エル・トゥ							
良かったな、英雄殿！じゃあ、アンナさんも紹介できたことだし、「聖ロエル広場」に戻ろうか。			良かったな、英雄殿！じゃあ、アンナさんも紹介できたことだし、「聖ロエル広場」に戻ろうか。			お得意様エル・トゥ							
アンナさん、いい人だったろ？			アンナさん、いい人だったろ？			お得意様エル・トゥ							
優しいお兄さんとお姉さんと、英雄様が手伝ってくれて……すごく嬉しいです！			優しいお兄さんとお姉さんと、英雄様が手伝ってくれて……すごく嬉しいです！			お得意様エル・トゥ							
んふふふふ！信じられないような寒さを我慢してきたかいがあったわ！ようやく、商機が見えてきたじゃない！			んふふふふ！信じられないような寒さを我慢してきたかいがあったわ！ようやく、商機が見えてきたじゃない！			お得意様エル・トゥ							
