忘れられた騎士亭のシドゥルグは、真剣な様子だ。			忘れられた騎士亭のシドゥルグは、真剣な様子だ。			暗影に沈むエピローグ							
今後の「暗黒騎士」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「暗黒騎士」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			暗影に沈むエピローグ							
忘れられた騎士亭のシドゥルグは、冒険者に告げたいことがあるようだ。			忘れられた騎士亭のシドゥルグは、冒険者に告げたいことがあるようだ。			そしてふたつの名は消える							
シドゥルグから、決闘のときがきたことを知らされた。出立の前に、忘れられた騎士亭の「リエル」と話そう。			シドゥルグから、決闘のときがきたことを知らされた。出立の前に、忘れられた騎士亭の「リエル」と話そう。			そしてふたつの名は消える							
リエルの決意を聞いた。いよいよ決闘だ。クルザス西部高地のスレート連峰付近で「シドゥルグ」と合流しよう。			リエルの決意を聞いた。いよいよ決闘だ。クルザス西部高地のスレート連峰付近で「シドゥルグ」と合流しよう。			そしてふたつの名は消える							
シドゥルグとともに、イストリド率いる軍勢を退け、リエルを護りぬいた。忘れられた騎士亭に戻り、「シドゥルグ」と話そう。			シドゥルグとともに、イストリド率いる軍勢を退け、リエルを護りぬいた。忘れられた騎士亭に戻り、「シドゥルグ」と話そう。			そしてふたつの名は消える							
シドゥルグと話した。暗黒騎士の極意を己のものとしたシドゥルグと冒険者は、それぞれの護るべき者のため、これからも戦い続けていくようだ。そこに愛のある限り、彼らは挫かれることなく、進んでいくことだろう。※以下の条件を満たすと、忘れられた騎士亭のシドゥルグから、新たなジョブクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			シドゥルグと話した。暗黒騎士の極意を己のものとしたシドゥルグと冒険者は、それぞれの護るべき者のため、これからも戦い続けていくようだ。そこに愛のある限り、彼らは挫かれることなく、進んでいくことだろう。※以下の条件を満たすと、忘れられた騎士亭のシドゥルグから、新たなジョブクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			そしてふたつの名は消える							
リエルと話す			リエルと話す			そしてふたつの名は消える							
スレート連峰付近でシドゥルグと合流			スレート連峰付近でシドゥルグと合流			そしてふたつの名は消える							
イシュガルドのシドゥルグと話す			イシュガルドのシドゥルグと話す			そしてふたつの名は消える							
リエルを護りぬけ！			リエルを護りぬけ！			そしてふたつの名は消える							
