ヤーンの大穴のビッグスは、一息ついたようだ。			ヤーンの大穴のビッグスは、一息ついたようだ。			翼に夢を							
ということで、お前は今からオレの目付け役になれ。英雄殿がついてたら、悪事なンて働けないだろう？それなら、頭の固い会長だって、同行を許すはずだね。			ということで、お前は今からオレの目付け役になれ。英雄殿がついてたら、悪事なンて働けないだろう？それなら、頭の固い会長だって、同行を許すはずだね。			オメガの消息							
Forename、来てたのか……。まきこんですまないが、ネロの目付け役どうのはともかく、お前が調査に協力してくれるとしたら心強い。			Forename、来てたのか……。まきこんですまないが、ネロの目付け役どうのはともかく、お前が調査に協力してくれるとしたら心強い。			オメガの消息							
なにせ、オメガの力は、全容すら知れないほどだ……。神龍との戦いで、あちらにも多少の損傷はあるだろうが、技師だけで対応できる脅威だとは、とても思えない。			なにせ、オメガの力は、全容すら知れないほどだ……。神龍との戦いで、あちらにも多少の損傷はあるだろうが、技師だけで対応できる脅威だとは、とても思えない。			オメガの消息							
現状、奴の潜伏先と思しき場所をしぼるには至ったが、この先は、冒険者の手助けなしには踏み込めないだろう。……改めて、協力を頼めないか？			現状、奴の潜伏先と思しき場所をしぼるには至ったが、この先は、冒険者の手助けなしには踏み込めないだろう。……改めて、協力を頼めないか？			オメガの消息							
……決まりだな！			……決まりだな！			オメガの消息							
か、会長、緊急事態です！ポイントワン「ヤーンの大穴」で、エーテル濃度が急上昇！何か……ヤバいことになりそうです……！			か、会長、緊急事態です！ポイントワン「ヤーンの大穴」で、エーテル濃度が急上昇！何か……ヤバいことになりそうです……！			オメガの消息							
なんだって……！？まさか、オメガに何か動きが……？			なんだって……！？まさか、オメガに何か動きが……？			オメガの消息							
ともかく、現場の調査員たちは、一時退避させてくれ。以降の調査は、俺たちが直接預かる。			ともかく、現場の調査員たちは、一時退避させてくれ。以降の調査は、俺たちが直接預かる。			オメガの消息							
ビッグス、ウェッジ、それにForename。俺と一緒に、オメガ潜伏先の最有力候補……ピーリングストーンズ付近にある「ヤーンの大穴」に来てくれ。			ビッグス、ウェッジ、それにForename。俺と一緒に、オメガ潜伏先の最有力候補……ピーリングストーンズ付近にある「ヤーンの大穴」に来てくれ。			オメガの消息							
ジェシーはここに残って、社員たちへの指示を。できれば、安全な位置から観測を続けてくれ。			ジェシーはここに残って、社員たちへの指示を。できれば、安全な位置から観測を続けてくれ。			オメガの消息							
