調理師ギルドのリングサスは、冒険者に紹介したい人がいるようだ。			調理師ギルドのリングサスは、冒険者に紹介したい人がいるようだ。			元冒険者の調理師							
さすが、Forenameさんだ。米本来の持ち味を最大限に生かしたんだな……！			さすが、Forenameさんだ。米本来の持ち味を最大限に生かしたんだな……！			持ち味のレシピ							
(-？？？？-)そう、東方料理は素材の持ち味を大切にするものなの。			(-？？？？-)そう、東方料理は素材の持ち味を大切にするものなの。			持ち味のレシピ							
初めまして、私はアンズと申します。ラルフがお世話になっています。			初めまして、私はアンズと申します。ラルフがお世話になっています。			持ち味のレシピ							
アンズ、まずいよ、一緒にいるところを見られでもしたら……。			アンズ、まずいよ、一緒にいるところを見られでもしたら……。			持ち味のレシピ							
心配で、見に来ちゃったの。でも、腕のいい調理師さんに協力してもらえてるみたいで、安心したわ……じゃあ、がんばってね。			心配で、見に来ちゃったの。でも、腕のいい調理師さんに協力してもらえてるみたいで、安心したわ……じゃあ、がんばってね。			持ち味のレシピ							
と、とりあえず、ドマ風おにぎりは新たなメニューとして、よさそうだから、採用したいところだな……。さあ、調理場へ戻ろう。			と、とりあえず、ドマ風おにぎりは新たなメニューとして、よさそうだから、採用したいところだな……。さあ、調理場へ戻ろう。			持ち味のレシピ							
今回の協力、ありがとう！アンタのドマ風おにぎりを手本にして、店で出してみるよ。			今回の協力、ありがとう！アンタのドマ風おにぎりを手本にして、店で出してみるよ。			持ち味のレシピ							
それと……さっきの娘なんだが、いわゆる……俺の婚約者なんだ。冒険者だった頃、「石」の交換でこの街に来る度に、その……逢引を重ねてよ、結婚を約束するまでになった。			それと……さっきの娘なんだが、いわゆる……俺の婚約者なんだ。冒険者だった頃、「石」の交換でこの街に来る度に、その……逢引を重ねてよ、結婚を約束するまでになった。			持ち味のレシピ							
ただ、ちょっと問題があってな。いや、俺の話はそのくらいにしておこう……。			ただ、ちょっと問題があってな。いや、俺の話はそのくらいにしておこう……。			持ち味のレシピ							
さて、もちろん、おにぎりだけでは、まだまだ物足りない。これからも、東方料理の新たなメニュー考案のため、協力のほど、よろしく頼むぜ！			さて、もちろん、おにぎりだけでは、まだまだ物足りない。これからも、東方料理の新たなメニュー考案のため、協力のほど、よろしく頼むぜ！			持ち味のレシピ							
調理師として、料理の幅を広げたことで、「品質精査」を修得しました！			調理師として、料理の幅を広げたことで、「品質精査」を修得しました！			持ち味のレシピ							
永遠の乙女亭のメルココは、冒険者に最後の依頼があるようだ。			永遠の乙女亭のメルココは、冒険者に最後の依頼があるようだ。			もてなすレシピ							
デルモン・ドールが始まった。食材とお題を聞くため、リムサ・ロミンサのレストラン「ビスマルク」の「デルモン」と話そう。			デルモン・ドールが始まった。食材とお題を聞くため、リムサ・ロミンサのレストラン「ビスマルク」の「デルモン」と話そう。			もてなすレシピ							
