トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			アルカディアの挑戦者							
ふむ、せっかくセコンドになったんだ、あとのことはヤーナに任せて、ワタシはここで失礼するよ。ふたりとも、試合の時間には戻ってきてくれたまえ。			ふむ、せっかくセコンドになったんだ、あとのことはヤーナに任せて、ワタシはここで失礼するよ。ふたりとも、試合の時間には戻ってきてくれたまえ。			劇毒の愛							
アルカディア・ソサエティの控室にいるヤーナは、冒険者をジムに案内したいようだ。			アルカディア・ソサエティの控室にいるヤーナは、冒険者をジムに案内したいようだ。			トライテールの姉妹							
ヤーナにジムに案内してもらったところ、途中で観客たちに声をかけられた。ソリューション・ナインのジム・トライテール前にいる「ヤーナ」と話そう。			ヤーナにジムに案内してもらったところ、途中で観客たちに声をかけられた。ソリューション・ナインのジム・トライテール前にいる「ヤーナ」と話そう。			トライテールの姉妹							
ヤーナと話し、ジム・トライテールに入った。彼女の妹のネユニを紹介され、元闘士の失踪したという長姉ユトロープの話を聞いた。試合の頃合いとなったので、アルカディア・ソサエティの控室に向かい「ヤーナ」と話そう。アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば向かえるようだ。			ヤーナと話し、ジム・トライテールに入った。彼女の妹のネユニを紹介され、元闘士の失踪したという長姉ユトロープの話を聞いた。試合の頃合いとなったので、アルカディア・ソサエティの控室に向かい「ヤーナ」と話そう。アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば向かえるようだ。			トライテールの姉妹							
ヤーナと話した。これからは、彼女がセコンドとしてサポートしてくれるようだ。			ヤーナと話した。これからは、彼女がセコンドとしてサポートしてくれるようだ。			トライテールの姉妹							
ヤーナと話す			ヤーナと話す			トライテールの姉妹							
アルカディア・ソサエティの控室にいるヤーナと話す			アルカディア・ソサエティの控室にいるヤーナと話す			トライテールの姉妹							
それじゃあ、ウチのジムに案内するよ。ジムってのは要は体を鍛える場所で、ウチみたいに闘士が所属しているところもあるんだ。			それじゃあ、ウチのジムに案内するよ。ジムってのは要は体を鍛える場所で、ウチみたいに闘士が所属しているところもあるんだ。			トライテールの姉妹							
あんた、アルカディアの、生身の挑戦者「Forename」だよな！？			あんた、アルカディアの、生身の挑戦者「Forename」だよな！？			トライテールの姉妹							
魔物の魂も使わずに勝ち上がるなんて興奮したぜ！これからも応援してるから、がんばってくれ！！			魔物の魂も使わずに勝ち上がるなんて興奮したぜ！これからも応援してるから、がんばってくれ！！			トライテールの姉妹							
試合中継を見てビックリしたよ！機械兵と戦っていたお姉さんお兄さんが出てるってね……！			試合中継を見てビックリしたよ！機械兵と戦っていたお姉さんお兄さんが出てるってね……！			トライテールの姉妹							
あれから、お姉さんお兄さんはボクのヒーローなんだ！次の試合でも活躍してくれるって信じてるよ！			あれから、お姉さんお兄さんはボクのヒーローなんだ！次の試合でも活躍してくれるって信じてるよ！			トライテールの姉妹							
よくも、よくも……ボクたちのハニー・Ｂを……！お前なんか……大ッ嫌いだ！			よくも、よくも……ボクたちのハニー・Ｂを……！お前なんか……大ッ嫌いだ！			トライテールの姉妹							
ケッ、ぽっと出の雑魚が調子に乗るなよ！次の試合でケチョンケチョンにされちまえ……！！			ケッ、ぽっと出の雑魚が調子に乗るなよ！次の試合でケチョンケチョンにされちまえ……！！			トライテールの姉妹							
(-穏健な男性-)いやはや、口汚いファンもいたものだね。贔屓の闘士が負けて鬱憤が溜まっているんだろうが……。			(-穏健な男性-)いやはや、口汚いファンもいたものだね。贔屓の闘士が負けて鬱憤が溜まっているんだろうが……。			トライテールの姉妹							
