採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			イディルシャイアの工房							
よう、先生。知ってたか、「迅風傭兵団に凄腕の採掘師がいる」って、近ごろ評判なんだぜ？			よう、先生。知ってたか、「迅風傭兵団に凄腕の採掘師がいる」って、近ごろ評判なんだぜ？			救い、そして旅立ち							
ひなチョコか……。ん……珍しい組み合わせだな。			ひなチョコか……。ん……珍しい組み合わせだな。			救い、そして旅立ち							
そこで一緒になっただけっすよ。隊長に用事らしいっす。			そこで一緒になっただけっすよ。隊長に用事らしいっす。			救い、そして旅立ち							
君たちの低地ドラヴァニアでの先遣調査の成功は、教皇庁のお歴々の耳にも届き、非常に高く評価されておる。これでフォルタン伯爵の発言力も、一層高まることだろう。			君たちの低地ドラヴァニアでの先遣調査の成功は、教皇庁のお歴々の耳にも届き、非常に高く評価されておる。これでフォルタン伯爵の発言力も、一層高まることだろう。			救い、そして旅立ち							
そいつは光栄ですね。……だが、ここに来られたからには、また仕事の依頼ですな？			そいつは光栄ですね。……だが、ここに来られたからには、また仕事の依頼ですな？			救い、そして旅立ち							
ああ、今度は君たちに、本腰をいれて採掘を進めさせてはどうか、と。教皇庁のほうから、直々にな……。			ああ、今度は君たちに、本腰をいれて採掘を進めさせてはどうか、と。教皇庁のほうから、直々にな……。			救い、そして旅立ち							
ほう、教皇庁からのご指名か。先生のおかげだな！			ほう、教皇庁からのご指名か。先生のおかげだな！			救い、そして旅立ち							
ただ、誠に申し訳ないが……兵員の護送、人員の補強とも約束はしかねる。前回と同じ条件で、やり遂げてもらう必要がある。			ただ、誠に申し訳ないが……兵員の護送、人員の補強とも約束はしかねる。前回と同じ条件で、やり遂げてもらう必要がある。			救い、そして旅立ち							
事情はわかってるつもりだ。……いいだろう、引き受けた。			事情はわかってるつもりだ。……いいだろう、引き受けた。			救い、そして旅立ち							
前と同じ条件っすか！？あんときだって、一歩間違えば危なかったっすよ！？			前と同じ条件っすか！？あんときだって、一歩間違えば危なかったっすよ！？			救い、そして旅立ち							
だが、フォルタン家の旦那の権限が増すことは、雇われる側のオレたちの利でもある。こいつは、受けておいたほうがいい話なのさ。			だが、フォルタン家の旦那の権限が増すことは、雇われる側のオレたちの利でもある。こいつは、受けておいたほうがいい話なのさ。			救い、そして旅立ち							
オレは、そうは思わないっす！どうせまた、いいように使われるだけっすよ！			オレは、そうは思わないっす！どうせまた、いいように使われるだけっすよ！			救い、そして旅立ち							
……あいつにはもっと、淡々と接するべきだったな。大事に育てようと、かまいすぎて……結果的に甘やかした。任務に対していちいち感情的になるのは、まずい傾向だ……。			……あいつにはもっと、淡々と接するべきだったな。大事に育てようと、かまいすぎて……結果的に甘やかした。任務に対していちいち感情的になるのは、まずい傾向だ……。			救い、そして旅立ち							
やれやれ、まずは任務に集中しないとな……。先生、今回も頼むぜ。低地ドラヴァニアに近い、「イディルシャイア」で落ち合おう。			やれやれ、まずは任務に集中しないとな……。先生、今回も頼むぜ。低地ドラヴァニアに近い、「イディルシャイア」で落ち合おう。			救い、そして旅立ち							
