アゴラのメジナは、悩んでいるようだ。			アゴラのメジナは、悩んでいるようだ。			世界を繋げ、大繁盛の輪！							
よしきた、では無事だったサファイアを取り外して、大繁盛商店に送るとしよう。宛名を君にしておけば、開けられずに留め置かれるはずだ。			よしきた、では無事だったサファイアを取り外して、大繁盛商店に送るとしよう。宛名を君にしておけば、開けられずに留め置かれるはずだ。			世界を繋げ、大繁盛の輪！							
では、良い結果になることを願っている。ネックレスのことも、今後の装備の取引についてもな。			では、良い結果になることを願っている。ネックレスのことも、今後の装備の取引についてもな。			世界を繋げ、大繁盛の輪！							
Forenameさん、おかえりなさい！試供品を渡してきてくださったんですね！			Forenameさん、おかえりなさい！試供品を渡してきてくださったんですね！			世界を繋げ、大繁盛の輪！							
ところで、今さっき、ピピンさんからあなた宛ての荷物が届いたんですが……。			ところで、今さっき、ピピンさんからあなた宛ての荷物が届いたんですが……。			世界を繋げ、大繁盛の輪！							
お母さまのネックレスのサファイア！？仕立て直して返そうだなんて、とっても素敵な計画じゃないですか！			お母さまのネックレスのサファイア！？仕立て直して返そうだなんて、とっても素敵な計画じゃないですか！			世界を繋げ、大繁盛の輪！							
是非、私も協力させてください。もちろん、タタルさんには内緒で！			是非、私も協力させてください。もちろん、タタルさんには内緒で！			世界を繋げ、大繁盛の輪！							
それにしても、仕立て直し用の部品かぁ……。どんなものを使ったら、タタルさん、より喜んでくれるでしょうね。			それにしても、仕立て直し用の部品かぁ……。どんなものを使ったら、タタルさん、より喜んでくれるでしょうね。			世界を繋げ、大繁盛の輪！							
(-？？？？-)大繁盛商店とお客さんが繋がったことで手に入った品を、集めていったらどうかな？			(-？？？？-)大繁盛商店とお客さんが繋がったことで手に入った品を、集めていったらどうかな？			世界を繋げ、大繁盛の輪！							
あっ、ごめんなさい、勝手に聞いちゃって……。			あっ、ごめんなさい、勝手に聞いちゃって……。			世界を繋げ、大繁盛の輪！							
タタルさんには内緒にしててね！……それで、さっきのはどういうこと？			タタルさんには内緒にしててね！……それで、さっきのはどういうこと？			世界を繋げ、大繁盛の輪！							
えっと、今回サファイアに巡り合ったみたいに、大繁盛商店の取引先を増やしていけば、ネックレスの部品を手に入れることもあるのかなって。			えっと、今回サファイアに巡り合ったみたいに、大繁盛商店の取引先を増やしていけば、ネックレスの部品を手に入れることもあるのかなって。			世界を繋げ、大繁盛の輪！							
そういうのを使って仕立て直せたら、単に壊れてしまった部分を換えただけじゃなくて……新しい、嬉しい思い出も詰まった品になると思うんだ。			そういうのを使って仕立て直せたら、単に壊れてしまった部分を換えただけじゃなくて……新しい、嬉しい思い出も詰まった品になると思うんだ。			世界を繋げ、大繁盛の輪！							
それ、すっごくいいじゃない！			それ、すっごくいいじゃない！			世界を繋げ、大繁盛の輪！							
Forenameさん、やってみませんか？あなたが大繁盛商店の売り込みに協力してくださるなら、きっと、絶対、完成にこぎつけられますよ！			Forenameさん、やってみませんか？あなたが大繁盛商店の売り込みに協力してくださるなら、きっと、絶対、完成にこぎつけられますよ！			世界を繋げ、大繁盛の輪！							
あれっ、私の方が遅かったんでっすね。お待たせしちゃってすみません。			あれっ、私の方が遅かったんでっすね。お待たせしちゃってすみません。			世界を繋げ、大繁盛の輪！							
