リダ・ラーンのアンデンは、引っかかることがあるようだ。			リダ・ラーンのアンデンは、引っかかることがあるようだ。			アンデンの選択							
「サミアド」は、ここから南西のあたりにいるはずだよ。2本集まったら、ボクのところに持ってきてね！			「サミアド」は、ここから南西のあたりにいるはずだよ。2本集まったら、ボクのところに持ってきてね！			恐ろしい依頼							
あれ？　もう戻ってきたの？			あれ？　もう戻ってきたの？			恐ろしい依頼							
なぁんだ、本当に簡単に取ってきちゃったんだぁ。キミがサミアドのごちそうになったら、面白いと思ったんだけどなあ。			なぁんだ、本当に簡単に取ってきちゃったんだぁ。キミがサミアドのごちそうになったら、面白いと思ったんだけどなあ。			恐ろしい依頼							
でも、キミのおかげでサミアドを食べられるよ！へへへ、嬉しいなあ～！　せっかくだし、お茶会を開こうっと！もちろんキミも招待するよ！			でも、キミのおかげでサミアドを食べられるよ！へへへ、嬉しいなあ～！　せっかくだし、お茶会を開こうっと！もちろんキミも招待するよ！			恐ろしい依頼							
ボクは皆を呼んでこなくちゃ。キミはその間に、ここから東の方にいる「アン＝ヤラ」に、この「黄金色の花蜜」を渡してくれるぅ？			ボクは皆を呼んでこなくちゃ。キミはその間に、ここから東の方にいる「アン＝ヤラ」に、この「黄金色の花蜜」を渡してくれるぅ？			恐ろしい依頼							
よろしくねぇ。それじゃあまたあとで！			よろしくねぇ。それじゃあまたあとで！			恐ろしい依頼							
くんくん……なんだか、アナタから甘い匂いがするね……？			くんくん……なんだか、アナタから甘い匂いがするね……？			恐ろしい依頼							
花蜜の匂いだったのね！この蜜と羊乳を混ぜ合わせてから、「サミアドの脚」を漬けて食べると美味しいのよ！			花蜜の匂いだったのね！この蜜と羊乳を混ぜ合わせてから、「サミアドの脚」を漬けて食べると美味しいのよ！			恐ろしい依頼							
でも、脚を取ろうとするとサミアドが怒って、アタシたちの脚がもぎ取られそうになるの！すごいなあ、どうやって手に入れたんだろう。			でも、脚を取ろうとするとサミアドが怒って、アタシたちの脚がもぎ取られそうになるの！すごいなあ、どうやって手に入れたんだろう。			恐ろしい依頼							
お茶会をするなら、それまでに作っておかないとね！旅人さん、ありがとう～！「甘党のピクシー」にもお礼を言っておいてね！			お茶会をするなら、それまでに作っておかないとね！旅人さん、ありがとう～！「甘党のピクシー」にもお礼を言っておいてね！			恐ろしい依頼							
旅人さん、ありがとう～！「甘党のピクシー」にもお礼を言っておいてね！			旅人さん、ありがとう～！「甘党のピクシー」にもお礼を言っておいてね！			恐ろしい依頼							
届けてきてくれたんだね、ありがとう～！……ごめんねぇ、キミも誘いたかったんだけど、誘ったら、キミの枝に嫉妬されちゃいそうでねぇ。			届けてきてくれたんだね、ありがとう～！……ごめんねぇ、キミも誘いたかったんだけど、誘ったら、キミの枝に嫉妬されちゃいそうでねぇ。			恐ろしい依頼							
「あのヒトに、妖精の食べ物をホイホイあげたらダメよ！」な～んて、きっと言われちゃいそうだからさ～！			「あのヒトに、妖精の食べ物をホイホイあげたらダメよ！」な～んて、きっと言われちゃいそうだからさ～！			恐ろしい依頼							
あーあ、蜜とミルクに漬けたサミアドの脚、口の中でもピクピク動いて、すっごく美味しくて愉しいのに！……残念だけど、キミには招待状じゃなくて、これをあげるね！			あーあ、蜜とミルクに漬けたサミアドの脚、口の中でもピクピク動いて、すっごく美味しくて愉しいのに！……残念だけど、キミには招待状じゃなくて、これをあげるね！			恐ろしい依頼							
