テイルフェザーのルーパルは、いい報せを受けたようだ。			テイルフェザーのルーパルは、いい報せを受けたようだ。			センス爆発							
冒険者よ、「バンダースナッチ」狩りを頼めんか？3体ほど倒せば、この辺りが危険だと思い知ることだろう。危険な野獣だが、よろしく頼むぞ。			冒険者よ、「バンダースナッチ」狩りを頼めんか？3体ほど倒せば、この辺りが危険だと思い知ることだろう。危険な野獣だが、よろしく頼むぞ。			生存競争							
やってきてくれたか、助かった。これで少しは、バンダースナッチも大人しくなるだろう。			やってきてくれたか、助かった。これで少しは、バンダースナッチも大人しくなるだろう。			生存競争							
しかし、罠に捕らわれた獲物を狙うとは、奴らも考えたな。チョコボは圧倒的な脚力で「チョコキック」を放ち、肉食獣を撃退することもあるからな。			しかし、罠に捕らわれた獲物を狙うとは、奴らも考えたな。チョコボは圧倒的な脚力で「チョコキック」を放ち、肉食獣を撃退することもあるからな。			生存競争							
逆に言えば、肉食獣との絶え間なき生存競争が、チョコボたちを強く、逞しく育て上げているともいえる。それだけに、ここのチョコボには価値があるのさ。			逆に言えば、肉食獣との絶え間なき生存競争が、チョコボたちを強く、逞しく育て上げているともいえる。それだけに、ここのチョコボには価値があるのさ。			生存競争							
テイルフェザーのルーパルは、キ・ヤンターの相方を見つけたようだ。			テイルフェザーのルーパルは、キ・ヤンターの相方を見つけたようだ。			相方を探して							
ルーパルは、キ・ヤンターの相方を見つけたようだ。高地ドラヴァニアのチョコボの森にいる、「キ・ヤンター」を呼びにいこう。			ルーパルは、キ・ヤンターの相方を見つけたようだ。高地ドラヴァニアのチョコボの森にいる、「キ・ヤンター」を呼びにいこう。			相方を探して							
キ・ヤンターは相方の話を聞き、すぐにテイルフェザーに戻るつもりのようだ。テイルフェザーの「ルーパル」に報告しよう。			キ・ヤンターは相方の話を聞き、すぐにテイルフェザーに戻るつもりのようだ。テイルフェザーの「ルーパル」に報告しよう。			相方を探して							
ルーパルから、キ・ヤンターの相方、ジゾルを紹介された。テイルフェザーの「ジゾル」に声をかけよう。			ルーパルから、キ・ヤンターの相方、ジゾルを紹介された。テイルフェザーの「ジゾル」に声をかけよう。			相方を探して							
ジゾルと話し、キ・ヤンターと3人で、チョコボを探すことになった。テイルフェザーの北西のチョコボの森にある「指定地点」で、周囲を見渡そう。			ジゾルと話し、キ・ヤンターと3人で、チョコボを探すことになった。テイルフェザーの北西のチョコボの森にある「指定地点」で、周囲を見渡そう。			相方を探して							
周囲を見渡したが、チョコボはいないようだった。テイルフェザーの「キ・ヤンター」と話そう。			周囲を見渡したが、チョコボはいないようだった。テイルフェザーの「キ・ヤンター」と話そう。			相方を探して							
キ・ヤンターと話した。ジゾルがまだ、戻ってこないようだ。テイルフェザーの東のチョコボの森にいる、「ジゾル」を探そう。			キ・ヤンターと話した。ジゾルがまだ、戻ってこないようだ。テイルフェザーの東のチョコボの森にいる、「ジゾル」を探そう。			相方を探して							
ジゾルを見つけた。ヒナチョコボを見つけた彼は、猟師ではなく厩務員になることを決心したようだ。テイルフェザーの「ルーパル」に報告しよう。			ジゾルを見つけた。ヒナチョコボを見つけた彼は、猟師ではなく厩務員になることを決心したようだ。テイルフェザーの「ルーパル」に報告しよう。			相方を探して							
ルーパルに報告した。キ・ヤンターの相方探しは、振り出しに戻ってしまったようだ。			ルーパルに報告した。キ・ヤンターの相方探しは、振り出しに戻ってしまったようだ。			相方を探して							
キ・ヤンターと話す			キ・ヤンターと話す			相方を探して							
ルーパルに報告			ルーパルに報告			相方を探して							
ジゾルと話す			ジゾルと話す			相方を探して							
指定地点で見渡す			指定地点で見渡す			相方を探して							
キ・ヤンターに報告			キ・ヤンターに報告			相方を探して							
