聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			蒼天の下、笑顔で							
聡いやつだから、どこかで絶対に生きている。帰ってこないのはきっと、なにか考えあってのことだろう。それなら、それを尊重するまでだ。			聡いやつだから、どこかで絶対に生きている。帰ってこないのはきっと、なにか考えあってのことだろう。それなら、それを尊重するまでだ。			皇都が豊かになるために							
そう思えたのは、貴殿とフランセル殿のおかげだ。過去に固執ばかりするのではなく、前を向くのも大事だとな。			そう思えたのは、貴殿とフランセル殿のおかげだ。過去に固執ばかりするのではなく、前を向くのも大事だとな。			皇都が豊かになるために							
……感謝する、英雄殿。			……感謝する、英雄殿。			皇都が豊かになるために							
お待たせしました！では改めて、商会の準備が進んでいるか、「フェザーフォール商業区」へ見に行きましょう！			お待たせしました！では改めて、商会の準備が進んでいるか、「フェザーフォール商業区」へ見に行きましょう！			皇都が豊かになるために							
ここか。なかなか様になっているじゃないか。			ここか。なかなか様になっているじゃないか。			皇都が豊かになるために							
Forename、伯爵閣下！こちらです！			Forename、伯爵閣下！こちらです！			皇都が豊かになるために							
もうこんなに準備が進んでいるのか。			もうこんなに準備が進んでいるのか。			皇都が豊かになるために							
三国の者たちは我々に比べて、軽挙だと思うことも、ままあったが……考えを変えれば、行動が早いということでもあるものな。			三国の者たちは我々に比べて、軽挙だと思うことも、ままあったが……考えを変えれば、行動が早いということでもあるものな。			皇都が豊かになるために							
はい、おかげで、すぐに交易が始められそうです。伯爵閣下、あなたの助力をはじめとして……			はい、おかげで、すぐに交易が始められそうです。伯爵閣下、あなたの助力をはじめとして……			皇都が豊かになるために							
Forenameや、兄上や姉上。そして、ここにはいない人たちにも。たくさん支えてもらったおかげで、ここまでこぎつけられました。			Forenameや、兄上や姉上。そして、ここにはいない人たちにも。たくさん支えてもらったおかげで、ここまでこぎつけられました。			皇都が豊かになるために							
本当に、本当にありがとうございます！			本当に、本当にありがとうございます！			皇都が豊かになるために							
いいや、礼を言うのは私の方だ。我が家が商談をとりつけられたのは、そなたらのおかげである。その上、己を見直すいい機会にもなった。			いいや、礼を言うのは私の方だ。我が家が商談をとりつけられたのは、そなたらのおかげである。その上、己を見直すいい機会にもなった。			皇都が豊かになるために							
それと、その……たびたび迷惑をかけて、すまなかったな。			それと、その……たびたび迷惑をかけて、すまなかったな。			皇都が豊かになるために							
だが、肝心なのはこれからだぞ。交易は目的ではなくて、あくまで手段であろう。			だが、肝心なのはこれからだぞ。交易は目的ではなくて、あくまで手段であろう。			皇都が豊かになるために							
