流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			傷ついた皇都の魂は							
「作戦立案室」へ移動しますか？			「作戦立案室」へ移動しますか？			傷ついた皇都の魂は							
イシュガルドの作戦立案室にいるアルトアレールは、報告を待っているようだ。			イシュガルドの作戦立案室にいるアルトアレールは、報告を待っているようだ。			赦しもなく、救いもなく							
アイメリク、アルトアレールとともに、クレム助祭から話を聞いた。偽神獣ファーヴニルの行動を予測するため、ファーヴニルの正体を探ることとなった。イシュガルドの上層の「グランド・ホプロン」周辺で、偽神獣と化した青年の目撃情報を集めよう。			アイメリク、アルトアレールとともに、クレム助祭から話を聞いた。偽神獣ファーヴニルの行動を予測するため、ファーヴニルの正体を探ることとなった。イシュガルドの上層の「グランド・ホプロン」周辺で、偽神獣と化した青年の目撃情報を集めよう。			赦しもなく、救いもなく							
皇都の市民から話を聞いた。イシュガルドの上層、尊者の凱旋門付近にいる「アイメリク」に報告しよう。			皇都の市民から話を聞いた。イシュガルドの上層、尊者の凱旋門付近にいる「アイメリク」に報告しよう。			赦しもなく、救いもなく							
アイメリク、アルトアレールと聞き込みした情報をすり合わせた。ヴァンドローを知る者に話を聞くため、アルトアレールが蒼天街へ赴いてくれることとなった。アイメリクとともに、イシュガルドの下層、雲霧街の「指定地点」で待機しよう。			アイメリク、アルトアレールと聞き込みした情報をすり合わせた。ヴァンドローを知る者に話を聞くため、アルトアレールが蒼天街へ赴いてくれることとなった。アイメリクとともに、イシュガルドの下層、雲霧街の「指定地点」で待機しよう。			赦しもなく、救いもなく							
ヴァンドローという青年を看病していたロヴリックから話を聞いた。偽神獣となったヴァンドローは、蒼天街のルーシュマンド記念病院に入院していた患者だったようだ。今後の作戦を練るため作戦立案室に戻って「アルトアレール」と話そう。一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。			ヴァンドローという青年を看病していたロヴリックから話を聞いた。偽神獣となったヴァンドローは、蒼天街のルーシュマンド記念病院に入院していた患者だったようだ。今後の作戦を練るため作戦立案室に戻って「アルトアレール」と話そう。一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。			赦しもなく、救いもなく							
アイメリク、アルトアレールと話した。ヴァンドローの正体に迫るため、引き続き彼らに協力しよう。※いずれかの遠隔魔法DPSジョブのレベルが87以上になると、神殿騎士団本部内、作戦立案室のアルトアレールから次の遠隔魔法DPSロールクエストを受注することができます。			アイメリク、アルトアレールと話した。ヴァンドローの正体に迫るため、引き続き彼らに協力しよう。※いずれかの遠隔魔法DPSジョブのレベルが87以上になると、神殿騎士団本部内、作戦立案室のアルトアレールから次の遠隔魔法DPSロールクエストを受注することができます。			赦しもなく、救いもなく							
グランド・ホプロン周辺で偽神獣となった男の目撃証言を集める			グランド・ホプロン周辺で偽神獣となった男の目撃証言を集める			赦しもなく、救いもなく							
アイメリクと話す			アイメリクと話す			赦しもなく、救いもなく							
雲霧街の指定地点で待機			雲霧街の指定地点で待機			赦しもなく、救いもなく							
作戦立案室のアルトアレールと話す			作戦立案室のアルトアレールと話す			赦しもなく、救いもなく							
