潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			ベテラン・モブハント（上級）							
貴様のおかげで、黒字化まであと僅かなのだ。そこで、今度は店の備品の調達を手伝って貰いたい！「崖っぷち亭の備品」の調達を頼んだぞ、我が相棒よ！			貴様のおかげで、黒字化まであと僅かなのだ。そこで、今度は店の備品の調達を手伝って貰いたい！「崖っぷち亭の備品」の調達を頼んだぞ、我が相棒よ！			崖っぷち亭に迫る影							
モル・イローのヒエンは、静かに決意を固めたようだ。			モル・イローのヒエンは、静かに決意を固めたようだ。			その赤に祈りをこめて							
モル族の仲間たちと、大いに勝利を喜んだ。族長たちに挨拶をしてからヤンサに戻ることになった。アジムステップの明けの玉座にいる「マグナイ」と話そう。			モル族の仲間たちと、大いに勝利を喜んだ。族長たちに挨拶をしてからヤンサに戻ることになった。アジムステップの明けの玉座にいる「マグナイ」と話そう。			その赤に祈りをこめて							
マグナイと同盟が結ばれたことを確認した。アジムステップのドタール・カーにいる「サドゥ」と話そう。			マグナイと同盟が結ばれたことを確認した。アジムステップのドタール・カーにいる「サドゥ」と話そう。			その赤に祈りをこめて							
サドゥと同盟が結ばれたことを確認した。アジムステップの、ヤンサに続く洞窟前にいる「シリナ」と話そう。			サドゥと同盟が結ばれたことを確認した。アジムステップの、ヤンサに続く洞窟前にいる「シリナ」と話そう。			その赤に祈りをこめて							
シリナから、餞別の品を受け取った。草原のアウラ族たちが、それぞれ新しい季節に向かって歩みだしたように、冒険者たちの戦いもまた、新たな局面へと動き出すだろう。その果てに、苦難の終わりと自由の始まりを告げる、紅蓮の解放者となることを目指して。			シリナから、餞別の品を受け取った。草原のアウラ族たちが、それぞれ新しい季節に向かって歩みだしたように、冒険者たちの戦いもまた、新たな局面へと動き出すだろう。その果てに、苦難の終わりと自由の始まりを告げる、紅蓮の解放者となることを目指して。			その赤に祈りをこめて							
マグナイと話す			マグナイと話す			その赤に祈りをこめて							
サドゥと話す			サドゥと話す			その赤に祈りをこめて							
シリナと話す			シリナと話す			その赤に祈りをこめて							
見てたよー？大人気だったね、Forename！			見てたよー？大人気だったね、Forename！			その赤に祈りをこめて							
父の背を見て子が育ち、先達の背を追って後輩がゆくように、あの者らは、きっとおぬしを目指すことでござろう。			父の背を見て子が育ち、先達の背を追って後輩がゆくように、あの者らは、きっとおぬしを目指すことでござろう。			その赤に祈りをこめて							
っつ……傷を負ったが、なに、問題ない……。子どもたちが、薬草をとってきてくれるそうだ。			っつ……傷を負ったが、なに、問題ない……。子どもたちが、薬草をとってきてくれるそうだ。			その赤に祈りをこめて							
だが、あと少し戦いが長引けば、生きて戻ってきていなかったかもしれない。……ありがとう。			だが、あと少し戦いが長引けば、生きて戻ってきていなかったかもしれない。……ありがとう。			その赤に祈りをこめて							
さて……まだ勝利の余韻に浸っておりたいところだが、皆の喜ぶ顔を見ることはできた。わしらは、そろそろ次に進まねばならん。			さて……まだ勝利の余韻に浸っておりたいところだが、皆の喜ぶ顔を見ることはできた。わしらは、そろそろ次に進まねばならん。			その赤に祈りをこめて							
