シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			荒野の掟							
俺たちの目的は、ナミーカさんの腕輪を取り戻すことだ。こいつが本当に盗品の隠し場所を知ってるなら使えると思うが……どうする？			俺たちの目的は、ナミーカさんの腕輪を取り戻すことだ。こいつが本当に盗品の隠し場所を知ってるなら使えると思うが……どうする？			エヘヘケヤー作戦							
頼むよ、俺様なりに作戦も考えたんだ！ただ、ひとりじゃ実現できねぇ……！			頼むよ、俺様なりに作戦も考えたんだ！ただ、ひとりじゃ実現できねぇ……！			エヘヘケヤー作戦							
作戦？			作戦？			エヘヘケヤー作戦							
ああ……！「シェシェネ青燐泉」の入口まで来てくれよ！判断は説明を聞いてからでいいからさ！			ああ……！「シェシェネ青燐泉」の入口まで来てくれよ！判断は説明を聞いてからでいいからさ！			エヘヘケヤー作戦							
……とりあえず話だけでも聞いてみるか。			……とりあえず話だけでも聞いてみるか。			エヘヘケヤー作戦							
いやあ……助かったぜ！なんか間が悪かったみたいだけど……まずいカンジ？			いやあ……助かったぜ！なんか間が悪かったみたいだけど……まずいカンジ？			エヘヘケヤー作戦							
なんでシェシェネ青燐泉まで来たのかって？			なんでシェシェネ青燐泉まで来たのかって？			エヘヘケヤー作戦							
盗品の隠し場所こそが、この町だからさ……！まあ見てなって、今に奴が現れるぜ。			盗品の隠し場所こそが、この町だからさ……！まあ見てなって、今に奴が現れるぜ。			エヘヘケヤー作戦							
言われたとおりに移動したはいいが……こいつを連れてるところを自警隊に見つかったらマズいな。			言われたとおりに移動したはいいが……こいつを連れてるところを自警隊に見つかったらマズいな。			エヘヘケヤー作戦							
フーサタイ宿場町前のエレンヴィルは、ひと安心した様子だ。			フーサタイ宿場町前のエレンヴィルは、ひと安心した様子だ。			サカ・トラル・レールロード							
ナミーカと話す			ナミーカと話す			サカ・トラル・レールロード							
エレンヴィルと話す			エレンヴィルと話す			サカ・トラル・レールロード							
エレンヴィルと再度話す			エレンヴィルと再度話す			サカ・トラル・レールロード							
なあ、なあ！俺様の早撃ちもスゴかったろ！？			なあ、なあ！俺様の早撃ちもスゴかったろ！？			サカ・トラル・レールロード							
さて、ナミーカさんの腕輪も無事に取り戻したことだ。あとは彼女に返しに行くだけだな。			さて、ナミーカさんの腕輪も無事に取り戻したことだ。あとは彼女に返しに行くだけだな。			サカ・トラル・レールロード							
なんだよ、もう行っちまうのか？あんたらには改めてダチと一緒に礼を言いてぇし……釈放に立ち会ったら追いかけるぜ！			なんだよ、もう行っちまうのか？あんたらには改めてダチと一緒に礼を言いてぇし……釈放に立ち会ったら追いかけるぜ！			サカ・トラル・レールロード							
……意外と律儀だな。なら、俺たちは「ナミーカ」さんに腕輪を渡すために、シェシェネ青燐泉に向かうから、そこに来てくれ。			……意外と律儀だな。なら、俺たちは「ナミーカ」さんに腕輪を渡すために、シェシェネ青燐泉に向かうから、そこに来てくれ。			サカ・トラル・レールロード							
クイカナとリウィネの釈放を待ってんだ。また後でな！			クイカナとリウィネの釈放を待ってんだ。また後でな！			サカ・トラル・レールロード							
おかえりなさい！無事に解決したみたいでよかったよ！			おかえりなさい！無事に解決したみたいでよかったよ！			サカ・トラル・レールロード							
軽く状況は説明しておいた。酷く心配してたからな。			軽く状況は説明しておいた。酷く心配してたからな。			サカ・トラル・レールロード							
ああ……感謝してもしきれません……。			ああ……感謝してもしきれません……。			サカ・トラル・レールロード							
ウクラマト様の想いが込められた品を失わずに済んで、本当に……心から安心いたしました。			ウクラマト様の想いが込められた品を失わずに済んで、本当に……心から安心いたしました。			サカ・トラル・レールロード							
重ね重ね感謝を……。昔から仲のいいエレンヴィル様しかり、ウクラマト様は、素晴らしいご友人を見つけられたんですね。			重ね重ね感謝を……。昔から仲のいいエレンヴィル様しかり、ウクラマト様は、素晴らしいご友人を見つけられたんですね。			サカ・トラル・レールロード							
いや……仲はよくないし、俺は別に友人ってわけじゃ……			いや……仲はよくないし、俺は別に友人ってわけじゃ……			サカ・トラル・レールロード							
はいはい、ただの幼なじみだもんね。あんたの「友人」の定義って、どうなってるのよ。			はいはい、ただの幼なじみだもんね。あんたの「友人」の定義って、どうなってるのよ。			サカ・トラル・レールロード							
しっかし、あの自警隊の副隊長が悪党のボスだったなんて。なーんか怪しいと思ってたんだよねえ！			しっかし、あの自警隊の副隊長が悪党のボスだったなんて。なーんか怪しいと思ってたんだよねえ！			サカ・トラル・レールロード							
