空の坑道のアジトのエレンヴィルは、複雑な表情をしている。			空の坑道のアジトのエレンヴィルは、複雑な表情をしている。			魂を扱う者たち							
そうね……手分けしてナミーカさんのことを尋ねてみましょうか。一部の人だけに起きている現象なのか、町全体なのか……聞き込みが終わったら、エーテライトの近くに集合しましょう！			そうね……手分けしてナミーカさんのことを尋ねてみましょうか。一部の人だけに起きている現象なのか、町全体なのか……聞き込みが終わったら、エーテライトの近くに集合しましょう！			雲の上へ							
何が起きたっていうの……？			何が起きたっていうの……？			雲の上へ							
ペポーネさんのあの様子……完全に心当たりがなさそうだったよな。			ペポーネさんのあの様子……完全に心当たりがなさそうだったよな。			雲の上へ							
ナミーカさんのこと、ほかの人はどうなのかしら……。			ナミーカさんのこと、ほかの人はどうなのかしら……。			雲の上へ							
こんな現象、俺も知らないぞ……。			こんな現象、俺も知らないぞ……。			雲の上へ							
……え？ナミーカという名のご老人ですか？			……え？ナミーカという名のご老人ですか？			雲の上へ							
うーん、心当たりがないですね。力になれなくてごめんなさい。			うーん、心当たりがないですね。力になれなくてごめんなさい。			雲の上へ							
ごめんなさいね。ほかの人にも聞いてもらえるかしら？			ごめんなさいね。ほかの人にも聞いてもらえるかしら？			雲の上へ							
ナミーカを知らないかって……？			ナミーカを知らないかって……？			雲の上へ							
……聞いたことがない名前だね。わたしはずっとアウトスカーツで働いてるし、この町の住人で知らない人はいないはずなんだけど。			……聞いたことがない名前だね。わたしはずっとアウトスカーツで働いてるし、この町の住人で知らない人はいないはずなんだけど。			雲の上へ							
きっと雲の上に預けられたんだろうね……。			きっと雲の上に預けられたんだろうね……。			雲の上へ							
……たしかに、さきほどまで誰かの介護をしていました。その方がナミーカさんというのですか？			……たしかに、さきほどまで誰かの介護をしていました。その方がナミーカさんというのですか？			雲の上へ							
私には思い出せませんが、心配はいりません。きっとその方の記憶は、雲の上に預けられたのでしょう。			私には思い出せませんが、心配はいりません。きっとその方の記憶は、雲の上に預けられたのでしょう。			雲の上へ							
珍しいことですが、こういった現象はときどき起きるのです。			珍しいことですが、こういった現象はときどき起きるのです。			雲の上へ							
……やっぱりみんなも同じか。			……やっぱりみんなも同じか。			雲の上へ							
誰ひとりナミーカのことを覚えてねぇ……。まるで、彼女の記憶だけが一斉に消されちまったみてぇだ。			誰ひとりナミーカのことを覚えてねぇ……。まるで、彼女の記憶だけが一斉に消されちまったみてぇだ。			雲の上へ							
……これほどの人数の記憶を混乱させるなんて、精神操作系の魔法でやろうものなら、大変なことよ。でも、あのとき、そんなエーテル放射は感じられなかった……。			……これほどの人数の記憶を混乱させるなんて、精神操作系の魔法でやろうものなら、大変なことよ。でも、あのとき、そんなエーテル放射は感じられなかった……。			雲の上へ							
