潮風亭のエストリルドは、また道行く人を見定めているようだ。			潮風亭のエストリルドは、また道行く人を見定めているようだ。			ベテラン・モブハント（中級）							
頭部の殴打痕、腐敗どころか硬直すらしていない状況、注視すべき点が多いが、最も私を惹きつけたのは……あの死体に、禁忌に触れた痕跡があったことだ。			頭部の殴打痕、腐敗どころか硬直すらしていない状況、注視すべき点が多いが、最も私を惹きつけたのは……あの死体に、禁忌に触れた痕跡があったことだ。			禁忌の刃							
生きているとも言いがたい状況ゆえ、失敗に終わったようだが、「死者の蘇生」が試みられた可能性が極めて高いということだよ。それにしても、私以外に禁忌へ近づこうとする者がいるとはな。			生きているとも言いがたい状況ゆえ、失敗に終わったようだが、「死者の蘇生」が試みられた可能性が極めて高いということだよ。それにしても、私以外に禁忌へ近づこうとする者がいるとはな。			禁忌の刃							
いや、待てよ……過去にナル・ザル教団で大導師を務めていた者が、人の摂理を越えた禁忌を犯したという噂を、耳にしたことがある。あれは「死者の蘇生」のことだったのか……？			いや、待てよ……過去にナル・ザル教団で大導師を務めていた者が、人の摂理を越えた禁忌を犯したという噂を、耳にしたことがある。あれは「死者の蘇生」のことだったのか……？			禁忌の刃							
……我が助手よ、呪術士ギルドへ向かい、ナル・ザル教団の司祭「ヤヤロク」から噂の真相を聞いてくるのだ。もしかすると、あの死体と何か関係があるのかもしれん。			……我が助手よ、呪術士ギルドへ向かい、ナル・ザル教団の司祭「ヤヤロク」から噂の真相を聞いてくるのだ。もしかすると、あの死体と何か関係があるのかもしれん。			禁忌の刃							
おや、ザル神へのご参拝ですかな。それとも、我が教団へのお布施をいただけるのでしょうか。			おや、ザル神へのご参拝ですかな。それとも、我が教団へのお布施をいただけるのでしょうか。			禁忌の刃							
……過去に我が教団の大導師を務めていた者が研究していた、「禁忌」について聞きにいらした、と？			……過去に我が教団の大導師を務めていた者が研究していた、「禁忌」について聞きにいらした、と？			禁忌の刃							
なるほど、あなたはその「禁忌」というのが、「死者の蘇生」を指しているのではないか、と仰るのですね。確かに、死者蘇生は人の領分を越えた、文字どおりの「禁忌」です。			なるほど、あなたはその「禁忌」というのが、「死者の蘇生」を指しているのではないか、と仰るのですね。確かに、死者蘇生は人の領分を越えた、文字どおりの「禁忌」です。			禁忌の刃							
……そういえば、生命の根源に近づこうとするあまり、情熱が行き過ぎて、禁忌に手を染めることも厭わない大導師が、過去にいたようないなかったような……。			……そういえば、生命の根源に近づこうとするあまり、情熱が行き過ぎて、禁忌に手を染めることも厭わない大導師が、過去にいたようないなかったような……。			禁忌の刃							
あれは誰でしたかね。いや、ここのところ物忘れがひどくて……。知力を高める秘薬があれば、思い出すことができるかも……？			あれは誰でしたかね。いや、ここのところ物忘れがひどくて……。知力を高める秘薬があれば、思い出すことができるかも……？			禁忌の刃							
ですが、私は苦味にひどく弱いのです。多くの錬金術師たちを束ねる「セヴェリアン」殿ならば、苦味のない知力の秘薬の作り方をご存じかもしれませんね？			ですが、私は苦味にひどく弱いのです。多くの錬金術師たちを束ねる「セヴェリアン」殿ならば、苦味のない知力の秘薬の作り方をご存じかもしれませんね？			禁忌の刃							
「死者の蘇生」、か……。			「死者の蘇生」、か……。			禁忌の刃							
