赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			再会と旅立ち							
リムサ・ロミンサにも海賊はいたけれど、こっちの海賊は、どんなものかしらね。			リムサ・ロミンサにも海賊はいたけれど、こっちの海賊は、どんなものかしらね。			海賊衆の苦境							
ドマの民にとっても、海賊衆は身近な存在でござる。賊ではあるが、紅玉海の治安の守り手でもあるゆえな。			ドマの民にとっても、海賊衆は身近な存在でござる。賊ではあるが、紅玉海の治安の守り手でもあるゆえな。			海賊衆の苦境							
そうそう、このヒトがタンスイだよぉ～。			そうそう、このヒトがタンスイだよぉ～。			海賊衆の苦境							
さて、帆別銭は何で支払っていく？そのナリだと……ギルか？構わないぜ、今じゃ外貨の方が重宝するんでな。			さて、帆別銭は何で支払っていく？そのナリだと……ギルか？構わないぜ、今じゃ外貨の方が重宝するんでな。			海賊衆の苦境							
支払いは、オイラからするよぉ～。その分も含めて、取引させてもらったかんねぇ～。			支払いは、オイラからするよぉ～。その分も含めて、取引させてもらったかんねぇ～。			海賊衆の苦境							
はい、今回の分。これで大陸側まで渡らせてもらうよぉ～。			はい、今回の分。これで大陸側まで渡らせてもらうよぉ～。			海賊衆の苦境							
……悪いが、この3倍はもらわねぇと、今の大シケの紅玉海は、安全に渡りきれんぞ。			……悪いが、この3倍はもらわねぇと、今の大シケの紅玉海は、安全に渡りきれんぞ。			海賊衆の苦境							
えぇ～！？ちょっとちょっとぉ～、いつの間にそんな、相場が上がっちゃったのさぁ～！			えぇ～！？ちょっとちょっとぉ～、いつの間にそんな、相場が上がっちゃったのさぁ～！			海賊衆の苦境							
こっちだって、ンなみみっちぃ稼ぎ方はしたくねぇんだ。……だが、クガネから来たんなら、わかるだろう？			こっちだって、ンなみみっちぃ稼ぎ方はしたくねぇんだ。……だが、クガネから来たんなら、わかるだろう？			海賊衆の苦境							
今の紅玉海は、誰も彼もが避けたがる、戦禍の裾野さ。唯一入り込んでくる船も「アレ」とくれば、稼ぎはままならず、相場も上がる。			今の紅玉海は、誰も彼もが避けたがる、戦禍の裾野さ。唯一入り込んでくる船も「アレ」とくれば、稼ぎはままならず、相場も上がる。			海賊衆の苦境							
「アレ」って……？			「アレ」って……？			海賊衆の苦境							
おとりこみ中、すんません！タンスイさん、連中の船が、また無断で入り込みやがりました！			おとりこみ中、すんません！タンスイさん、連中の船が、また無断で入り込みやがりました！			海賊衆の苦境							
オレたちで止めにかかりましたが、聞く耳を持ちやしねぇ。急いで応援に来てくだせぇ……！			オレたちで止めにかかりましたが、聞く耳を持ちやしねぇ。急いで応援に来てくだせぇ……！			海賊衆の苦境							
チッ……。わかった、すぐいく！			チッ……。わかった、すぐいく！			海賊衆の苦境							
ソロバン……お前がノッたってことは、儲かる話なんだろ？稼いだら、特上の魚介と酒をふるまいに来いよ。……今回は、それでいい。			ソロバン……お前がノッたってことは、儲かる話なんだろ？稼いだら、特上の魚介と酒をふるまいに来いよ。……今回は、それでいい。			海賊衆の苦境							
商談は成立……ってことみたいだけど、何が起きたのか、ちょっと気になるわね……。			商談は成立……ってことみたいだけど、何が起きたのか、ちょっと気になるわね……。			海賊衆の苦境							
ここが戦禍の裾野なら、情勢は知っておくべきじゃない？ねえ、タンスイを追いかけて、様子を見てみようよ！			ここが戦禍の裾野なら、情勢は知っておくべきじゃない？ねえ、タンスイを追いかけて、様子を見てみようよ！			海賊衆の苦境							
あそこに見えるのが、タンスイ……かな？			あそこに見えるのが、タンスイ……かな？			海賊衆の苦境							
ゴウセツも、詳しい事情を知らないの？			ゴウセツも、詳しい事情を知らないの？			海賊衆の苦境							
エオルゼアに赴くため、しばしこちらを離れてござったからな……。			エオルゼアに赴くため、しばしこちらを離れてござったからな……。			海賊衆の苦境							
