アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			不可視の脅威							
姐さんが、確認できたから突入するとさ。俺たちは本隊を待って、一緒に突入するぜ。			姐さんが、確認できたから突入するとさ。俺たちは本隊を待って、一緒に突入するぜ。			強襲、銃士隊							
これが、長らく国を閉ざしていたイシュガルドの宝剣……。ふふふ……素晴らしいですねえ……。これほど魅力的な商材は久しぶりですよ！			これが、長らく国を閉ざしていたイシュガルドの宝剣……。ふふふ……素晴らしいですねえ……。これほど魅力的な商材は久しぶりですよ！			強襲、銃士隊							
そいつぁ、よかった。品質に納得したところで、支払いを……。			そいつぁ、よかった。品質に納得したところで、支払いを……。			強襲、銃士隊							
そいつはちょいと待ちな。			そいつはちょいと待ちな。			強襲、銃士隊							
てめえら……ナニモンだ？			てめえら……ナニモンだ？			強襲、銃士隊							
アタシらは、泣く子も黙る「イシュガルド銃士隊」。覚悟しろよ、犯罪者ども。宝剣窃盗の疑いで、全員確保だ。			アタシらは、泣く子も黙る「イシュガルド銃士隊」。覚悟しろよ、犯罪者ども。宝剣窃盗の疑いで、全員確保だ。			強襲、銃士隊							
い、イシュガルドの……！？ひえ～～っ！			い、イシュガルドの……！？ひえ～～っ！			強襲、銃士隊							
あ、逃げんな、てめえ！？くそ、なんで取引がバレたかわからねえが、こうなりゃ全員ぶっ殺すまでよ！			あ、逃げんな、てめえ！？くそ、なんで取引がバレたかわからねえが、こうなりゃ全員ぶっ殺すまでよ！			強襲、銃士隊							
逃げた頭目以外は、全員確保できたよ。部下たちに皇都へ移送をさせて、事情聴取。そのあとは、ミュースカダンの野郎に任せるつもりさ。			逃げた頭目以外は、全員確保できたよ。部下たちに皇都へ移送をさせて、事情聴取。そのあとは、ミュースカダンの野郎に任せるつもりさ。			強襲、銃士隊							
宝剣、奪還できちまったよ……。アタシらも、やれるってことだよな。Forename、アンタから見てどうだった？			宝剣、奪還できちまったよ……。アタシらも、やれるってことだよな。Forename、アンタから見てどうだった？			強襲、銃士隊							
何と答える？			何と答える？			強襲、銃士隊							
よくやった			よくやった			強襲、銃士隊							
まだまだだ			まだまだだ			強襲、銃士隊							
……そうだよな、ああ、そうだろ！アタシらにだって、力があるってことさ。へへっ、アンタに認められて、かなり嬉しいよ。			……そうだよな、ああ、そうだろ！アタシらにだって、力があるってことさ。へへっ、アンタに認められて、かなり嬉しいよ。			強襲、銃士隊							
まあ、俺が指南してやってるんだ。この程度は当然だな。			まあ、俺が指南してやってるんだ。この程度は当然だな。			強襲、銃士隊							
アンタから見たら、未熟もいいところ、か。……ああ、自分でもわかってるさ。だけど見てな、すぐに一人前になってやるよ！			アンタから見たら、未熟もいいところ、か。……ああ、自分でもわかってるさ。だけど見てな、すぐに一人前になってやるよ！			強襲、銃士隊							
腕はまだまだだが、その意気は合格だ。この調子なら、すぐに鼻をあかせるだろう。			腕はまだまだだが、その意気は合格だ。この調子なら、すぐに鼻をあかせるだろう。			強襲、銃士隊							
すみません姐さん、頭目の野郎をとり逃がしました。チョコボを近くに隠していたようで、人の足では追いきれず……。			すみません姐さん、頭目の野郎をとり逃がしました。チョコボを近くに隠していたようで、人の足では追いきれず……。			強襲、銃士隊							
ちっ、用意のいい奴だ。とはいえ、宝剣は奪還できたし十分さ。撤収するよ！			ちっ、用意のいい奴だ。とはいえ、宝剣は奪還できたし十分さ。撤収するよ！			強襲、銃士隊							
Forename、すまんが時間をくれ。話しておきたいことがある。			Forename、すまんが時間をくれ。話しておきたいことがある。			強襲、銃士隊							
どうだ、俺たちだってやれるんだ！これからの皇都は、銃士隊が守ってやるぜ！			どうだ、俺たちだってやれるんだ！これからの皇都は、銃士隊が守ってやるぜ！			強襲、銃士隊							
