イディルシャイアのイロアズは、冒険者に興味があるようだ。			イディルシャイアのイロアズは、冒険者に興味があるようだ。			イシュガルドのモブハント（上級）							
ピピ……当施設で生産されるキメラ生物は、帝国魔科学省認定の安全基準で、三つ星を獲得しておりマス。			ピピ……当施設で生産されるキメラ生物は、帝国魔科学省認定の安全基準で、三つ星を獲得しておりマス。			キメラの棲む島							
ただし、「ちょっとした手違い」が稀にありますので、珍しい生き物を見かけても、近づかないようにお願いしマス。それでは、次の転送装置に移動しまショウ。			ただし、「ちょっとした手違い」が稀にありますので、珍しい生き物を見かけても、近づかないようにお願いしマス。それでは、次の転送装置に移動しまショウ。			キメラの棲む島							
おい、本当にこの玉っころは信用できるのか？			おい、本当にこの玉っころは信用できるのか？			キメラの棲む島							
嫌な感じね……。防衛兵器ではない、生物の視線を感じるわ。Forename、気をつけて。			嫌な感じね……。防衛兵器ではない、生物の視線を感じるわ。Forename、気をつけて。			キメラの棲む島							
エーテライトと似た技術なのだろうが、第三星暦という、はるか昔の装置が未だに動くとはね。			エーテライトと似た技術なのだろうが、第三星暦という、はるか昔の装置が未だに動くとはね。			キメラの棲む島							
ピピ……どうやら「ちょっとした手違い」が発生したもヨウ。転送装置の起動に必要なエネルギーが供給されていまセン。			ピピ……どうやら「ちょっとした手違い」が発生したもヨウ。転送装置の起動に必要なエネルギーが供給されていまセン。			キメラの棲む島							
ピピ……エネルギー供給ラインに異常を検知……。キメラ生物が、不正にエネルギーを取得しているようデス。「キメラ生成ラボ」と「生体培養局」に異常源を確認。			ピピ……エネルギー供給ラインに異常を検知……。キメラ生物が、不正にエネルギーを取得しているようデス。「キメラ生成ラボ」と「生体培養局」に異常源を確認。			キメラの棲む島							
仕方ない、手分けしてキメラ生物を駆除しよう。Forenameは「キメラ生成ラボ」を頼む。「生体培養局」の方は、我々で分担する。			仕方ない、手分けしてキメラ生物を駆除しよう。Forenameは「キメラ生成ラボ」を頼む。「生体培養局」の方は、我々で分担する。			キメラの棲む島							
障害を取り除けば、エネルギーも再供給されるはずだ。キメラ生物の駆除が終わったら、ここで落ち合おう。			障害を取り除けば、エネルギーも再供給されるはずだ。キメラ生物の駆除が終わったら、ここで落ち合おう。			キメラの棲む島							
この玉っころ、腹が立って仕方がないんだが……。			この玉っころ、腹が立って仕方がないんだが……。			キメラの棲む島							
生物を掛け合わせて、人工的に新種の生物を創るなんて……。神の領域に、土足で踏み込んでいるような気がして、好きになれないわね……。			生物を掛け合わせて、人工的に新種の生物を創るなんて……。神の領域に、土足で踏み込んでいるような気がして、好きになれないわね……。			キメラの棲む島							
周辺には、野生化したキメラ生物が多い。迂闊に動き回るのは、危険そうだ。			周辺には、野生化したキメラ生物が多い。迂闊に動き回るのは、危険そうだ。			キメラの棲む島							
決戦前の肩慣らしと行こうじゃないか！			決戦前の肩慣らしと行こうじゃないか！			キメラの棲む島							
ふふっ……。アルフィノ様は、張り切っている様子ね。			ふふっ……。アルフィノ様は、張り切っている様子ね。			キメラの棲む島							
私だって、役に立ってみせるさ！			私だって、役に立ってみせるさ！			キメラの棲む島							
ピピ……エネルギー供給ラインに異常を検知……。キメラ生物が、不正にエネルギーを取得しているようデス。「キメラ生成ラボ」と「生体培養局」に異常源を確認。			ピピ……エネルギー供給ラインに異常を検知……。キメラ生物が、不正にエネルギーを取得しているようデス。「キメラ生成ラボ」と「生体培養局」に異常源を確認。			キメラの棲む島							
ピピ……エネルギーの再供給を確認……。転送装置を再起動しマス…………。転送装置にアクセスし、移動してくだサイ。			ピピ……エネルギーの再供給を確認……。転送装置を再起動しマス…………。転送装置にアクセスし、移動してくだサイ。			キメラの棲む島							
