リトルシャーレアンのウリエンジェは、一息ついたようだ。			リトルシャーレアンのウリエンジェは、一息ついたようだ。			右往左往そして……							
何と言う？			何と言う？			美味しい完全食							
掛け値なしに美味い！			掛け値なしに美味い！			美味しい完全食							
甘味があふれル！　嗚呼、甘美なり！！			甘味があふれル！　嗚呼、甘美なり！！			美味しい完全食							
よかった！そして、食感はどうでした……？			よかった！そして、食感はどうでした……？			美味しい完全食							
何と言う？			何と言う？			美味しい完全食							
しっとりふわふわでクセになる！			しっとりふわふわでクセになる！			美味しい完全食							
未だかつてない食感に、宇宙の法則が乱れる！！			未だかつてない食感に、宇宙の法則が乱れる！！			美味しい完全食							
それは何より！最後に、香りはいかがでしたか……？			それは何より！最後に、香りはいかがでしたか……？			美味しい完全食							
何と言う？			何と言う？			美味しい完全食							
芳しい香りが吹き抜けた！			芳しい香りが吹き抜けた！			美味しい完全食							
芳醇な香りに、食欲がリミットブレイクした！！			芳醇な香りに、食欲がリミットブレイクした！！			美味しい完全食							
うんうん！味も、食感も、風味も完璧な、美味しいパンができましたね……！			うんうん！味も、食感も、風味も完璧な、美味しいパンができましたね……！			美味しい完全食							
