クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			聖典の真実							
フフ……。祖父も、こんな気持ちだったのだろうか。			フフ……。祖父も、こんな気持ちだったのだろうか。			エオルゼアの明日のために							
あれも、君の「超える力」なのかい？			あれも、君の「超える力」なのかい？			エオルゼアの明日のために							
まさか。ただ、暁という仄かな灯りが世界を照らした。……それだけよ。			まさか。ただ、暁という仄かな灯りが世界を照らした。……それだけよ。			エオルゼアの明日のために							
あら、ちょうど良かった。わたしたちも今戻ってきたところよ。今開けるわ。			あら、ちょうど良かった。わたしたちも今戻ってきたところよ。今開けるわ。			エオルゼアの明日のために							
大丈夫よ。			大丈夫よ。			エオルゼアの明日のために							
担当国のグランドカンパニーと連絡を密に取り、作戦を詰めてくれ。ウルダハは……シド、頼めるか。			担当国のグランドカンパニーと連絡を密に取り、作戦を詰めてくれ。ウルダハは……シド、頼めるか。			エオルゼアの明日のために							
任せろ。さて、忙しくなるな。燃えてきたぜ！			任せろ。さて、忙しくなるな。燃えてきたぜ！			エオルゼアの明日のために							
忙しくなるわね。			忙しくなるわね。			エオルゼアの明日のために							
うっしゃ、気合いーッ！			うっしゃ、気合いーッ！			エオルゼアの明日のために							
わたしたちは以前から、天使い……「アシエン」について調べてきたの。			わたしたちは以前から、天使い……「アシエン」について調べてきたの。			エオルゼアの明日のために							
古の時代より、歴史の陰に潜み、常に混乱と戦を煽ってきた者たち。アシエンは、実体を持たぬ不死の存在よ。			古の時代より、歴史の陰に潜み、常に混乱と戦を煽ってきた者たち。アシエンは、実体を持たぬ不死の存在よ。			エオルゼアの明日のために							
黒い水晶……「闇のクリスタル」を媒体に、それを手にしたものに憑依する。			黒い水晶……「闇のクリスタル」を媒体に、それを手にしたものに憑依する。			エオルゼアの明日のために							
結論から言うわ。サンクレッドは救えます！			結論から言うわ。サンクレッドは救えます！			エオルゼアの明日のために							
これが、闇のクリスタル……。			これが、闇のクリスタル……。			エオルゼアの明日のために							
それは、エオルゼア各地の偏属性クリスタルを解析して造られた、研究用のレプリカ。			それは、エオルゼア各地の偏属性クリスタルを解析して造られた、研究用のレプリカ。			エオルゼアの明日のために							
たった今、わたしたちの後援者でもある組織、バルデシオン委員会から取り寄せたものよ。			たった今、わたしたちの後援者でもある組織、バルデシオン委員会から取り寄せたものよ。			エオルゼアの明日のために							
サンクレッドには、闇のクリスタルとアシエンについて調査をしてもらっていたの。			サンクレッドには、闇のクリスタルとアシエンについて調査をしてもらっていたの。			エオルゼアの明日のために							
彼は賢人の中でも腕利きだったわ。だから油断していた。まさか、こんなことになるなんて……。			彼は賢人の中でも腕利きだったわ。だから油断していた。まさか、こんなことになるなんて……。			エオルゼアの明日のために							
彼は、ルイゾワのじっちゃんが亡くなったのを契機に、みんなに少しでも頼られる存在になろうとしていた。			彼は、ルイゾワのじっちゃんが亡くなったのを契機に、みんなに少しでも頼られる存在になろうとしていた。			エオルゼアの明日のために							
いつのまにか、自分のことを「オレ」なんて、言い出したりしてたね。			いつのまにか、自分のことを「オレ」なんて、言い出したりしてたね。			エオルゼアの明日のために							
その焦りが、アシエンに憑依される隙になったか……。			その焦りが、アシエンに憑依される隙になったか……。			エオルゼアの明日のために							
