朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			捕集の民、モブリン族							
ヘイザ・アロの古典的な暮らしですか……。個人的には、あまり良い思い出がありませんね。			ヘイザ・アロの古典的な暮らしですか……。個人的には、あまり良い思い出がありませんね。			壺匠の世話人							
カーヘのために作った料理、アタシもひと皿味見したけど、めちゃめちゃ美味かったぜ！ついついおかわりしちまったもん！			カーヘのために作った料理、アタシもひと皿味見したけど、めちゃめちゃ美味かったぜ！ついついおかわりしちまったもん！			壺匠の世話人							
まったく、嫌なことを思い出してしまった……。			まったく、嫌なことを思い出してしまった……。			壺匠の世話人							
フゴォ……フゴォ……とてとて　感謝　ふたりとも！			フゴォ……フゴォ……とてとて　感謝　ふたりとも！			壺匠の世話人							
おもてなしに　大切なこと　相手のこと知る　観察眼！気づかせてくれて　ありがと～！			おもてなしに　大切なこと　相手のこと知る　観察眼！気づかせてくれて　ありがと～！			壺匠の世話人							
そうだな……相手のことを知る大切さは、アタシもこの旅で痛感してる。お互い頑張っていこうぜ！			そうだな……相手のことを知る大切さは、アタシもこの旅で痛感してる。お互い頑張っていこうぜ！			壺匠の世話人							
釉薬の工房のコーナは、まだ伝えたいことがあるようだ。			釉薬の工房のコーナは、まだ伝えたいことがあるようだ。			壺の試練							
レディロクと話す			レディロクと話す			壺の試練							
ウクラマトと話す			ウクラマトと話す			壺の試練							
ローペリと話す			ローペリと話す			壺の試練							
フォンジャンテーンと話す			フォンジャンテーンと話す			壺の試練							
ウクラマトと話す			ウクラマトと話す			壺の試練							
カーヘのために作った料理、アタシもひと皿味見したけど、めちゃめちゃ美味かったぜ！ついついおかわりしちまったもん！			カーヘのために作った料理、アタシもひと皿味見したけど、めちゃめちゃ美味かったぜ！ついついおかわりしちまったもん！			壺の試練							
フゴォ……フゴォ……カーヘが作った　オイルランプさっそく　献上　連王宮～！			フゴォ……フゴォ……カーヘが作った　オイルランプさっそく　献上　連王宮～！			壺の試練							
選者いわく、「壺の試練」に参加する継承候補者たちは、アースンシャイア西側の建物で待つように、とのこと。僕は、サンクレッドたちと合流してから向かいます。			選者いわく、「壺の試練」に参加する継承候補者たちは、アースンシャイア西側の建物で待つように、とのこと。僕は、サンクレッドたちと合流してから向かいます。			壺の試練							
そうそう、ラマチを呼びに来る途中で見かけた、ルヴェユール家の兄妹にもお伝えしておきましたよ。			そうそう、ラマチを呼びに来る途中で見かけた、ルヴェユール家の兄妹にもお伝えしておきましたよ。			壺の試練							
アタシらは競争相手なんだから、律儀に教えなくてもいいのに。兄さんって、昔からクソ真面目だよなぁ……。			アタシらは競争相手なんだから、律儀に教えなくてもいいのに。兄さんって、昔からクソ真面目だよなぁ……。			壺の試練							
ともかく、選者の「レディロク」のところに向かおうぜ！			ともかく、選者の「レディロク」のところに向かおうぜ！			壺の試練							
フゴォ……フゴォ……カーヘ残って　ひと安心！ふたりなら　きっと試練も　上手くいく～！			フゴォ……フゴォ……カーヘ残って　ひと安心！ふたりなら　きっと試練も　上手くいく～！			壺の試練							
みんなは、まだ来てねぇみたいだな。			みんなは、まだ来てねぇみたいだな。			壺の試練							
フゴォ……フゴォ……世話人ラコロクの　手伝い感謝！			フゴォ……フゴォ……世話人ラコロクの　手伝い感謝！			壺の試練							
ほかの候補者　集まり次第　お待ちかねの　試練を発表！それまで少し　待っていて！			ほかの候補者　集まり次第　お待ちかねの　試練を発表！それまで少し　待っていて！			壺の試練							
