自由弁論館の水晶公は、とっておきの提案があるようだ。			自由弁論館の水晶公は、とっておきの提案があるようだ。			クリスタリウムの意気							
ラディスカ物見塔にいる「物見塔の衛兵」に話しかけ、「アマロ」に騎乗した状態で、「ゼリ・ヴァンシュー」のもとに来ましょう。			ラディスカ物見塔にいる「物見塔の衛兵」に話しかけ、「アマロ」に騎乗した状態で、「ゼリ・ヴァンシュー」のもとに来ましょう。			帯の道を進め！							
ご苦労だったな！……って、あんま見ない顔だが、あんたも衛兵なのか？			ご苦労だったな！……って、あんま見ない顔だが、あんたも衛兵なのか？			帯の道を進め！							
ハハッ、なるほどな！期せずして、目的地までアマロで来られちまったわけだ！			ハハッ、なるほどな！期せずして、目的地までアマロで来られちまったわけだ！			帯の道を進め！							
ってわけで、ようこそ「オスタル厳命城」へ。レイクランドに点在する衛兵団の拠点の中でも、いっちばんデカい要所なんだ！			ってわけで、ようこそ「オスタル厳命城」へ。レイクランドに点在する衛兵団の拠点の中でも、いっちばんデカい要所なんだ！			帯の道を進め！							
ライナ団長も、さっき到着したみたいだぜ。物見台の上にいるはずだから、報告してきたらどうだ？			ライナ団長も、さっき到着したみたいだぜ。物見台の上にいるはずだから、報告してきたらどうだ？			帯の道を進め！							
さぁて、アマロたちを万全の状態に整えてやらないとな！			さぁて、アマロたちを万全の状態に整えてやらないとな！			帯の道を進め！							
ああ、やはりあなたでしたか。結果的にアマロの配備を手伝わせてしまったようで、お手数をおかけしました。			ああ、やはりあなたでしたか。結果的にアマロの配備を手伝わせてしまったようで、お手数をおかけしました。			帯の道を進め！							
おかげさまで、作戦の準備は順調です。あと一息、協力をお願いしますね。			おかげさまで、作戦の準備は順調です。あと一息、協力をお願いしますね。			帯の道を進め！							
オスタル厳命城のライナは、作戦の準備を進めているようだ。			オスタル厳命城のライナは、作戦の準備を進めているようだ。			ミンフィリア救出作戦							
ライナから、作戦の準備を頼まれた。オスタル厳命城にある「特製の飼料」を入手しよう。			ライナから、作戦の準備を頼まれた。オスタル厳命城にある「特製の飼料」を入手しよう。			ミンフィリア救出作戦							
