双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			偽りの角							
そうか、この路地裏にある「パールレーン」であれば、比較的、生活に不満を持った民が多いだろう……。そちらを見てみるのが良いかもしれぬな。			そうか、この路地裏にある「パールレーン」であれば、比較的、生活に不満を持った民が多いだろう……。そちらを見てみるのが良いかもしれぬな。			剣なき英雄							
次はForenameが先導してくれぬか？どうやら、勘が鈍ってしまったようだ……。準備ができたら、吾輩に声をかけてくれ。			次はForenameが先導してくれぬか？どうやら、勘が鈍ってしまったようだ……。準備ができたら、吾輩に声をかけてくれ。			剣なき英雄							
路地裏の「パールレーン」の方を探してみよう。貴様の後ろについてゆくので、先導を頼むぞ。			路地裏の「パールレーン」の方を探してみよう。貴様の後ろについてゆくので、先導を頼むぞ。			剣なき英雄							
何をする？			何をする？			剣なき英雄							
話す			話す			剣なき英雄							
同行状態を解除する			同行状態を解除する			剣なき英雄							
キャンセル			キャンセル			剣なき英雄							
「パールレーンについて」を聞く			「パールレーンについて」を聞く			剣なき英雄							
「貧民層の生活状況について」を聞く			「貧民層の生活状況について」を聞く			剣なき英雄							
ここの裏路地には、生活に不満を持つ貧民層が集いやすい。ゆえに、絶望へと至る者も多かろう。			ここの裏路地には、生活に不満を持つ貧民層が集いやすい。ゆえに、絶望へと至る者も多かろう。			剣なき英雄							
偽神獣の件を受け、ナナモ様は民の声を聞こうとしておられるのやもしれぬな。			偽神獣の件を受け、ナナモ様は民の声を聞こうとしておられるのやもしれぬな。			剣なき英雄							
これは……以前吾輩が訪れたときよりも、幾分活気づいているな。			これは……以前吾輩が訪れたときよりも、幾分活気づいているな。			剣なき英雄							
ナナモ様が発案されたギラバニアの復興事業では、貧民層も積極的に雇用しているが、その成果が表れているようだ。衣食住の保証なければ、心の安定も難しいからな。			ナナモ様が発案されたギラバニアの復興事業では、貧民層も積極的に雇用しているが、その成果が表れているようだ。衣食住の保証なければ、心の安定も難しいからな。			剣なき英雄							
未だ生活が厳しい者も多くいるようだが、ロロリトから、ライブラ銀行の警備に抜擢された者もいると聞く。貧民たちが絶望どころか、夢を語るまでになるとは……。			未だ生活が厳しい者も多くいるようだが、ロロリトから、ライブラ銀行の警備に抜擢された者もいると聞く。貧民たちが絶望どころか、夢を語るまでになるとは……。			剣なき英雄							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			剣なき英雄							
急用ができたのか？では、吾輩はもう一度「サファイアアベニュー国際市場」を探そう。見落としていた場所があるやもしれぬからな。			急用ができたのか？では、吾輩はもう一度「サファイアアベニュー国際市場」を探そう。見落としていた場所があるやもしれぬからな。			剣なき英雄							
