忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			イシュガルドのモブハント（初級）							
狩人の腕を見込んで頼みがあるんだ……シシシシシ。「グナースの塚」の西の川辺に荷車がある。そこから「荷車の積荷」を回収してくれないか……。			狩人の腕を見込んで頼みがあるんだ……シシシシシ。「グナースの塚」の西の川辺に荷車がある。そこから「荷車の積荷」を回収してくれないか……。			自慢の特技							
シシシシシ…これは俺たちのものだ！			シシシシシ…これは俺たちのものだ！			自慢の特技							
狩人の腕を見込んで頼みがあるんだ……シシシシシ。「グナースの塚」の西の川辺に荷車がある。そこから「荷車の積荷」を回収してくれないか……。			狩人の腕を見込んで頼みがあるんだ……シシシシシ。「グナースの塚」の西の川辺に荷車がある。そこから「荷車の積荷」を回収してくれないか……。			自慢の特技							
シシシシシ……これで間違いない、ありがとう。「ニモツハコビ」である僕の自慢は、誰よりも早く荷車を牽き、誰よりも早く荷物を運ぶことなんだ。			シシシシシ……これで間違いない、ありがとう。「ニモツハコビ」である僕の自慢は、誰よりも早く荷車を牽き、誰よりも早く荷物を運ぶことなんだ。			自慢の特技							
それなのに荷物を奪われたと皆に知られたら、「ニモツハコビ」どころか「ニモツナクシ」になってしまう！皆と意識が繋がっていなくて本当に良かったよ……シシシシシ。			それなのに荷物を奪われたと皆に知られたら、「ニモツハコビ」どころか「ニモツナクシ」になってしまう！皆と意識が繋がっていなくて本当に良かったよ……シシシシシ。			自慢の特技							
テイルフェザーのマルスシャンは、気抜けしているようだ。			テイルフェザーのマルスシャンは、気抜けしているようだ。			やっかいな相手							
マルスシャンに情報収集を頼まれた。高地ドラヴァニアのチョコボの森にある3箇所のキャンプで、情報を集めよう。			マルスシャンに情報収集を頼まれた。高地ドラヴァニアのチョコボの森にある3箇所のキャンプで、情報を集めよう。			やっかいな相手							
キャンプを回り、情報を集めた。テイルフェザーの「マルスシャン」に報告しよう。			キャンプを回り、情報を集めた。テイルフェザーの「マルスシャン」に報告しよう。			やっかいな相手							
集めた情報をマルスシャンに伝えた。彼は、巨大なだけでなく、人への敵意と賢さを持つグランチョコボを危険視しているようだ。			集めた情報をマルスシャンに伝えた。彼は、巨大なだけでなく、人への敵意と賢さを持つグランチョコボを危険視しているようだ。			やっかいな相手							
テイルフェザー付近のキャンプで情報を集める			テイルフェザー付近のキャンプで情報を集める			やっかいな相手							
マルスシャンに報告			マルスシャンに報告			やっかいな相手							
まったく、手痛くやられちまったぜ……。これが、狙っていたグランチョコボの仕業だっていうんだから、テイルフェザーの猟師としちゃあ、笑えない話さ。			まったく、手痛くやられちまったぜ……。これが、狙っていたグランチョコボの仕業だっていうんだから、テイルフェザーの猟師としちゃあ、笑えない話さ。			やっかいな相手							
……だがな、こっちにも意地ってもんがある。絶対にヤツを捕まえてやるつもりさ……。そこで、お前さんにも手伝ってもらいたいんだ。			……だがな、こっちにも意地ってもんがある。絶対にヤツを捕まえてやるつもりさ……。そこで、お前さんにも手伝ってもらいたいんだ。			やっかいな相手							
