シェシェネ青燐泉のエレンヴィルは、冒険者を待っているようだ。			シェシェネ青燐泉のエレンヴィルは、冒険者を待っているようだ。			自然に導かれし人々							
でも……子どもと……夫が目の前で……うううっ……あああ……っ……。			でも……子どもと……夫が目の前で……うううっ……あああ……っ……。			血の涙を拭って							
どうして……どうしてよ……。			どうして……どうしてよ……。			血の涙を拭って							
ありがとう……大丈夫だ……どうにか……。			ありがとう……大丈夫だ……どうにか……。			血の涙を拭って							
なあ……あんたは見たか……？あいつら、たしかに人の形をしてたのに……。			なあ……あんたは見たか……？あいつら、たしかに人の形をしてたのに……。			血の涙を拭って							
人を殺すことに何の躊躇もなかった……！なんで、あんなことができるんだ？			人を殺すことに何の躊躇もなかった……！なんで、あんなことができるんだ？			血の涙を拭って							
次また襲われたらおしまいだ……。			次また襲われたらおしまいだ……。			血の涙を拭って							
うう…………ありがとう、少し落ち着いたよ。でも、まだ震えが止まらない……。			うう…………ありがとう、少し落ち着いたよ。でも、まだ震えが止まらない……。			血の涙を拭って							
どうしてこんなことになっちまったんだ……。それに、あの空に浮かぶ黒い塊は、なんでまだ街の上に……？			どうしてこんなことになっちまったんだ……。それに、あの空に浮かぶ黒い塊は、なんでまだ街の上に……？			血の涙を拭って							
グルージャジャ様が連王だったときは……こんなことは起きなかったのに……！			グルージャジャ様が連王だったときは……こんなことは起きなかったのに……！			血の涙を拭って							
声を荒らげて、すまない……。どうしていいか……わからないんだ……。			声を荒らげて、すまない……。どうしていいか……わからないんだ……。			血の涙を拭って							
すまねぇ……助かったぜ……。			すまねぇ……助かったぜ……。			血の涙を拭って							
だけど、ちくしょう……！市民たちを守れなかった……！！			だけど、ちくしょう……！市民たちを守れなかった……！！			血の涙を拭って							
何でトライヨラが襲われなきゃなんねぇんだ……！新しい連王たちは、何やってたんだ……！！			何でトライヨラが襲われなきゃなんねぇんだ……！新しい連王たちは、何やってたんだ……！！			血の涙を拭って							
くそおっ、わかってるさ……新連王のせいじゃないって。だけどッ…………だめだ、頭を冷やしてくる……。			くそおっ、わかってるさ……新連王のせいじゃないって。だけどッ…………だめだ、頭を冷やしてくる……。			血の涙を拭って							
ふう……。ありがとう、恩に着るよ……。			ふう……。ありがとう、恩に着るよ……。			血の涙を拭って							
なあ、気になる噂を耳にしちまったんだ。敵将が、ゾラージャ様に似てたって……。			なあ、気になる噂を耳にしちまったんだ。敵将が、ゾラージャ様に似てたって……。			血の涙を拭って							
そんなの嘘だよな？だって、あの方はグルージャジャ様の実の子どもで、ウクラマト様やコーナ様の義兄なんだぞ！？			そんなの嘘だよな？だって、あの方はグルージャジャ様の実の子どもで、ウクラマト様やコーナ様の義兄なんだぞ！？			血の涙を拭って							
