オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			ギルドシップのモブハント（中級）							
任務中は勝手な行動をせず、俺の指示に従うこと。わかったら、黙ってついてこい。			任務中は勝手な行動をせず、俺の指示に従うこと。わかったら、黙ってついてこい。			あたたかな日々は遠く							
これは……。公園とは思えないほど、魔導兵器の残骸が転がっているね。			これは……。公園とは思えないほど、魔導兵器の残骸が転がっているね。			あたたかな日々は遠く							
ここで一旦止まれ。			ここで一旦止まれ。			あたたかな日々は遠く							
これが、ガレマルドの公園……。今は荒れちゃってるけど、ずいぶん広いのね……！			これが、ガレマルドの公園……。今は荒れちゃってるけど、ずいぶん広いのね……！			あたたかな日々は遠く							
郊外にはいくらでも空き地が広がってるが、寒い時期はとくに、必ずしも安全とはいえないからな。			郊外にはいくらでも空き地が広がってるが、寒い時期はとくに、必ずしも安全とはいえないからな。			あたたかな日々は遠く							
子どもたちが遊んだり、ちょっとした交流の場として使うのに、市街地の公園は欠かせないんだ。			子どもたちが遊んだり、ちょっとした交流の場として使うのに、市街地の公園は欠かせないんだ。			あたたかな日々は遠く							
ここ「フォルム・ソリウス」は、国父ソル帝の名を冠するだけあって、このあたりでもっとも大きな公園だ。			ここ「フォルム・ソリウス」は、国父ソル帝の名を冠するだけあって、このあたりでもっとも大きな公園だ。			あたたかな日々は遠く							
もしかして、ここに放棄されている魔導兵器から、青燐水を回収するのかい？			もしかして、ここに放棄されている魔導兵器から、青燐水を回収するのかい？			あたたかな日々は遠く							
いや、それはとっくに俺たちが済ませた。ほかにも、めぼしい施設からは回収済みだ。			いや、それはとっくに俺たちが済ませた。ほかにも、めぼしい施設からは回収済みだ。			あたたかな日々は遠く							
……だが、青燐水が盗まれた今となっては、ほんの少しの取り残しでも、あれば大助かりだ。			……だが、青燐水が盗まれた今となっては、ほんの少しの取り残しでも、あれば大助かりだ。			あたたかな日々は遠く							
公園には大した資源がないだろうと考えていたが、今回は改めて、徹底的な探索をしたいと思う。			公園には大した資源がないだろうと考えていたが、今回は改めて、徹底的な探索をしたいと思う。			あたたかな日々は遠く							
