トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トラル大陸のモブハント（中級）							
(-武王グルージャジャ-)ここから先は、トライヨラの王としてじゃなくてよ、ラマチのオヤジとして話がしたい。悪いが、付き合ってくれるか？			(-武王グルージャジャ-)ここから先は、トライヨラの王としてじゃなくてよ、ラマチのオヤジとして話がしたい。悪いが、付き合ってくれるか？			ふたりの父							
その表情の意味はわからないが、引き受けてくれて助かるよ。私とウクラマト……いや、ウクラマト王女の関係は、ここだけの秘密にしておいてくれ。			その表情の意味はわからないが、引き受けてくれて助かるよ。私とウクラマト……いや、ウクラマト王女の関係は、ここだけの秘密にしておいてくれ。			ふたりの父							
星覚えの園庭のウクラマトは、ティーンベク洞道の復旧状況が気になっているようだ。			星覚えの園庭のウクラマトは、ティーンベク洞道の復旧状況が気になっているようだ。			ティーンベク洞道を抜けて							
エレンヴィルと話す			エレンヴィルと話す			ティーンベク洞道を抜けて							
クルルと話す			クルルと話す			ティーンベク洞道を抜けて							
アルフィノと話す			アルフィノと話す			ティーンベク洞道を抜けて							
エレンヴィルと話す			エレンヴィルと話す			ティーンベク洞道を抜けて							
輝きを帯びた岩にグリーナーの磁鉄鉱を使う			輝きを帯びた岩にグリーナーの磁鉄鉱を使う			ティーンベク洞道を抜けて							
エレンヴィルと話す			エレンヴィルと話す			ティーンベク洞道を抜けて							
ウクラマトさん、一見疲れてるみたいだけれど、どこか晴れ晴れとした爽やかな表情をしてるようにも見えるわ。ふたりで何をしていたの？			ウクラマトさん、一見疲れてるみたいだけれど、どこか晴れ晴れとした爽やかな表情をしてるようにも見えるわ。ふたりで何をしていたの？			ティーンベク洞道を抜けて							
双子に付き合って、上の森……「ウトォームの地平線」を隅々まで案内させられたぞ。			双子に付き合って、上の森……「ウトォームの地平線」を隅々まで案内させられたぞ。			ティーンベク洞道を抜けて							
そろそろティーンベク洞道が復旧する頃合いだろう。			そろそろティーンベク洞道が復旧する頃合いだろう。			ティーンベク洞道を抜けて							
何か嬉しいことでもあったの？だって、やけに口元が緩んでるように見えたから。			何か嬉しいことでもあったの？だって、やけに口元が緩んでるように見えたから。			ティーンベク洞道を抜けて							
