ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			守るべきぬくもり							
神勇隊とは協力関係にあってね。			神勇隊とは協力関係にあってね。			大樹で蠢く闇の鼓動							
そう、あたしたちは、グリダニア人じゃないんだ。君と同じ異邦人。			そう、あたしたちは、グリダニア人じゃないんだ。君と同じ異邦人。			大樹で蠢く闇の鼓動							
え、シャーレアン出身じゃないかって？ありゃ？何で解ったの？			え、シャーレアン出身じゃないかって？ありゃ？何で解ったの？			大樹で蠢く闇の鼓動							
……うん、間違いない。			……うん、間違いない。			大樹で蠢く闇の鼓動							
ん？　何が？			ん？　何が？			大樹で蠢く闇の鼓動							
なんでもない。			なんでもない。			大樹で蠢く闇の鼓動							
教えてくれてもいいじゃん！ケチンボ！心の狭いヤツ！			教えてくれてもいいじゃん！ケチンボ！心の狭いヤツ！			大樹で蠢く闇の鼓動							
バカ！お前の態度が大きすぎるだけだろ！			バカ！お前の態度が大きすぎるだけだろ！			大樹で蠢く闇の鼓動							
とはいえ、これでグリダニアを騒がせていた不審者騒動も一段落ね。			とはいえ、これでグリダニアを騒がせていた不審者騒動も一段落ね。			大樹で蠢く闇の鼓動							
僕たちも行こう。			僕たちも行こう。			大樹で蠢く闇の鼓動							
まった会おうね！			まった会おうね！			大樹で蠢く闇の鼓動							
ご活躍は伝令より聞いております。さあ「神勇隊司令室」はこちらです。			ご活躍は伝令より聞いております。さあ「神勇隊司令室」はこちらです。			大樹で蠢く闇の鼓動							
「神勇隊司令室」に移動する？			「神勇隊司令室」に移動する？			大樹で蠢く闇の鼓動							
はい			はい			大樹で蠢く闇の鼓動							
いいえ			いいえ			大樹で蠢く闇の鼓動							
ご用の際には遠慮なくお申しつけください。			ご用の際には遠慮なくお申しつけください。			大樹で蠢く闇の鼓動							
帰ってきたか、Surname！無事で何よりだ！神勇隊へ協力してくれて、本当に助かった！			帰ってきたか、Surname！無事で何よりだ！神勇隊へ協力してくれて、本当に助かった！			大樹で蠢く闇の鼓動							
我が神勇隊は、お前を見習わなくてはならんな……。			我が神勇隊は、お前を見習わなくてはならんな……。			大樹で蠢く闇の鼓動							
なんせお前は「長老の木」を襲ったイクサル族に加え、巷を騒がせていた不審者まで退治したのだからな！			なんせお前は「長老の木」を襲ったイクサル族に加え、巷を騒がせていた不審者まで退治したのだからな！			大樹で蠢く闇の鼓動							
Forename Surname。お前は、良い腕、良い根性、そして良い目をしている。			Forename Surname。お前は、良い腕、良い根性、そして良い目をしている。			大樹で蠢く闇の鼓動							
いつかきっと名立たる冒険者になるだろう。神勇隊の隊長、リュウィンが認めたのだ、間違いない。			いつかきっと名立たる冒険者になるだろう。神勇隊の隊長、リュウィンが認めたのだ、間違いない。			大樹で蠢く闇の鼓動							
ミューヌの目に狂いは無かったということだな。さぞや、カヌ・エ様もお喜びになるであろう。			ミューヌの目に狂いは無かったということだな。さぞや、カヌ・エ様もお喜びになるであろう。			大樹で蠢く闇の鼓動							
Surname。お前の活躍で、グリダニアの危機を救うことができた。感謝するぞ！			Surname。お前の活躍で、グリダニアの危機を救うことができた。感謝するぞ！			大樹で蠢く闇の鼓動							
カヌ・エ様！			カヌ・エ様！			大樹で蠢く闇の鼓動							
カヌ・エ様だ！			カヌ・エ様だ！			大樹で蠢く闇の鼓動							
神勇隊の活躍、伺っております。この度は、ご苦労さまでした。			神勇隊の活躍、伺っております。この度は、ご苦労さまでした。			大樹で蠢く闇の鼓動							
あなたが、我が国へ力を貸してくださっている冒険者ですね。ご高名はかねがね……。			あなたが、我が国へ力を貸してくださっている冒険者ですね。ご高名はかねがね……。			大樹で蠢く闇の鼓動							
あなたは……？何なの、この頭の中がうずく感じは……。			あなたは……？何なの、この頭の中がうずく感じは……。			大樹で蠢く闇の鼓動							
駄目だわ……まるで霞がかかったように……。			駄目だわ……まるで霞がかかったように……。			大樹で蠢く闇の鼓動							
……でも、何故かしら。お互い、初めてお会いするはずなのに、こんなに懐かしさを感じるなんて……。			……でも、何故かしら。お互い、初めてお会いするはずなのに、こんなに懐かしさを感じるなんて……。			大樹で蠢く闇の鼓動							
私は、カヌ・エ・センナ。このグリダニアの政を任されているものです。お見知り置きを。			私は、カヌ・エ・センナ。このグリダニアの政を任されているものです。お見知り置きを。			大樹で蠢く闇の鼓動							
