トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トラル大陸のモブハント（上級）							
オリジェニクス……恐らくこの国の戦力に大きく関わる施設だ。それだけに、何が待ち受けているかわからない……気を引き締めて潜入しよう！			オリジェニクス……恐らくこの国の戦力に大きく関わる施設だ。それだけに、何が待ち受けているかわからない……気を引き締めて潜入しよう！			奇跡の子							
この討滅戦は、クエスト中およびコンテンツサポーターでのみ、「暁の血盟」の仲間たちとともに挑むことができます。一部の仲間は、普段と選択できるロールが異なります。			この討滅戦は、クエスト中およびコンテンツサポーターでのみ、「暁の血盟」の仲間たちとともに挑むことができます。一部の仲間は、普段と選択できるロールが異なります。			奇跡の子							
加えて、「魂魄工廠 オリジェニクス」に、仲間NPCの幻体を連れて、突入できるようになりました！「コンテンツ情報」の「フェイス」から、挑戦が可能です。			加えて、「魂魄工廠 オリジェニクス」に、仲間NPCの幻体を連れて、突入できるようになりました！「コンテンツ情報」の「フェイス」から、挑戦が可能です。			奇跡の子							
最上層へ向かうのでしたら、ホバーカーゴを出しますよ。			最上層へ向かうのでしたら、ホバーカーゴを出しますよ。			奇跡の子							
「エバーキープ最上層」へ移動しますか？			「エバーキープ最上層」へ移動しますか？			奇跡の子							
どうする？			どうする？			奇跡の子							
話す			話す			奇跡の子							
パーティを編成して突入			パーティを編成して突入			奇跡の子							
キャンセル			キャンセル			奇跡の子							
絶対に……絶対に、この戦いだけは負けられねぇ。トライヨラに笑顔を取り戻すために、力を貸してくれ、Forename……！			絶対に……絶対に、この戦いだけは負けられねぇ。トライヨラに笑顔を取り戻すために、力を貸してくれ、Forename……！			奇跡の子							
残念だけれど、世界の脅威となってしまった彼を、見過ごすわけにはいかないわ……。ともに立ち向かいましょう！			残念だけれど、世界の脅威となってしまった彼を、見過ごすわけにはいかないわ……。ともに立ち向かいましょう！			奇跡の子							
