東龍鱗橋付近のイッセは、落ち着かない様子だ。			東龍鱗橋付近のイッセは、落ち着かない様子だ。			踏み出す一歩							
まだ付き合ってくれるのだな、かたじけない。手始めに、俵運びをやらせてみようかと思うのだ。			まだ付き合ってくれるのだな、かたじけない。手始めに、俵運びをやらせてみようかと思うのだ。			クロバナ、俵運びに挑む！							
見てのとおり、この村は稲作で生計を立てている。収穫した米は、稲わらで作った俵に入れて、この近くにある倉まで運んでくるのだ。			見てのとおり、この村は稲作で生計を立てている。収穫した米は、稲わらで作った俵に入れて、この近くにある倉まで運んでくるのだ。			クロバナ、俵運びに挑む！							
武の才はなくとも、クロバナは人狼族だ。人並み外れた力を持っているだろうから、荷運びが向いているやもしれん。			武の才はなくとも、クロバナは人狼族だ。人並み外れた力を持っているだろうから、荷運びが向いているやもしれん。			クロバナ、俵運びに挑む！							
倉の管理を担っているシロジシという者には、私から話をつけておくので、「クロバナ」のやつに、この件を伝えておいてくれないだろうか？			倉の管理を担っているシロジシという者には、私から話をつけておくので、「クロバナ」のやつに、この件を伝えておいてくれないだろうか？			クロバナ、俵運びに挑む！							
なに、心配はいらないさ。村の者でない、そなたが話をした方が、あいつも聞き入れてくれるだろうしな。			なに、心配はいらないさ。村の者でない、そなたが話をした方が、あいつも聞き入れてくれるだろうしな。			クロバナ、俵運びに挑む！							
倉の管理を担っているシロジシという者には、私から話をつけておくので、「クロバナ」のやつに、この件を伝えておいてくれないだろうか？			倉の管理を担っているシロジシという者には、私から話をつけておくので、「クロバナ」のやつに、この件を伝えておいてくれないだろうか？			クロバナ、俵運びに挑む！							
あぁ、旅の人か。まだ村にいたんだな……で、まだ俺に何か用でも？			あぁ、旅の人か。まだ村にいたんだな……で、まだ俺に何か用でも？			クロバナ、俵運びに挑む！							
俵運びをやってみないか、だって！？あの人も、本当に世話焼きというか、おせっかいというか……。			俵運びをやってみないか、だって！？あの人も、本当に世話焼きというか、おせっかいというか……。			クロバナ、俵運びに挑む！							
けど、村の役に立てるなら、やらない手はないな。わかった、「シロジシ」さんのところに行くとするよ。			けど、村の役に立てるなら、やらない手はないな。わかった、「シロジシ」さんのところに行くとするよ。			クロバナ、俵運びに挑む！							
いつの間にかシロジシさんに話をつけてるだなんて、あの人も、本当に世話焼きというか、おせっかいというか……。けど、村の役に立てるなら、やらない手はないからな。			いつの間にかシロジシさんに話をつけてるだなんて、あの人も、本当に世話焼きというか、おせっかいというか……。けど、村の役に立てるなら、やらない手はないからな。			クロバナ、俵運びに挑む！							
よく来たな、クロバナ！旅の方も、わざわざすまない。いきさつはフクドさんから、しかと聞いてるぜ！			よく来たな、クロバナ！旅の方も、わざわざすまない。いきさつはフクドさんから、しかと聞いてるぜ！			クロバナ、俵運びに挑む！							
運んで貰いたいのは、この俵よ！こいつを、村の倉まで運んでくれ。結構な重さだが、やれそうか？			運んで貰いたいのは、この俵よ！こいつを、村の倉まで運んでくれ。結構な重さだが、やれそうか？			クロバナ、俵運びに挑む！							
戦いはともかく、力にはそれなりの自信があるよ。ちゃちゃっと運び終えてみせるさ！			戦いはともかく、力にはそれなりの自信があるよ。ちゃちゃっと運び終えてみせるさ！			クロバナ、俵運びに挑む！							
