ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			大精霊が宿る木							
メ・ラツ・ヌンは、メ・ゼト・ティアとの決闘に応える気でいるようだ。決闘の舞台に指定された、ピーリングストーンズ南東の指定地点で待機しよう。			メ・ラツ・ヌンは、メ・ゼト・ティアとの決闘に応える気でいるようだ。決闘の舞台に指定された、ピーリングストーンズ南東の指定地点で待機しよう。			剣に誓う							
メ・ゼト・ティアの父、メ・アト・ヌンは、息子を捨てて逃げたわけではなく、一族のために戦って命を落としたという。ピーリングストーンズ南東の谷間で「メ・ゼト・ティア」と話そう。			メ・ゼト・ティアの父、メ・アト・ヌンは、息子を捨てて逃げたわけではなく、一族のために戦って命を落としたという。ピーリングストーンズ南東の谷間で「メ・ゼト・ティア」と話そう。			剣に誓う							
メ・ゼト・ティアは、かつて父が守ろうとしたものを守れる男になると決意する。ピーリングストーンズの「メ・ラツ・ヌン」と話そう。			メ・ゼト・ティアは、かつて父が守ろうとしたものを守れる男になると決意する。ピーリングストーンズの「メ・ラツ・ヌン」と話そう。			剣に誓う							
メ・ラツ・ヌンは、メ・ゼト・ティアが自由人として集落で暮らすことを許した。偉大な「ヌン」である父を目指し、日々研鑽に励むことを誓ったメ・ゼト・ティアは、そのときがきたら、師匠である冒険者に、再び手合わせしてほしいと頼むのだった。			メ・ラツ・ヌンは、メ・ゼト・ティアが自由人として集落で暮らすことを許した。偉大な「ヌン」である父を目指し、日々研鑽に励むことを誓ったメ・ゼト・ティアは、そのときがきたら、師匠である冒険者に、再び手合わせしてほしいと頼むのだった。			剣に誓う							
メ・ラツ・ヌンと話す			メ・ラツ・ヌンと話す			剣に誓う							
指定地点で待機			指定地点で待機			剣に誓う							
メ・ゼト・ティアと話す			メ・ゼト・ティアと話す			剣に誓う							
メ・ラツ・ヌンと話す			メ・ラツ・ヌンと話す			剣に誓う							
よし……だいぶ回復しました。なんだか、腹の周りが見たことのない色になってますけど、たぶん大丈夫です！			よし……だいぶ回復しました。なんだか、腹の周りが見たことのない色になってますけど、たぶん大丈夫です！			剣に誓う							
オレはこれから、再び「ヌン」に決闘を挑みます。師匠には、立会人をお願いできますか？			オレはこれから、再び「ヌン」に決闘を挑みます。師匠には、立会人をお願いできますか？			剣に誓う							
ありがとうございます……師匠には、感謝してもしきれません。			ありがとうございます……師匠には、感謝してもしきれません。			剣に誓う							
では、行きましょう！ピーリングストーンズの「メ・ラツ・ヌン」の下へ！			では、行きましょう！ピーリングストーンズの「メ・ラツ・ヌン」の下へ！			剣に誓う							
再び、私の前に立ったということは、「ヌン」の座を懸けた決闘を所望する、ということでいいのだな？			再び、私の前に立ったということは、「ヌン」の座を懸けた決闘を所望する、ということでいいのだな？			剣に誓う							
ああ。今度こそお前を倒し、オレが「ヌン」になる！			ああ。今度こそお前を倒し、オレが「ヌン」になる！			剣に誓う							
いいだろう……。決闘は、ここより南東の谷間で行う。			いいだろう……。決闘は、ここより南東の谷間で行う。			剣に誓う							
なんだよ、ここでやるんじゃないのか？仲間の前で無様な負け姿を見せたくないってか！			なんだよ、ここでやるんじゃないのか？仲間の前で無様な負け姿を見せたくないってか！			剣に誓う							
まあいいさ、南東の谷間だな？師匠、行きましょう！			まあいいさ、南東の谷間だな？師匠、行きましょう！			剣に誓う							
逃げずに来たのは褒めてやろう。だが、今日でお前の「ヌン」の座は……			逃げずに来たのは褒めてやろう。だが、今日でお前の「ヌン」の座は……			剣に誓う							
メ・ゼト・ティアよ。決闘の前に、少し話したいことがある。			メ・ゼト・ティアよ。決闘の前に、少し話したいことがある。			剣に誓う							
