テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			口より手を							
勝手に撤去をするな！			勝手に撤去をするな！			いけない罠							
お、撤去できましたか！いやぁ～、よかったよかった！			お、撤去できましたか！いやぁ～、よかったよかった！			いけない罠							
……えっ、無法者の連中に襲われたんっすか！？そんな危険な仕事、俺にやらせようとするなんて……ひっでぇ先輩だなぁ、マジで……。			……えっ、無法者の連中に襲われたんっすか！？そんな危険な仕事、俺にやらせようとするなんて……ひっでぇ先輩だなぁ、マジで……。			いけない罠							
普通の先輩は、かわいい後輩に、そんな危険なことさせないっすよねぇ！？あ、お礼をどうぞ……どうも、ありがとうでした！			普通の先輩は、かわいい後輩に、そんな危険なことさせないっすよねぇ！？あ、お礼をどうぞ……どうも、ありがとうでした！			いけない罠							
テイルフェザーのエルヴォワは、オ・ベン・ティアに物申しにいこうとしているようだ。			テイルフェザーのエルヴォワは、オ・ベン・ティアに物申しにいこうとしているようだ。			生かされているんだ							
エルヴォワは、雑用ばかり申し付ける先輩に抗議に向かった。彼を追って、高地ドラヴァニアのテイルフェザーにいる「オ・ベン・ティア」と話そう。			エルヴォワは、雑用ばかり申し付ける先輩に抗議に向かった。彼を追って、高地ドラヴァニアのテイルフェザーにいる「オ・ベン・ティア」と話そう。			生かされているんだ							
エルヴォワがオ・ベン・ティアに話そうとしたところ、オ・ベン・ティアは無法者を追って、テイルフェザーの外に行ってしまった。テイルフェザーの北西のチョコボの森で「エルヴォワ」を探し、困っていたら救助しよう。			エルヴォワがオ・ベン・ティアに話そうとしたところ、オ・ベン・ティアは無法者を追って、テイルフェザーの外に行ってしまった。テイルフェザーの北西のチョコボの森で「エルヴォワ」を探し、困っていたら救助しよう。			生かされているんだ							
無法者に襲われていたエルヴォワを救助した。オ・ベン・ティアを追って、チョコボの森をさらに北西に向かった「エルヴォワ」と合流しよう。			無法者に襲われていたエルヴォワを救助した。オ・ベン・ティアを追って、チョコボの森をさらに北西に向かった「エルヴォワ」と合流しよう。			生かされているんだ							
エルヴォワは、オ・ベン・ティアがチョコボと猟師の共存について深い考えを持っていたことに、感銘を受けたようだ。ようやく、猟師としての一歩を踏み出したエルヴォワ。雑用を冒険者に丸投げしていたことは先輩にバレてしまったようだが、彼の今後の成長に期待しよう。			エルヴォワは、オ・ベン・ティアがチョコボと猟師の共存について深い考えを持っていたことに、感銘を受けたようだ。ようやく、猟師としての一歩を踏み出したエルヴォワ。雑用を冒険者に丸投げしていたことは先輩にバレてしまったようだが、彼の今後の成長に期待しよう。			生かされているんだ							
オ・ベン・ティアと話す			オ・ベン・ティアと話す			生かされているんだ							
チョコボの森でエルヴォワを探し、困っていたら救助			チョコボの森でエルヴォワを探し、困っていたら救助			生かされているんだ							
エルヴォワと合流			エルヴォワと合流			生かされているんだ							
これで、先輩の雑用指示書にあった仕事は、全部やったはず……。			これで、先輩の雑用指示書にあった仕事は、全部やったはず……。			生かされているんだ							
あーあ、先輩のこと、バリバリの猟師だと思って尊敬してたのに！雑用ばっかさせられるなんて思わなかったっすよ！			あーあ、先輩のこと、バリバリの猟師だと思って尊敬してたのに！雑用ばっかさせられるなんて思わなかったっすよ！			生かされているんだ							
……ちょっと、先輩のところに行ってきます！今まで我慢してたけど、もう限界っすわ！			……ちょっと、先輩のところに行ってきます！今まで我慢してたけど、もう限界っすわ！			生かされているんだ							
