ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウクラマトの平和							
ええ、本当に岩のように硬い魚なんですね！捌くのにはノミがいりそうなので、さっそく用意して調理してきます！			ええ、本当に岩のように硬い魚なんですね！捌くのにはノミがいりそうなので、さっそく用意して調理してきます！			幻魚術のためのカチコチ怪魚							
お待たせしました！いただいた魚はどれも大きく身も詰まっていて、幻魚術の習得には十分すぎる量です。			お待たせしました！いただいた魚はどれも大きく身も詰まっていて、幻魚術の習得には十分すぎる量です。			幻魚術のためのカチコチ怪魚							
なので、内側のプリップリで柔らかい部分は、おふたりもよければ……！			なので、内側のプリップリで柔らかい部分は、おふたりもよければ……！			幻魚術のためのカチコチ怪魚							
どうです？　まるで獣肉のように味が濃いでしょう？しかも硬い外皮のおかげで、じっくり揚げ焼きにすると旨味を閉じ込められるんです。			どうです？　まるで獣肉のように味が濃いでしょう？しかも硬い外皮のおかげで、じっくり揚げ焼きにすると旨味を閉じ込められるんです。			幻魚術のためのカチコチ怪魚							
なるほど、なるほど、塩振って焼く以外にもいろいろあるんだなぁ。			なるほど、なるほど、塩振って焼く以外にもいろいろあるんだなぁ。			幻魚術のためのカチコチ怪魚							
(-？？？？-)へぇー、美味しそう！			(-？？？？-)へぇー、美味しそう！			幻魚術のためのカチコチ怪魚							
失礼、お買い物をしていたらいい匂いがして、つい。お話を聞くに、とっても美味しそうなお魚なんだけど、売ってもらえたりはするのかしら？			失礼、お買い物をしていたらいい匂いがして、つい。お話を聞くに、とっても美味しそうなお魚なんだけど、売ってもらえたりはするのかしら？			幻魚術のためのカチコチ怪魚							
うーん、これはパシェニネのために仕入れてもらって、こいつに売っちまったもんだからなぁ……。			うーん、これはパシェニネのために仕入れてもらって、こいつに売っちまったもんだからなぁ……。			幻魚術のためのカチコチ怪魚							
僕は十分な量をいただけましたし、調理前の魚も残っていますからお譲りしますよ！よければ、調理法もお教えしましょう。			僕は十分な量をいただけましたし、調理前の魚も残っていますからお譲りしますよ！よければ、調理法もお教えしましょう。			幻魚術のためのカチコチ怪魚							
いやはや、いやはや、ありがてぇもんだ。まさか本当に、お客から怪魚を求められるとは！			いやはや、いやはや、ありがてぇもんだ。まさか本当に、お客から怪魚を求められるとは！			幻魚術のためのカチコチ怪魚							
パシェニネにも頑張ってほしいし、俺も、怪魚の売り方をもっと学ばせてもらわねぇとな！			パシェニネにも頑張ってほしいし、俺も、怪魚の売り方をもっと学ばせてもらわねぇとな！			幻魚術のためのカチコチ怪魚							
Forename、引き続き、引き続き、どうかよろしく頼むぜ！			Forename、引き続き、引き続き、どうかよろしく頼むぜ！			幻魚術のためのカチコチ怪魚							
魚道楽ドヌハヌの貢献ランクが上昇しました！ドヌハヌはあなたの事を、「頼れる怪魚ハンター」と感じているようです！			魚道楽ドヌハヌの貢献ランクが上昇しました！ドヌハヌはあなたの事を、「頼れる怪魚ハンター」と感じているようです！			幻魚術のためのカチコチ怪魚							
「漁師」がレベル95以上になると、ワチュメキメキ万貨街の「ドヌハヌ」から、次のクエストが受注可能です。			「漁師」がレベル95以上になると、ワチュメキメキ万貨街の「ドヌハヌ」から、次のクエストが受注可能です。			幻魚術のためのカチコチ怪魚							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「最強のトラルヴィドラール」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「最強のトラルヴィドラール」を完了する必要があります。			幻魚術のためのカチコチ怪魚							
ワチュメキメキ万貨街のシェーロジャは、お客さんの反応について話したいようだ。			ワチュメキメキ万貨街のシェーロジャは、お客さんの反応について話したいようだ。			疲労回復ジュースクラフト！							
シェーロジャからジュースの試作を依頼された。「ロトンアロエジュース」を6個製作し、ワチュメキメキ万貨街にいる「シェーロジャ」へ納品しよう。※納品は、収集価値「210」以上で可能となりますが、「430」以上で納品した場合、より多くの報酬が得られます。			シェーロジャからジュースの試作を依頼された。「ロトンアロエジュース」を6個製作し、ワチュメキメキ万貨街にいる「シェーロジャ」へ納品しよう。※納品は、収集価値「210」以上で可能となりますが、「430」以上で納品した場合、より多くの報酬が得られます。			疲労回復ジュースクラフト！							
