エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			護る者、壊す者							
ここ、何の場所だ……？落ち着かねぇぜ……。			ここ、何の場所だ……？落ち着かねぇぜ……。			青いフビゴ族							
なあ……お前、名前は？			なあ……お前、名前は？			青いフビゴ族							
ダメか……。せめてカフキワと落ち合えるといいんだが……。			ダメか……。せめてカフキワと落ち合えるといいんだが……。			青いフビゴ族							
そのコ、心を許した相手じゃなきゃあ、口利かないよぉ。			そのコ、心を許した相手じゃなきゃあ、口利かないよぉ。			青いフビゴ族							
この子と知り合いなのか？			この子と知り合いなのか？			青いフビゴ族							
さあねぇ。そんなことよりもぉ、一杯飲んでかない？			さあねぇ。そんなことよりもぉ、一杯飲んでかない？			青いフビゴ族							
アンタたち可愛いから、特別な酒……「Her♥Majesty」作ったげてもいいよぉ。お子様用にアルコールは抜いてアゲルからぁ。			アンタたち可愛いから、特別な酒……「Her♥Majesty」作ったげてもいいよぉ。お子様用にアルコールは抜いてアゲルからぁ。			青いフビゴ族							
い、いや……アタシはいいよ。今カフキワっていう仲間と待ち合わせしてるんだ。			い、いや……アタシはいいよ。今カフキワっていう仲間と待ち合わせしてるんだ。			青いフビゴ族							
その途中でこの子に会って、追いかけてきたらこの店で……。			その途中でこの子に会って、追いかけてきたらこの店で……。			青いフビゴ族							
……なぁんだ、カフキワの連れかぁ。			……なぁんだ、カフキワの連れかぁ。			青いフビゴ族							
カフキワに会いたいなら、奥にいるガタイのいいオトコ、タッソスに声かけなぁ。面白いとこにイケるよぉ。			カフキワに会いたいなら、奥にいるガタイのいいオトコ、タッソスに声かけなぁ。面白いとこにイケるよぉ。			青いフビゴ族							
この子はどうするんだ……？			この子はどうするんだ……？			青いフビゴ族							
そのコはここで留守番さぁ。どうせ今は何も喋る気なさそうだしぃ……とっととカフキワのとこにイッちゃいなぁ。			そのコはここで留守番さぁ。どうせ今は何も喋る気なさそうだしぃ……とっととカフキワのとこにイッちゃいなぁ。			青いフビゴ族							
なんだか、よくわからねぇことになったが……罠ってことはねぇよな？			なんだか、よくわからねぇことになったが……罠ってことはねぇよな？			青いフビゴ族							
