オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			ギルドシップのモブハント（上級）							
……殻を、そっと元に戻した。			……殻を、そっと元に戻した。			あらゆる■は淀み腐って							
この卵は、ほかと比べて綺麗に見える。孵って間もない状態のようだ。			この卵は、ほかと比べて綺麗に見える。孵って間もない状態のようだ。			あらゆる■は淀み腐って							
ほう……？卵は全滅かと思っていたが、無事に孵れた奴もいたようだな。			ほう……？卵は全滅かと思っていたが、無事に孵れた奴もいたようだな。			あらゆる■は淀み腐って							
しかし、こんな風に置き去りにされていて、ちゃんと親竜に合流できたのか……？			しかし、こんな風に置き去りにされていて、ちゃんと親竜に合流できたのか……？			あらゆる■は淀み腐って							
……軽く、あたりを見回ってみるか。俺は、アーム・ノールの正面方向を見てくる。お前は、竜の集落とは反対の方に進んでみてくれ。			……軽く、あたりを見回ってみるか。俺は、アーム・ノールの正面方向を見てくる。お前は、竜の集落とは反対の方に進んでみてくれ。			あらゆる■は淀み腐って							
…………。			…………。			あらゆる■は淀み腐って							
グギェェェ！ギョプ…ギェ…			グギェェェ！ギョプ…ギェ…			あらゆる■は淀み腐って							
グェェェ…プ…ピ…			グェェェ…プ…ピ…			あらゆる■は淀み腐って							
不快な鳴き声が途絶えたかと思えば……汝が屠ったのか。			不快な鳴き声が途絶えたかと思えば……汝が屠ったのか。			あらゆる■は淀み腐って							
尋常じゃない竜の悲鳴が聞こえたぞ。何があったんだ？			尋常じゃない竜の悲鳴が聞こえたぞ。何があったんだ？			あらゆる■は淀み腐って							
おい、こいつを襲った子竜は何だ？お前はその親なのか？			おい、こいつを襲った子竜は何だ？お前はその親なのか？			あらゆる■は淀み腐って							
……アーム・ノールに卵は置いた。それが孵ったというなら、確かに我が血族であろうよ。			……アーム・ノールに卵は置いた。それが孵ったというなら、確かに我が血族であろうよ。			あらゆる■は淀み腐って							
だが、そこな者は見たであろう。あの穢れた翼を……禍々しき容貌を……。			だが、そこな者は見たであろう。あの穢れた翼を……禍々しき容貌を……。			あらゆる■は淀み腐って							
あれはもはや竜にあらず……我が子にあらず……。我らの行いに対する罰であり、生きとし生ける者の、愚かさの証明だ……。			あれはもはや竜にあらず……我が子にあらず……。我らの行いに対する罰であり、生きとし生ける者の、愚かさの証明だ……。			あらゆる■は淀み腐って							
