忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			イシュガルドのモブハント（中級）							
クリスタルを積んだ輸送部隊は、青燐精製所へ向かう途中で、トラブルが起きて、立ち往生する「予定」になっている。			クリスタルを積んだ輸送部隊は、青燐精製所へ向かう途中で、トラブルが起きて、立ち往生する「予定」になっている。			黒衣の男							
俺たち3人は、それを別の場所から監視し、襲撃を待つ。今回の輸送計画について、それとなく情報を漏らしてある。きっと食いついてくれるはずだ。			俺たち3人は、それを別の場所から監視し、襲撃を待つ。今回の輸送計画について、それとなく情報を漏らしてある。きっと食いついてくれるはずだ。			黒衣の男							
……作戦は理解できたな。それでは各自「指定地点」から、周囲を監視してくれ！			……作戦は理解できたな。それでは各自「指定地点」から、周囲を監視してくれ！			黒衣の男							
あら、どうしたの……？あなたの持ち場はここじゃないはずよ。			あら、どうしたの……？あなたの持ち場はここじゃないはずよ。			黒衣の男							
囮部隊を使って、トリスタンを誘き出すぞ……！「指定地点」でヤツが来るのを待つんだ。			囮部隊を使って、トリスタンを誘き出すぞ……！「指定地点」でヤツが来るのを待つんだ。			黒衣の男							
協力してくれる冒険者ってのはあんたかい？だとしたら、俺に話しかけるのはまずいな……。敵が来ないうちに、俺から離れろ。			協力してくれる冒険者ってのはあんたかい？だとしたら、俺に話しかけるのはまずいな……。敵が来ないうちに、俺から離れろ。			黒衣の男							
……う、うわああああああああああ！で、ででで、出たぞーーー！！！			……う、うわああああああああああ！で、ででで、出たぞーーー！！！			黒衣の男							
……大丈夫かっ！？			……大丈夫かっ！？			黒衣の男							
え、ええ……なんとか……。そいつ、何もない空間から忽然と現れて……。			え、ええ……なんとか……。そいつ、何もない空間から忽然と現れて……。			黒衣の男							
ここにも、現れていたのね……。私のところにも黒いローブの男が虚空から現れて、攻撃してきたわ。			ここにも、現れていたのね……。私のところにも黒いローブの男が虚空から現れて、攻撃してきたわ。			黒衣の男							
俺の持ち場にも現れた。幸い、大した腕前じゃなかったが……。そんな芸当ができるとは、こいつらは……？			俺の持ち場にも現れた。幸い、大した腕前じゃなかったが……。そんな芸当ができるとは、こいつらは……？			黒衣の男							
な、なんてこった、こいつは……！！			な、なんてこった、こいつは……！！			黒衣の男							
……知ってるの、ダンシング・ウルフ大闘士？			……知ってるの、ダンシング・ウルフ大闘士？			黒衣の男							
こいつは、トリスタンの兄貴だ……！だが、どうして……こいつはイフリートにテンパードにされ、弟の手で殺されたはずだぞ！？			こいつは、トリスタンの兄貴だ……！だが、どうして……こいつはイフリートにテンパードにされ、弟の手で殺されたはずだぞ！？			黒衣の男							
(-？？？？-)兄弟そろって、不甲斐ない奴らだ……。せっかく、使ってやったというのにな。			(-？？？？-)兄弟そろって、不甲斐ない奴らだ……。せっかく、使ってやったというのにな。			黒衣の男							
アシエン！？その声は……トリスタンに召喚魔法を教えたヤツね！今度はいったい何をするつもり！			アシエン！？その声は……トリスタンに召喚魔法を教えたヤツね！今度はいったい何をするつもり！			黒衣の男							
……トリスタンか。蛮神を倒す力として、召喚士の叡智を授けたというのに、ああも簡単に敗れるとは、期待外れだった……。			……トリスタンか。蛮神を倒す力として、召喚士の叡智を授けたというのに、ああも簡単に敗れるとは、期待外れだった……。			黒衣の男							
ククク……だが、そこの光の戦士殿が、代わりに蛮神を狩って回ってくれ、大いに助かったぞ。			ククク……だが、そこの光の戦士殿が、代わりに蛮神を狩って回ってくれ、大いに助かったぞ。			黒衣の男							
