アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			闇の戦士の再訪							
ヒュトロダエウスから、ここが創造生物を研究する施設であることを聞いた。遥かな過去での彼らとの出会いは、いかなる運命に結びつくのだろうか……。			ヒュトロダエウスから、ここが創造生物を研究する施設であることを聞いた。遥かな過去での彼らとの出会いは、いかなる運命に結びつくのだろうか……。			指し示されたエルピス							
衛兵団の守衛と話す			衛兵団の守衛と話す			指し示されたエルピス							
施設内で情報収集			施設内で情報収集			指し示されたエルピス							
頑丈な大扉を調べる			頑丈な大扉を調べる			指し示されたエルピス							
ヒュトロダエウスと話す			ヒュトロダエウスと話す			指し示されたエルピス							
Forenameさんは、このあと、「深慮の間」に向かうんですよね。エリディブスから話を聞くために……。			Forenameさんは、このあと、「深慮の間」に向かうんですよね。エリディブスから話を聞くために……。			指し示されたエルピス							
私はひとまずライナさんを追いかけて、今後どうやって終末に備えていくか、相談してみたいと思います。			私はひとまずライナさんを追いかけて、今後どうやって終末に備えていくか、相談してみたいと思います。			指し示されたエルピス							
だから、ここでお別れですが……必ず、絶対に、またお会いしましょう！			だから、ここでお別れですが……必ず、絶対に、またお会いしましょう！			指し示されたエルピス							
私たちは、終末にだって、そう簡単に負けません。何度も破滅の危機を迎えながら、「英雄」たちの意志を継いで、ここまで続いてきた世界ですから……！			私たちは、終末にだって、そう簡単に負けません。何度も破滅の危機を迎えながら、「英雄」たちの意志を継いで、ここまで続いてきた世界ですから……！			指し示されたエルピス							
……Forename殿、おかえりなさいませ！			……Forename殿、おかえりなさいませ！			指し示されたエルピス							
そして、ライナ団長から話は聞いています。「深慮の間」に続く「星見の間」まで、ご案内いたしましょうか？			そして、ライナ団長から話は聞いています。「深慮の間」に続く「星見の間」まで、ご案内いたしましょうか？			指し示されたエルピス							
「星見の間」に移動しますか？			「星見の間」に移動しますか？			指し示されたエルピス							
まだご用事があるのですね。「深慮の間」に続く「星見の間」まで、ご案内いたしましょう。			まだご用事があるのですね。「深慮の間」に続く「星見の間」まで、ご案内いたしましょう。			指し示されたエルピス							
「エルピス」へ転移しますか？			「エルピス」へ転移しますか？			指し示されたエルピス							
中央の装置の傍らで待機している……この施設の案内人だろうか？			中央の装置の傍らで待機している……この施設の案内人だろうか？			指し示されたエルピス							
話しかけてみたが、こちらの姿は見えず、声も届いていないようだ。			話しかけてみたが、こちらの姿は見えず、声も届いていないようだ。			指し示されたエルピス							
