ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			生きるべき場所							
これはリュートという楽器……だったものよ。ハリッグ師匠が水晶公から譲り受けた品なんだけど、師匠がいなくなってからは、壊れたままずっと放置されていたの。			これはリュートという楽器……だったものよ。ハリッグ師匠が水晶公から譲り受けた品なんだけど、師匠がいなくなってからは、壊れたままずっと放置されていたの。			実録データ002「工房を彩りし職人」							
水晶公曰く、かつては魔力を持っていたらしいんだけど……長い時が経って、その力は無くなっていたみたいね。それでも、美しい音色は健在だからって、貰い受けたみたい。			水晶公曰く、かつては魔力を持っていたらしいんだけど……長い時が経って、その力は無くなっていたみたいね。それでも、美しい音色は健在だからって、貰い受けたみたい。			実録データ002「工房を彩りし職人」							
師匠はよく、このリュートを酒場で弾いていたのよ。私とオーエルも、その暖かい音色が大好きで……			師匠はよく、このリュートを酒場で弾いていたのよ。私とオーエルも、その暖かい音色が大好きで……			実録データ002「工房を彩りし職人」							
酒場に座り込んでは、ふたりで聞き入っていたなぁ。師匠に借りて、弾き方も教えてもらっていたのよ。			酒場に座り込んでは、ふたりで聞き入っていたなぁ。師匠に借りて、弾き方も教えてもらっていたのよ。			実録データ002「工房を彩りし職人」							
……今思えば、悲しいことがあった時も、嬉しいことがあった時も、師匠がリュートを弾く酒場にはいつも人が溢れていて、みんなその音色に聞き入っていたわ。			……今思えば、悲しいことがあった時も、嬉しいことがあった時も、師匠がリュートを弾く酒場にはいつも人が溢れていて、みんなその音色に聞き入っていたわ。			実録データ002「工房を彩りし職人」							
ハリッグが失踪してからは、壊れた状態のまま、見向きもされていなかッタ。			ハリッグが失踪してからは、壊れた状態のまま、見向きもされていなかッタ。			実録データ002「工房を彩りし職人」							
う……そ、それは。このリュートは、師匠にしか完璧に修復できなかったのよ。楽器の修復はとても繊細で、かなりの熟練した技術が必要で……。			う……そ、それは。このリュートは、師匠にしか完璧に修復できなかったのよ。楽器の修復はとても繊細で、かなりの熟練した技術が必要で……。			実録データ002「工房を彩りし職人」							
けど、今こそ、このリュートを直すときだと思うの……。ハリッグ師匠が大好きだった、このクリスタリウムのために、弟子である私たちが、いつまでもいがみ合ったままではダメなんだ。			けど、今こそ、このリュートを直すときだと思うの……。ハリッグ師匠が大好きだった、このクリスタリウムのために、弟子である私たちが、いつまでもいがみ合ったままではダメなんだ。			実録データ002「工房を彩りし職人」							
師匠との思い出がたくさん詰まった、このリュートを直すことができれば、オーエルの心にも、きっと響くものがあると信じたい……。			師匠との思い出がたくさん詰まった、このリュートを直すことができれば、オーエルの心にも、きっと響くものがあると信じたい……。			実録データ002「工房を彩りし職人」							
Forenameさん。私個人からの依頼で申し訳ないけど……このリュートの修復に、あなたの力を貸してくれないかな……？			Forenameさん。私個人からの依頼で申し訳ないけど……このリュートの修復に、あなたの力を貸してくれないかな……？			実録データ002「工房を彩りし職人」							
