嘆きの海のウリエンジェは、冒険者を静かに待っている。			嘆きの海のウリエンジェは、冒険者を静かに待っている。			想い想われ、すれ違い							
彼らは私の館に辿りついたようだ。我々も戻って、そこで話をするとしよう……。			彼らは私の館に辿りついたようだ。我々も戻って、そこで話をするとしよう……。			長き時の記録							
こいつは……。いったい、何がどうなってるんだ？			こいつは……。いったい、何がどうなってるんだ？			長き時の記録							
遅ればせながら、参上いたしました。して、こちらが月の住民の方……でしょうか？			遅ればせながら、参上いたしました。して、こちらが月の住民の方……でしょうか？			長き時の記録							
私が感知したのは、彼ら3名で間違いないよ。			私が感知したのは、彼ら3名で間違いないよ。			長き時の記録							
ああ、Forename、会えてよかった。			ああ、Forename、会えてよかった。			長き時の記録							
こちらは派遣団と総出で、暴走状態になったテンパードたちを取り押さえたわ。			こちらは派遣団と総出で、暴走状態になったテンパードたちを取り押さえたわ。			長き時の記録							
残念ながら、最初の段階で自爆をした人を含め、死者が出なかったわけじゃない……それでも、おかげさまで被害はかなり抑えられたはずよ。			残念ながら、最初の段階で自爆をした人を含め、死者が出なかったわけじゃない……それでも、おかげさまで被害はかなり抑えられたはずよ。			長き時の記録							
あとは双方の怪我人の手当てと、テンパード化の治療を、地道に進めていく段階に入っているわ。			あとは双方の怪我人の手当てと、テンパード化の治療を、地道に進めていく段階に入っているわ。			長き時の記録							
クルル嬢につきましても、応急処置は済みました。あとはゆっくりと療養していれば、消耗したエーテルも身体に満ちてくるでしょう。			クルル嬢につきましても、応急処置は済みました。あとはゆっくりと療養していれば、消耗したエーテルも身体に満ちてくるでしょう。			長き時の記録							
ということで、ひとまず3人であなたに合流しにきたの。アルフィノたちなら、私たちが抜けても、ガレマルドでの役目を立派に果たしてくれるでしょうしね。			ということで、ひとまず3人であなたに合流しにきたの。アルフィノたちなら、私たちが抜けても、ガレマルドでの役目を立派に果たしてくれるでしょうしね。			長き時の記録							
