不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			残留する力をその身に							
おい、そこの野郎！これと同じ要領で遺体を運んだろう！			おい、そこの野郎！これと同じ要領で遺体を運んだろう！			ココロカヨワヌモノ							
ちぇっ……ああ、そのとおりだよ！錬金術師のジイサンに雇われて、実行部隊をやってたのさ。……で、死体の処理を任されたはいいが、ヘマやってこのザマだ。			ちぇっ……ああ、そのとおりだよ！錬金術師のジイサンに雇われて、実行部隊をやってたのさ。……で、死体の処理を任されたはいいが、ヘマやってこのザマだ。			ココロカヨワヌモノ							
こうなったら全部話すから、俺を保護してくれ……！さもなきゃ雇い主が、口封じに俺を殺しにきちまう！			こうなったら全部話すから、俺を保護してくれ……！さもなきゃ雇い主が、口封じに俺を殺しにきちまう！			ココロカヨワヌモノ							
取引か……いいだろう。そのかわり、いますぐ話せ。なぜ現場に、瓜ふたつの姿の男性がふたりいた？			取引か……いいだろう。そのかわり、いますぐ話せ。なぜ現場に、瓜ふたつの姿の男性がふたりいた？			ココロカヨワヌモノ							
あ、あれは人造生命体……「クローン」というものらしい……。古代アラグ文明の秘法を再現し、拐った男とそっくりの男を、錬金術で創りだしたんだってよ。			あ、あれは人造生命体……「クローン」というものらしい……。古代アラグ文明の秘法を再現し、拐った男とそっくりの男を、錬金術で創りだしたんだってよ。			ココロカヨワヌモノ							
なあ、ちゃんと話したんだから、オレをかくまってくれよ！「他言すれば、お前にお前を殺させる」って、そう言われたんだ！あのジイサン、殺しなんて屁とも思っちゃいねえんだから！			なあ、ちゃんと話したんだから、オレをかくまってくれよ！「他言すれば、お前にお前を殺させる」って、そう言われたんだ！あのジイサン、殺しなんて屁とも思っちゃいねえんだから！			ココロカヨワヌモノ							
古代アラグの秘法……人造生命体「クローン」……だと……？			古代アラグの秘法……人造生命体「クローン」……だと……？			ココロカヨワヌモノ							
……ちっとばかし、ヤバそうなことになってきたな。こいつは、次も締めてかかる必要がありそうだぞ。			……ちっとばかし、ヤバそうなことになってきたな。こいつは、次も締めてかかる必要がありそうだぞ。			ココロカヨワヌモノ							
船着場の平屋のオボロは、家宝について新たな情報を手に入れたようだ。			船着場の平屋のオボロは、家宝について新たな情報を手に入れたようだ。			月夜の叢雲							
イシュガルドの豪商へ配送される道中に、最後の秘宝を奪還することになった。その準備として、睡魔の香の入手を任された。リムサ・ロミンサの西国際街商通りにいる「キョキョルン」に「睡魔の香の代金」を渡そう。			イシュガルドの豪商へ配送される道中に、最後の秘宝を奪還することになった。その準備として、睡魔の香の入手を任された。リムサ・ロミンサの西国際街商通りにいる「キョキョルン」に「睡魔の香の代金」を渡そう。			月夜の叢雲							
睡魔の香の買い付けに成功した直後、ユキを連れ戻しに来た井ノ国の者を発見した。身を隠したユキとアカギをおいておき、睡魔の香と、灰犬一家が使うプルトー香をすり替えなければ。リムサ・ロミンサの船着場にある「指定地点」に「睡魔の香」を置こう。			睡魔の香の買い付けに成功した直後、ユキを連れ戻しに来た井ノ国の者を発見した。身を隠したユキとアカギをおいておき、睡魔の香と、灰犬一家が使うプルトー香をすり替えなければ。リムサ・ロミンサの船着場にある「指定地点」に「睡魔の香」を置こう。			月夜の叢雲							
