クリスタリウムのハルドルは、冒険者のことを認めつつあるようだ。			クリスタリウムのハルドルは、冒険者のことを認めつつあるようだ。			ナッツクランのモブハント（中級）							
俺たちも、この街に部屋をもらってるんだ。旅暮らしが続いていて、ほとんど使っていなかったんだが、これからは役立てられそうだ。			俺たちも、この街に部屋をもらってるんだ。旅暮らしが続いていて、ほとんど使っていなかったんだが、これからは役立てられそうだ。			運命はまた廻る							
もとはといえば、私が捕まったりなんかしたから……。街の皆さんは、大丈夫でしょうか……？			もとはといえば、私が捕まったりなんかしたから……。街の皆さんは、大丈夫でしょうか……？			運命はまた廻る							
ふむ、一見したかぎりでは、いつもの賑わいですね……。私も、用事があればこの街まで来ておりましたが、ここの活気は、心地よいと感じられます。			ふむ、一見したかぎりでは、いつもの賑わいですね……。私も、用事があればこの街まで来ておりましたが、ここの活気は、心地よいと感じられます。			運命はまた廻る							
Forename……！？ど、どうして急にここへ……！			Forename……！？ど、どうして急にここへ……！			運命はまた廻る							
ひとまず、この後の行動は、仲間たちと相談した方がいい。私の方は、それに合わせて、よしなに進めよう。			ひとまず、この後の行動は、仲間たちと相談した方がいい。私の方は、それに合わせて、よしなに進めよう。			運命はまた廻る							
歩み寄る……アシエンと……？彼の言葉は謀略なのか、それとも……。			歩み寄る……アシエンと……？彼の言葉は謀略なのか、それとも……。			運命はまた廻る							
……気配は、完全に消えたみたいだな。			……気配は、完全に消えたみたいだな。			運命はまた廻る							
今のが、アシエン……？サンクレッドたちから、危険な存在として、伝え聞いてはいたのですが……。			今のが、アシエン……？サンクレッドたちから、危険な存在として、伝え聞いてはいたのですが……。			運命はまた廻る							
いずれ、アシエンの誰かしらが来るとは思っておりましたが……アシエン・エメトセルク……オリジナルとは。			いずれ、アシエンの誰かしらが来るとは思っておりましたが……アシエン・エメトセルク……オリジナルとは。			運命はまた廻る							
何だったのよ、あいつ……！？協力関係だなんて、本気で言ってるの……？			何だったのよ、あいつ……！？協力関係だなんて、本気で言ってるの……？			運命はまた廻る							
…………駄目ね、一回落ち着いて考えないと。水晶公のところにも、諸々の報告と、ユールモア軍の動向確認をしに行かなきゃ。			…………駄目ね、一回落ち着いて考えないと。水晶公のところにも、諸々の報告と、ユールモア軍の動向確認をしに行かなきゃ。			運命はまた廻る							
だけど、Forename。それくらいの仕事だったら、私たちだってできる。			だけど、Forename。それくらいの仕事だったら、私たちだってできる。			運命はまた廻る							
大罪喰い討伐からがんばってたあなたは、一度休憩するのが、今できる最善の行動ってものだわ。アシエンのこととか、正しく判断するためにもね。			大罪喰い討伐からがんばってたあなたは、一度休憩するのが、今できる最善の行動ってものだわ。アシエンのこととか、正しく判断するためにもね。			運命はまた廻る							
だから、報告は任せて、一休みしてきて。……あとでまた、元気で会いましょ。			だから、報告は任せて、一休みしてきて。……あとでまた、元気で会いましょ。			運命はまた廻る							
ふむ……せっかくあなたが戻って来たのに、招かれざる客まで来てしまったか……。			ふむ……せっかくあなたが戻って来たのに、招かれざる客まで来てしまったか……。			運命はまた廻る							
ひとまず、皆から報告を受けておくよ。その間だけでも……おやすみ、Forename。			ひとまず、皆から報告を受けておくよ。その間だけでも……おやすみ、Forename。			運命はまた廻る							
ああ、Surnameさん。実に丁度よいときに、お戻りになられました。			ああ、Surnameさん。実に丁度よいときに、お戻りになられました。			運命はまた廻る							
あなたへの差し入れをお預かりしたので、今しがた、お部屋の方へお届けしておいたのです。間もなく戻るだろうと言われていましたが、正解でしたね。			あなたへの差し入れをお預かりしたので、今しがた、お部屋の方へお届けしておいたのです。間もなく戻るだろうと言われていましたが、正解でしたね。			運命はまた廻る							
このまま、お部屋に向かわれますか？			このまま、お部屋に向かわれますか？			運命はまた廻る							
「居室」で休みますか？			「居室」で休みますか？			運命はまた廻る							
承知いたしました。せっかくの差し入れもあるのです、ごゆっくり、お過ごしくださいませ……。			承知いたしました。せっかくの差し入れもあるのです、ごゆっくり、お過ごしくださいませ……。			運命はまた廻る							
