バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			シャーレアン魔法大学							
アリゼーは、ガレマルドの寒さを実感していた。この崩壊した極寒の帝都で、無事、生存者を見つけられるのだろうか……。			アリゼーは、ガレマルドの寒さを実感していた。この崩壊した極寒の帝都で、無事、生存者を見つけられるのだろうか……。			霜雪を踏みしめて							
ガーロンド社の飛空士と話す			ガーロンド社の飛空士と話す			霜雪を踏みしめて							
アルフィノと話す			アルフィノと話す			霜雪を踏みしめて							
ヤ・シュトラと話す			ヤ・シュトラと話す			霜雪を踏みしめて							
グ・ラハ・ティアと話す			グ・ラハ・ティアと話す			霜雪を踏みしめて							
ルキアと話す			ルキアと話す			霜雪を踏みしめて							
アリゼーと話す			アリゼーと話す			霜雪を踏みしめて							
ここで、イルサバード派遣団の皆さんをお待ちしております。			ここで、イルサバード派遣団の皆さんをお待ちしております。			霜雪を踏みしめて							
さてさて、「ガーロンド社の飛空士」さんは……			さてさて、「ガーロンド社の飛空士」さんは……			霜雪を踏みしめて							
あっ、ちょうどそちらにいらっしゃるようでっすね！探すまでもなかったでっす……。			あっ、ちょうどそちらにいらっしゃるようでっすね！探すまでもなかったでっす……。			霜雪を踏みしめて							
ということは、私もここでお見送りになりまっす。Forenameさん、どうかお気をつけて……いってらっしゃいでっす！			ということは、私もここでお見送りになりまっす。Forenameさん、どうかお気をつけて……いってらっしゃいでっす！			霜雪を踏みしめて							
Forenameさんにお渡しした防寒着は、「雪の家」からイシュガルドに向かう際に、私やアルフィノさんが着ていたコートを模したものなのでっす。			Forenameさんにお渡しした防寒着は、「雪の家」からイシュガルドに向かう際に、私やアルフィノさんが着ていたコートを模したものなのでっす。			霜雪を踏みしめて							
あのときは、服作りの腕も未熟で……普段から装備にこだわってらっしゃる冒険者さんの服は、むしろ私が用意しない方がいいんだろうって思ってまっした。			あのときは、服作りの腕も未熟で……普段から装備にこだわってらっしゃる冒険者さんの服は、むしろ私が用意しない方がいいんだろうって思ってまっした。			霜雪を踏みしめて							
でも、今なら少しは自信のあるものが作れまっすし、何より、大事なのはそこに込める気持ちだってわかってまっす。私のリベンジ、受け取ってもらえると嬉しいでっす！			でも、今なら少しは自信のあるものが作れまっすし、何より、大事なのはそこに込める気持ちだってわかってまっす。私のリベンジ、受け取ってもらえると嬉しいでっす！			霜雪を踏みしめて							
お初にお目にかかります！ガーロンド社より、派遣団の皆さんをお運びするべく、中央山脈を越えられる飛空艇を集めて参りました！			お初にお目にかかります！ガーロンド社より、派遣団の皆さんをお運びするべく、中央山脈を越えられる飛空艇を集めて参りました！			霜雪を踏みしめて							
