あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			蒼天の探検手帳							
チョコボの森の中には、テイルフェザー以外に、猟師たちが滞在するためのキャンプ地が、3ヶ所あるんだ。そこを巡回して、狩りの状況を確認してきてくれないか？			チョコボの森の中には、テイルフェザー以外に、猟師たちが滞在するためのキャンプ地が、3ヶ所あるんだ。そこを巡回して、狩りの状況を確認してきてくれないか？			巡回調査							
今、狩りに出ているのは、「レオニュルフ」、「ゲナレ」、それに「エムベル」だったな。こいつら3人に話を聞いてくれりゃあいい。頼んだぞ。			今、狩りに出ているのは、「レオニュルフ」、「ゲナレ」、それに「エムベル」だったな。こいつら3人に話を聞いてくれりゃあいい。頼んだぞ。			巡回調査							
チョコボの森の中には、テイルフェザー以外に、猟師たちが滞在するためのキャンプ地が、3ヶ所あるんだ。そこを巡回して、狩りの状況を確認してきてくれないか？			チョコボの森の中には、テイルフェザー以外に、猟師たちが滞在するためのキャンプ地が、3ヶ所あるんだ。そこを巡回して、狩りの状況を確認してきてくれないか？			巡回調査							
……あぁ、狩りについては順調さ。ただ最近は、チョコボの羽根につくノミ……「フェザーフリー」が多いのが気になるくらいかな。			……あぁ、狩りについては順調さ。ただ最近は、チョコボの羽根につくノミ……「フェザーフリー」が多いのが気になるくらいかな。			巡回調査							
……そうですね、特に大きな問題じゃないですが。いや、報告する必要があることでもないでしょう。隊長には、特に問題無いとお伝えください。			……そうですね、特に大きな問題じゃないですが。いや、報告する必要があることでもないでしょう。隊長には、特に問題無いとお伝えください。			巡回調査							
現状か……あまりよくないな。捕らえたチョコボが魔物に襲われてな。腕の立つ助っ人が必要かもしれんと、隊長に伝えてくれ。			現状か……あまりよくないな。捕らえたチョコボが魔物に襲われてな。腕の立つ助っ人が必要かもしれんと、隊長に伝えてくれ。			巡回調査							
……なるほどな。大小違いはあるが、それぞれ問題を抱えてるか。まったく、あいつらはすぐに報告をサボりやがる。			……なるほどな。大小違いはあるが、それぞれ問題を抱えてるか。まったく、あいつらはすぐに報告をサボりやがる。			巡回調査							
俺はチョコボを回収できるよう準備する。もし手が空いたら、あいつらの手助けを頼みたい。腕利きの冒険者の手伝いなら、いつでも歓迎だからな。			俺はチョコボを回収できるよう準備する。もし手が空いたら、あいつらの手助けを頼みたい。腕利きの冒険者の手伝いなら、いつでも歓迎だからな。			巡回調査							
テイルフェザーのマルスシャンは、気がかりについて教えてくれるようだ。			テイルフェザーのマルスシャンは、気がかりについて教えてくれるようだ。			襲いくるグナース族							
マルスシャンと話した。最近、グナース族の活動が活発化しているらしい。テイルフェザーの「イゼル」と話そう。			マルスシャンと話した。最近、グナース族の活動が活発化しているらしい。テイルフェザーの「イゼル」と話そう。			襲いくるグナース族							
イゼルと話した。グナース族のことは気になるが、今はともかく先へ進もうと決めた一行。テイルフェザー東の「つつやき小道」を進み、妨害されたら退けよう。			イゼルと話した。グナース族のことは気になるが、今はともかく先へ進もうと決めた一行。テイルフェザー東の「つつやき小道」を進み、妨害されたら退けよう。			襲いくるグナース族							
襲いかかってきたグナース族を退けた。再度「つつやき小道」を進み、妨害されたら退けよう。			襲いかかってきたグナース族を退けた。再度「つつやき小道」を進み、妨害されたら退けよう。			襲いくるグナース族							
