パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			暗闇を彩りながら							
……本当に、がんばれるのかな。島がこんな酷い有様になって、仲間が死んで、どうすればいいのかも見当がつかないってのに……。			……本当に、がんばれるのかな。島がこんな酷い有様になって、仲間が死んで、どうすればいいのかも見当がつかないってのに……。			ちっぽけな日常							
このチャイを飲めって？そう言うなら、まあ、もらっておくが……。			このチャイを飲めって？そう言うなら、まあ、もらっておくが……。			ちっぽけな日常							
…………いい香りだな、安心する。考えてみりゃ、もちろん今の状況はつらいが、これまでだって、先を見通せてたわけじゃないんだ。			…………いい香りだな、安心する。考えてみりゃ、もちろん今の状況はつらいが、これまでだって、先を見通せてたわけじゃないんだ。			ちっぽけな日常							
いつもどおり、できることから、やっていくだけだよな。うん……これを飲みおわったら、ボチボチ着手してみるか。			いつもどおり、できることから、やっていくだけだよな。うん……これを飲みおわったら、ボチボチ着手してみるか。			ちっぽけな日常							
寝床の確保に、飯の確保。ラザハンの様子だって、確認しておきたいだろ？はは……存外休む暇なしだなぁ！			寝床の確保に、飯の確保。ラザハンの様子だって、確認しておきたいだろ？はは……存外休む暇なしだなぁ！			ちっぽけな日常							
ああもう、みんな呑気すぎるのよ！いつまた化け物に襲われるかわからないのに！次は自分だって、ああなっちゃうかも……！			ああもう、みんな呑気すぎるのよ！いつまた化け物に襲われるかわからないのに！次は自分だって、ああなっちゃうかも……！			ちっぽけな日常							
嫌よ、私は絶対に生き残る……まだやりたいことがあるの……！助かるために必要なら、今すぐにだって島を出るわ！			嫌よ、私は絶対に生き残る……まだやりたいことがあるの……！助かるために必要なら、今すぐにだって島を出るわ！			ちっぽけな日常							
でも、どこに行けば……？ほかの地域はどうなっているの……！？			でも、どこに行けば……？ほかの地域はどうなっているの……！？			ちっぽけな日常							
こんなときに、チャイなんて……！			こんなときに、チャイなんて……！			ちっぽけな日常							
……ううん、こんなときだからこそ、落ち着かなきゃ駄目ね。泣きわめいていたって、助からないんだから……。			……ううん、こんなときだからこそ、落ち着かなきゃ駄目ね。泣きわめいていたって、助からないんだから……。			ちっぽけな日常							
里長と相談しながら、まずは情報を集めてみるわ。私もみんなも、できればみんなで助かるように。			里長と相談しながら、まずは情報を集めてみるわ。私もみんなも、できればみんなで助かるように。			ちっぽけな日常							
チャイの甘さと熱が、身体に染み渡る心地よ……。なんだか、やっと呼吸ができたみたい……。			チャイの甘さと熱が、身体に染み渡る心地よ……。なんだか、やっと呼吸ができたみたい……。			ちっぽけな日常							
すみません……今はちょっと……。何も手につかなくて……。			すみません……今はちょっと……。何も手につかなくて……。			ちっぽけな日常							
