モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			がんばれ、テイナー							
ふっふっふ……。とにかく奥に来い、詳しくはそっちで教えてやろう。			ふっふっふ……。とにかく奥に来い、詳しくはそっちで教えてやろう。			トルだせ大作戦！							
伝統の腕試し……いったいどんな方法だろう？			伝統の腕試し……いったいどんな方法だろう？			トルだせ大作戦！							
ふふふ……来たな……。それじゃあ、よーく聞くがいい！			ふふふ……来たな……。それじゃあ、よーく聞くがいい！			トルだせ大作戦！							
知ってのとおり、ワシらは採掘を生業としておる。しかし、石を掘るというのは、いつでも危険と隣り合わせだ！			知ってのとおり、ワシらは採掘を生業としておる。しかし、石を掘るというのは、いつでも危険と隣り合わせだ！			トルだせ大作戦！							
そこで、ワシらトルーのドワーフは、本格的に採掘をはじめる年ごろになると、ある方法で、坑道に入るに足るか、実力を測るのだ！			そこで、ワシらトルーのドワーフは、本格的に採掘をはじめる年ごろになると、ある方法で、坑道に入るに足るか、実力を測るのだ！			トルだせ大作戦！							
その方法こそ……見る力と判断力、そして素早い行動が必要とされる、「トルだせ大作戦」！おみゃーにも、それをやってもらうぞ！			その方法こそ……見る力と判断力、そして素早い行動が必要とされる、「トルだせ大作戦」！おみゃーにも、それをやってもらうぞ！			トルだせ大作戦！							
いいか、まずはワシの兜の形をよ～く覚えろ。挑戦者にはスリングショットが渡されるから、「これと違う形の被り物のドワーフ族」を狙って撃つのだ！			いいか、まずはワシの兜の形をよ～く覚えろ。挑戦者にはスリングショットが渡されるから、「これと違う形の被り物のドワーフ族」を狙って撃つのだ！			トルだせ大作戦！							
もう手配はすませてあるから、心の準備ができたら「見届け役のドワーフ」に声をかけて、「トルだせ大作戦」に挑むがいい！			もう手配はすませてあるから、心の準備ができたら「見届け役のドワーフ」に声をかけて、「トルだせ大作戦」に挑むがいい！			トルだせ大作戦！							
存外に穏便な方法でよかった。……いや、スリングショットでドワーフを撃つのが、穏便と言えるのかは、議論の余地があるだろうがね……。			存外に穏便な方法でよかった。……いや、スリングショットでドワーフを撃つのが、穏便と言えるのかは、議論の余地があるだろうがね……。			トルだせ大作戦！							
Forename、すまないが参加を頼めるだろうか？あなたの方が適任なのは言わずもがなだが、その雄姿を、せっかくだから見ていたいのだ。			Forename、すまないが参加を頼めるだろうか？あなたの方が適任なのは言わずもがなだが、その雄姿を、せっかくだから見ていたいのだ。			トルだせ大作戦！							
トルー一家の兜は、この、ステキな二本角が特徴だ！これを被っている同胞役は、撃っちゃいかんぞ！			トルー一家の兜は、この、ステキな二本角が特徴だ！これを被っている同胞役は、撃っちゃいかんぞ！			トルだせ大作戦！							
あっ！　あんたが挑戦者ー？んだらば、屋根の上にご案内して、「トルだせ大作戦」はじめるぞー！			あっ！　あんたが挑戦者ー？んだらば、屋根の上にご案内して、「トルだせ大作戦」はじめるぞー！			トルだせ大作戦！							
おいらたちと「違う被り物をした奴」を、スリングショットで、トスッと撃てれば成功だー！まずは練習ー！			おいらたちと「違う被り物をした奴」を、スリングショットで、トスッと撃てれば成功だー！まずは練習ー！			トルだせ大作戦！							
