レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			帝国軍あざむき作戦							
Surname、お願いがあるッス！ビッグスを助けてほしいッス！……きっと、あいつは今もひとりで逃走中ッス……。			Surname、お願いがあるッス！ビッグスを助けてほしいッス！……きっと、あいつは今もひとりで逃走中ッス……。			ビッグスの捜索							
あいつは、帝国の飛空艇から脱出するときに、オイラを助けるために、帝国兵の注意を引いて別方向へ逃げていったッス……。			あいつは、帝国の飛空艇から脱出するときに、オイラを助けるために、帝国兵の注意を引いて別方向へ逃げていったッス……。			ビッグスの捜索							
でも、バラバラに逃げることになったから、どこに行ったのかまではわからないッス……。……そこのアベリさんなら、何か見てないッス？			でも、バラバラに逃げることになったから、どこに行ったのかまではわからないッス……。……そこのアベリさんなら、何か見てないッス？			ビッグスの捜索							
……そちらのお連れの方ですか？残念ですが、見ておりませんわ。			……そちらのお連れの方ですか？残念ですが、見ておりませんわ。			ビッグスの捜索							
そうね……この「秘石の塔」の近くに、「ハルオーネの射目」という洞窟があります。			そうね……この「秘石の塔」の近くに、「ハルオーネの射目」という洞窟があります。			ビッグスの捜索							
あそこなら、身を隠すことができるかもしれません。もし、こちらの方に逃げているとするならですけど……。物は試し、行ってみてはいかがかしら？			あそこなら、身を隠すことができるかもしれません。もし、こちらの方に逃げているとするならですけど……。物は試し、行ってみてはいかがかしら？			ビッグスの捜索							
（ハルオーネの射目の指定地点にアクセス、　ゴーストが３体ＰＯＰ）			（ハルオーネの射目の指定地点にアクセス、　ゴーストが３体ＰＯＰ）			ビッグスの捜索							
ど、どうだったッス！？ビッグスは見つかったッス！？			ど、どうだったッス！？ビッグスは見つかったッス！？			ビッグスの捜索							
……ダメだったッス……？きっと、こっちの方には逃げてきてないッス……。……ビッグス、いったいどこに行ったッス……。			……ダメだったッス……？きっと、こっちの方には逃げてきてないッス……。……ビッグス、いったいどこに行ったッス……。			ビッグスの捜索							
敵の気配を感じた！！			敵の気配を感じた！！			ビッグスの捜索							
秘石の塔にいるカイリアンは、冒険者にあるものたちを駆逐してほしいようだ。			秘石の塔にいるカイリアンは、冒険者にあるものたちを駆逐してほしいようだ。			秘石の塔の監視任務							
ガレマール帝国基地の動きが活発になっているらしい。3ヶ所の監視地点で帝国兵の痕跡がないか調べ、帝国兵を見つけたら追い払おう。			ガレマール帝国基地の動きが活発になっているらしい。3ヶ所の監視地点で帝国兵の痕跡がないか調べ、帝国兵を見つけたら追い払おう。			秘石の塔の監視任務							
付近にいる帝国兵をすべて駆逐できたようだ。オーラムヴェイル前にいる「ピエルモン」に報告しよう。			付近にいる帝国兵をすべて駆逐できたようだ。オーラムヴェイル前にいる「ピエルモン」に報告しよう。			秘石の塔の監視任務							
ピエルモンに報告した。彼が言うには、モードゥナにはガレマール帝国軍の基地があるらしい。モードゥナを探索するときは、十分に気をつけよう。			ピエルモンに報告した。彼が言うには、モードゥナにはガレマール帝国軍の基地があるらしい。モードゥナを探索するときは、十分に気をつけよう。			秘石の塔の監視任務							
帝国兵の痕跡を調べる			帝国兵の痕跡を調べる			秘石の塔の監視任務							
オーラムヴェイルのピエルモンに報告			オーラムヴェイルのピエルモンに報告			秘石の塔の監視任務							
もしや、と思っていたのですが……貴女貴方はアインハルト家の異端者嫌疑を晴らしてくれたという、冒険者ではありませんか？			もしや、と思っていたのですが……貴女貴方はアインハルト家の異端者嫌疑を晴らしてくれたという、冒険者ではありませんか？			秘石の塔の監視任務							
……やはり、そうでしたか！わたしもアインハルト家に仕える騎兵です。誠実な貴女貴方に、ひとつ大事な任務をお願いしたいのです。			……やはり、そうでしたか！わたしもアインハルト家に仕える騎兵です。誠実な貴女貴方に、ひとつ大事な任務をお願いしたいのです。			秘石の塔の監視任務							
