アプカル滝のヤ・ミトラの調査は、難航しているようだ。			アプカル滝のヤ・ミトラの調査は、難航しているようだ。			闇に葬られた頁							
もし決勝戦を行えることになったときは、真剣勝負といこうじゃねェか、Forename！俺が勝ったとしても、恨みっこなしだぜ？			もし決勝戦を行えることになったときは、真剣勝負といこうじゃねェか、Forename！俺が勝ったとしても、恨みっこなしだぜ？			いざ、決勝戦へ……							
それでは、私たちは一足先に帰るとする。今後のこともあるから、あとで剣術士ギルドに寄ってくれるかい？			それでは、私たちは一足先に帰るとする。今後のこともあるから、あとで剣術士ギルドに寄ってくれるかい？			いざ、決勝戦へ……							
ふぅ、お前のおかげで闘技会の面目も、アルディスの連れも守ることができたな、感謝するぞ。これであとは、決勝戦の開催に向けて働きかけるだけだ。			ふぅ、お前のおかげで闘技会の面目も、アルディスの連れも守ることができたな、感謝するぞ。これであとは、決勝戦の開催に向けて働きかけるだけだ。			いざ、決勝戦へ……							
そ、それとあれだ……子どもの勘違いの件は、きれいサッパリ忘れてくれ……！			そ、それとあれだ……子どもの勘違いの件は、きれいサッパリ忘れてくれ……！			いざ、決勝戦へ……							
……ともかく、なんとか決勝戦を開催できるよう、主催側に掛け合ってみるが、少し時間がかかるはずだ。進展があったら連絡するから、しばし待っていてほしい。			……ともかく、なんとか決勝戦を開催できるよう、主催側に掛け合ってみるが、少し時間がかかるはずだ。進展があったら連絡するから、しばし待っていてほしい。			いざ、決勝戦へ……							
カストルム・オリエンスのサンソン大牙士は、書物をどう扱うか答えを出したようだ。			カストルム・オリエンスのサンソン大牙士は、書物をどう扱うか答えを出したようだ。			それぞれの決断							
サンソン大牙士は、冒険者の意見を聞いて、紅葉戦争の秘密を記した書物の扱いに答えを出したようだ。カストルム・オリエンスの「ギドゥロ」と話そう。			サンソン大牙士は、冒険者の意見を聞いて、紅葉戦争の秘密を記した書物の扱いに答えを出したようだ。カストルム・オリエンスの「ギドゥロ」と話そう。			それぞれの決断							
サンソン大牙士の出した答えは、「両都市の関係が落ち着いたときに事実を公表させる」というものだった。そこへ、ヌールヴァルからの手紙が届いた。ヌールヴァルを探すため、ギラバニア辺境地帯の賢者の木へ向かい、「指定地点」で待機しよう。			サンソン大牙士の出した答えは、「両都市の関係が落ち着いたときに事実を公表させる」というものだった。そこへ、ヌールヴァルからの手紙が届いた。ヌールヴァルを探すため、ギラバニア辺境地帯の賢者の木へ向かい、「指定地点」で待機しよう。			それぞれの決断							
待ち合わせ場所にヌールヴァルは現れず、覆面の男たちの襲撃にあった。カストルム・オリエンスに戻り、「ギドゥロ」と話そう。			待ち合わせ場所にヌールヴァルは現れず、覆面の男たちの襲撃にあった。カストルム・オリエンスに戻り、「ギドゥロ」と話そう。			それぞれの決断							
ヌールヴァルからの手紙で、サンソン大牙士が出かけていったらしい。ギラバニア辺境地帯のイーストエンド混交林を、賢者の木方面へと引き返し、飛び出していった「ギドゥロ」を追いかけよう。			ヌールヴァルからの手紙で、サンソン大牙士が出かけていったらしい。ギラバニア辺境地帯のイーストエンド混交林を、賢者の木方面へと引き返し、飛び出していった「ギドゥロ」を追いかけよう。			それぞれの決断							
サンソン大牙士は、ヌールヴァルにさらわれたようだ。グリダニアの双蛇党：統合司令部に向かい、「ギドゥロ」と話そう。			サンソン大牙士は、ヌールヴァルにさらわれたようだ。グリダニアの双蛇党：統合司令部に向かい、「ギドゥロ」と話そう。			それぞれの決断							
