トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トラル大陸のモブハント（リスキー）							
こうして、継承の儀に端を発したトラル大陸の冒険は、一段落することとなった。トラル大陸に伝わる黄金郷の真相は、鏡像世界に遺る歪な理想郷だったことが判明したが、その根底にあった少女スフェーンの純粋な願いは、次元を超えて異国の女王ウクラマトに受け継がれた。アレクサンドリアには再び死がもたらされ、生と死は幾度となく繰り返されていくことだろう。そうして生を全うした者の想いは、願いは、希望は、次代を生きる者たちへと継承されていく。冒険者は、旅路の途中で出会った人々の記憶を抱えて、この先も歩み続ける。ときには誰かと路を違えることもあるかもしれない。立ち止まりたくなることもあるかもしれない。それでもこの世界は美しく……まだまだ、未知で溢れているのだから。			こうして、継承の儀に端を発したトラル大陸の冒険は、一段落することとなった。トラル大陸に伝わる黄金郷の真相は、鏡像世界に遺る歪な理想郷だったことが判明したが、その根底にあった少女スフェーンの純粋な願いは、次元を超えて異国の女王ウクラマトに受け継がれた。アレクサンドリアには再び死がもたらされ、生と死は幾度となく繰り返されていくことだろう。そうして生を全うした者の想いは、願いは、希望は、次代を生きる者たちへと継承されていく。冒険者は、旅路の途中で出会った人々の記憶を抱えて、この先も歩み続ける。ときには誰かと路を違えることもあるかもしれない。立ち止まりたくなることもあるかもしれない。それでもこの世界は美しく……まだまだ、未知で溢れているのだから。			黄金のレガシー							
ウクラマトと話す			ウクラマトと話す			黄金のレガシー							
「記憶幻想 アレクサンドリア」を攻略			「記憶幻想 アレクサンドリア」を攻略			黄金のレガシー							
「エターナルクイーン」を討伐			「エターナルクイーン」を討伐			黄金のレガシー							
ウクラマトと話す			ウクラマトと話す			黄金のレガシー							
……行こう、スフェーンを止めるんだ！			……行こう、スフェーンを止めるんだ！			黄金のレガシー							
この機を逃せば、次はなさそうね……！カフキワさんの想いを無駄にはさせないわ！			この機を逃せば、次はなさそうね……！カフキワさんの想いを無駄にはさせないわ！			黄金のレガシー							
フッ、間髪入れずにか。感傷なんてものに浸る間がなくて助かる。			フッ、間髪入れずにか。感傷なんてものに浸る間がなくて助かる。			黄金のレガシー							
カフキワが授けてくれた作戦を遂行しよう。スフェーンを止めるなら、今が好機だ……！			カフキワが授けてくれた作戦を遂行しよう。スフェーンを止めるなら、今が好機だ……！			黄金のレガシー							
ああ、世界接続が完了する際の隙を突いて、鏡像世界に実害が及ぶ前に叩く！危険は伴うが……みんな、準備はいいな？			ああ、世界接続が完了する際の隙を突いて、鏡像世界に実害が及ぶ前に叩く！危険は伴うが……みんな、準備はいいな？			黄金のレガシー							
あったり前だ！いくぜ、メインターミナルへ！			あったり前だ！いくぜ、メインターミナルへ！			黄金のレガシー							
鏡像世界の人たちを護るためなら、どこにだって行くさ。			鏡像世界の人たちを護るためなら、どこにだって行くさ。			黄金のレガシー							
ガラフおじいちゃん……そして、お父さん、お母さん……みんな見守っててね！			ガラフおじいちゃん……そして、お父さん、お母さん……みんな見守っててね！			黄金のレガシー							
……俺の役目はわかってる。			……俺の役目はわかってる。			黄金のレガシー							
ダメもとで試してはみたけどよ、さすがにメインターミナルは、外部から簡単にシャットダウン……ってわけにはいかねぇみたいだ。			ダメもとで試してはみたけどよ、さすがにメインターミナルは、外部から簡単にシャットダウン……ってわけにはいかねぇみたいだ。			黄金のレガシー							
大丈夫だ、おふくろから預かりものがある。あいつが、この日のために用意しておいた、ハッキングプログラムだそうだ。			大丈夫だ、おふくろから預かりものがある。あいつが、この日のために用意しておいた、ハッキングプログラムだそうだ。			黄金のレガシー							
これを使えば、メインターミナルのコアでもある「スフェーンの記憶領域」に、対象者の魂を転送できるらしい。			これを使えば、メインターミナルのコアでもある「スフェーンの記憶領域」に、対象者の魂を転送できるらしい。			黄金のレガシー							
そしておそらく、侵入した先に広がっているのは、「スフェーンの記憶」を基に造られた、幻想世界ってやつだ。			そしておそらく、侵入した先に広がっているのは、「スフェーンの記憶」を基に造られた、幻想世界ってやつだ。			黄金のレガシー							
つまり、その「記憶の幻想世界」を探索して、コアであるスフェーンを見つけだし……彼女を止めればいいってことだな？			つまり、その「記憶の幻想世界」を探索して、コアであるスフェーンを見つけだし……彼女を止めればいいってことだな？			黄金のレガシー							
