聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			千年の裏切り							
「氷の巫女」の姿はなし……か。せめて、居所を聞き出せればと思ったが……。			「氷の巫女」の姿はなし……か。せめて、居所を聞き出せればと思ったが……。			円形劇場の激闘							
それなら、連中が向かった先、「灰のねぐら」とやらに行くしかなかろうよ。例え、それが俺たちを誘き寄せる罠だったとしてもな。			それなら、連中が向かった先、「灰のねぐら」とやらに行くしかなかろうよ。例え、それが俺たちを誘き寄せる罠だったとしてもな。			円形劇場の激闘							
去り際の言葉か。だが、「灰のねぐら」とは何処なのだ？エスティニアン殿には、心当たりがあるので？			去り際の言葉か。だが、「灰のねぐら」とは何処なのだ？エスティニアン殿には、心当たりがあるので？			円形劇場の激闘							
……ああ。おそらく、「臥竜島(がりゅうとう)」のことだろう。今や凍結してしまった「アッシュプール」という湖にある島だ。			……ああ。おそらく、「臥竜島(がりゅうとう)」のことだろう。今や凍結してしまった「アッシュプール」という湖にある島だ。			円形劇場の激闘							
あの島の下には、巨竜が眠っているという……。500年ほど昔、当時の蒼の竜騎士が死闘の末に倒し、教皇庁の法術士たちが数十人がかりで眠らせたらしい。			あの島の下には、巨竜が眠っているという……。500年ほど昔、当時の蒼の竜騎士が死闘の末に倒し、教皇庁の法術士たちが数十人がかりで眠らせたらしい。			円形劇場の激闘							
眠りについた巨竜の身体には、いつしか灰が降り積もり、島になったと伝えられている……。			眠りについた巨竜の身体には、いつしか灰が降り積もり、島になったと伝えられている……。			円形劇場の激闘							
……なるほど、「灰のねぐら」の名に相応しい。それでは西部高地に戻り、その「臥竜島」に向かうとしよう。			……なるほど、「灰のねぐら」の名に相応しい。それでは西部高地に戻り、その「臥竜島」に向かうとしよう。			円形劇場の激闘							
灰に埋もれて竜が眠る地、「臥竜島」か……。さすがは千年戦争を続けてきた土地柄ということだね。			灰に埋もれて竜が眠る地、「臥竜島」か……。さすがは千年戦争を続けてきた土地柄ということだね。			円形劇場の激闘							
「臥竜島」は、ここ西部高地の西端だ。しかし、その前に寄っておきたい場所がある。			「臥竜島」は、ここ西部高地の西端だ。しかし、その前に寄っておきたい場所がある。			円形劇場の激闘							
聖フィネア連隊という独立部隊が、大氷原「ツインプールズ」に、露営地を築いているはずでな。……連隊長の名は「ジャントゥロー」。			聖フィネア連隊という独立部隊が、大氷原「ツインプールズ」に、露営地を築いているはずでな。……連隊長の名は「ジャントゥロー」。			円形劇場の激闘							
連中の目的は、ドラゴン族を狩り、名を成すことだが、もしかしたら、異端者を目撃した者がいるかもしれん……。情報を集めておいても損はなかろう。			連中の目的は、ドラゴン族を狩り、名を成すことだが、もしかしたら、異端者を目撃した者がいるかもしれん……。情報を集めておいても損はなかろう。			円形劇場の激闘							
エスティニアン殿の言うことはもっともだ。ここは貴方の地元、その助言に従わせてもらうよ。			エスティニアン殿の言うことはもっともだ。ここは貴方の地元、その助言に従わせてもらうよ。			円形劇場の激闘							
これで少しは、大氷壁の調査が進むとよいのですが……。			これで少しは、大氷壁の調査が進むとよいのですが……。			円形劇場の激闘							
異端者を追い払ってくださるとは！さすがは、フォルタン家の客人様に、蒼の竜騎士様！			異端者を追い払ってくださるとは！さすがは、フォルタン家の客人様に、蒼の竜騎士様！			円形劇場の激闘							
……あぁん、何だ、また連隊への加入希望者か？			……あぁん、何だ、また連隊への加入希望者か？			円形劇場の激闘							
こっちの姉ちゃん兄ちゃんは、そこそこやれそうだが……そっちの細っこいのは、三日と持たず死んじまいそうだなぁ。			こっちの姉ちゃん兄ちゃんは、そこそこやれそうだが……そっちの細っこいのは、三日と持たず死んじまいそうだなぁ。			円形劇場の激闘							
なっ……。			なっ……。			円形劇場の激闘							
おいおい、俺の連れをあんまり虐めんでくれ。この細っこい坊ちゃんはこう見えて、異端者どもを相手に、一暴れしてきた帰りなんだぞ？			おいおい、俺の連れをあんまり虐めんでくれ。この細っこい坊ちゃんはこう見えて、異端者どもを相手に、一暴れしてきた帰りなんだぞ？			円形劇場の激闘							
何だテメェは……って、ありゃ！？			何だテメェは……って、ありゃ！？			円形劇場の激闘							
その鎧に竜槍は……こいつは、恐れ入ったぜ！蒼の竜騎士様ご一行だったとはな！			その鎧に竜槍は……こいつは、恐れ入ったぜ！蒼の竜騎士様ご一行だったとはな！			円形劇場の激闘							
俺の名は、ジャントゥロー。栄えあるドラゴン狩り部隊、「聖フィネア連隊」の連隊長だ。舐めた口を利いたこたぁ、許してくれや。			俺の名は、ジャントゥロー。栄えあるドラゴン狩り部隊、「聖フィネア連隊」の連隊長だ。舐めた口を利いたこたぁ、許してくれや。			円形劇場の激闘							
