クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			ナッツクランのモブハント（上級）							
ルー・リークと話し、彼は去っていった。オルヴァラはひとりになったルー・リークが心配だという。彼女にまた来るよう頼まれたので、折を見てオルヴァラを訪ねよう。※いずれかのファイター系DPSジョブのレベルが78以上になると、ゲートタウンのオルヴァラから次のファイター系DPSロールクエストを受注することができます。			ルー・リークと話し、彼は去っていった。オルヴァラはひとりになったルー・リークが心配だという。彼女にまた来るよう頼まれたので、折を見てオルヴァラを訪ねよう。※いずれかのファイター系DPSジョブのレベルが78以上になると、ゲートタウンのオルヴァラから次のファイター系DPSロールクエストを受注することができます。			勇気の狩人							
ゲートタウンのルー・リークと話す			ゲートタウンのルー・リークと話す			勇気の狩人							
シチュア湿地のルー・リークと話す			シチュア湿地のルー・リークと話す			勇気の狩人							
ゲートタウンのルー・リークと話す			ゲートタウンのルー・リークと話す			勇気の狩人							
Forename！来てくれたか、お前のことをずっと待っていたぞ……。			Forename！来てくれたか、お前のことをずっと待っていたぞ……。			勇気の狩人							
あれから、神出鬼没のアンドレイアの行方を調べようと、クリスタリウムで聞き込みしてまわったんだがな……ヤツの目撃情報はなかった。			あれから、神出鬼没のアンドレイアの行方を調べようと、クリスタリウムで聞き込みしてまわったんだがな……ヤツの目撃情報はなかった。			勇気の狩人							
何と言う？			何と言う？			勇気の狩人							
クリスタリウムだけ？			クリスタリウムだけ？			勇気の狩人							
外には行ってないのか？			外には行ってないのか？			勇気の狩人							
ああ、そうだ。金がなくて人を雇えないんだから、これが限界だろう？			ああ、そうだ。金がなくて人を雇えないんだから、これが限界だろう？			勇気の狩人							
だがな……以前にお前が視たという、レンダ・レイの過去の話が、糸口になるかもしれないんだよ。			だがな……以前にお前が視たという、レンダ・レイの過去の話が、糸口になるかもしれないんだよ。			勇気の狩人							
あの話には、どこか聞き覚えがあったんだが……俺が幼い頃に、乳母が語って聞かせてくれた寝物語に、まったく同じ描写があることを思い出したんだ。			あの話には、どこか聞き覚えがあったんだが……俺が幼い頃に、乳母が語って聞かせてくれた寝物語に、まったく同じ描写があることを思い出したんだ。			勇気の狩人							
それは「勇気の狩人」という物語だ。主人公は賞金稼ぎの狩人で、仲間とともに、各地でヌシと呼ばれるような、凶暴な魔獣を狩ってまわっていた。			それは「勇気の狩人」という物語だ。主人公は賞金稼ぎの狩人で、仲間とともに、各地でヌシと呼ばれるような、凶暴な魔獣を狩ってまわっていた。			勇気の狩人							
あるとき、砂漠で巨大な角のある魔獣と戦うんだ。だが、狩人の弱点のせいで、ふたりの仲間を失ってしまう。そして、狩人は死んだ仲間の仇討ちを誓うんだよ……。			あるとき、砂漠で巨大な角のある魔獣と戦うんだ。だが、狩人の弱点のせいで、ふたりの仲間を失ってしまう。そして、狩人は死んだ仲間の仇討ちを誓うんだよ……。			勇気の狩人							
どうだ……？お前の視たレンダ・レイの過去とまったく同じだろう？			どうだ……？お前の視たレンダ・レイの過去とまったく同じだろう？			勇気の狩人							
