潮風亭のエストリルドは、道行く人を見定めているようだ。			潮風亭のエストリルドは、道行く人を見定めているようだ。			ベテラン・モブハント（初級）							
うわっ……ユウギリとゴウセツの顔、そっくり！これなら、人捜しも楽に進みそうだね。			うわっ……ユウギリとゴウセツの顔、そっくり！これなら、人捜しも楽に進みそうだね。			ふたりの足取り							
それじゃ、Forename、部屋の外で待ってるから、準備できたら、声をかけてよね！			それじゃ、Forename、部屋の外で待ってるから、準備できたら、声をかけてよね！			ふたりの足取り							
まずは荷ほどきでっす。この一室を「砂の家」「石の家」「雪の家」に続く、「暁」第四の家にしてみせまっす！			まずは荷ほどきでっす。この一室を「砂の家」「石の家」「雪の家」に続く、「暁」第四の家にしてみせまっす！			ふたりの足取り							
それじゃ、さっそく始めたいんだけど……アルフィノの描いた「尋ね人の人相書き」ったら、本当にすごいんだよ？			それじゃ、さっそく始めたいんだけど……アルフィノの描いた「尋ね人の人相書き」ったら、本当にすごいんだよ？			ふたりの足取り							
ほら、あなたも一度見てみなよ！			ほら、あなたも一度見てみなよ！			ふたりの足取り							
イベントアイテム「尋ね人の人相書き」は、クエスト進行中に使用することで、いつでも閲覧できます。試しに「リセ」の近くで使い、一緒に見てみましょう！			イベントアイテム「尋ね人の人相書き」は、クエスト進行中に使用することで、いつでも閲覧できます。試しに「リセ」の近くで使い、一緒に見てみましょう！			ふたりの足取り							
アルフィノの描いた「尋ね人の人相書き」ったら、本当にすごいんだよ？ほら、あなたも一度見てみなよ！			アルフィノの描いた「尋ね人の人相書き」ったら、本当にすごいんだよ？ほら、あなたも一度見てみなよ！			ふたりの足取り							
イベントアイテム「尋ね人の人相書き」は、クエスト進行中に使用することで、いつでも閲覧できます。試しに「リセ」の近くで使い、一緒に見てみましょう！			イベントアイテム「尋ね人の人相書き」は、クエスト進行中に使用することで、いつでも閲覧できます。試しに「リセ」の近くで使い、一緒に見てみましょう！			ふたりの足取り							
やっぱり似てるよね……。アルフィノが絵が上手いって本当だったんだ……。			やっぱり似てるよね……。アルフィノが絵が上手いって本当だったんだ……。			ふたりの足取り							
って感心している場合じゃないよね。最初の心当たりは……温泉宿の「望海楼」ってとこみたい。そこの主、「カラク」さんから当たってみよう！			って感心している場合じゃないよね。最初の心当たりは……温泉宿の「望海楼」ってとこみたい。そこの主、「カラク」さんから当たってみよう！			ふたりの足取り							
おいでませ！火傷によし、切り傷によし、皮膚の病によし！海を望む温泉が自慢の宿、「望海楼」へようこそ！			おいでませ！火傷によし、切り傷によし、皮膚の病によし！海を望む温泉が自慢の宿、「望海楼」へようこそ！			ふたりの足取り							
