「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			スカルバレーの女丈夫							
敵の気配を感じた！！			敵の気配を感じた！！			クリスタル破壊命令							
キャンプ・スカルバレーのエイリス中甲士には、配達してほしいものがあるようだ。			キャンプ・スカルバレーのエイリス中甲士には、配達してほしいものがあるようだ。			兄弟仲良くケンカしな							
南北の防波壁に配達を依頼された。北防波壁の兄「ノルトムーン大甲士」に「黒渦団の軍用食」を渡し、南防波壁の弟「スタルレット大甲士」に「黒渦団の軍用食」を渡そう。			南北の防波壁に配達を依頼された。北防波壁の兄「ノルトムーン大甲士」に「黒渦団の軍用食」を渡し、南防波壁の弟「スタルレット大甲士」に「黒渦団の軍用食」を渡そう。			兄弟仲良くケンカしな							
黒渦団の軍用食の配達が終わった。キャンプ・スカルバレーに戻り「エイリス中甲士」に報告しよう。			黒渦団の軍用食の配達が終わった。キャンプ・スカルバレーに戻り「エイリス中甲士」に報告しよう。			兄弟仲良くケンカしな							
犬猿の仲の兄弟に、頭を痛めている様子のエイリス中甲士。だが彼らは、ここぞという場面では、連携して砦の防衛にあたるそうだ。			犬猿の仲の兄弟に、頭を痛めている様子のエイリス中甲士。だが彼らは、ここぞという場面では、連携して砦の防衛にあたるそうだ。			兄弟仲良くケンカしな							
ノルトムーン大甲士に黒渦団の軍用食を渡す			ノルトムーン大甲士に黒渦団の軍用食を渡す			兄弟仲良くケンカしな							
スタルレット大甲士に黒渦団の軍用食を渡す			スタルレット大甲士に黒渦団の軍用食を渡す			兄弟仲良くケンカしな							
エイリス中甲士に報告			エイリス中甲士に報告			兄弟仲良くケンカしな							
このキャンプ・スカルバレーでは、南北ふたつの防波壁の防衛指揮を行っているの。防波壁を同時に守るためには連携が大切よ。			このキャンプ・スカルバレーでは、南北ふたつの防波壁の防衛指揮を行っているの。防波壁を同時に守るためには連携が大切よ。			兄弟仲良くケンカしな							
でも、ふたつの防波壁の防衛隊長をしている兄弟は、いつもケンカばかりしている犬猿の仲なのよねぇ……。			でも、ふたつの防波壁の防衛隊長をしている兄弟は、いつもケンカばかりしている犬猿の仲なのよねぇ……。			兄弟仲良くケンカしな							
南北の防波壁に補給物資を届けてくれるかしら。北防波壁の隊長は「ノルトムーン大甲士」で、南防波壁の隊長は「スタルレット大甲士」よ。			南北の防波壁に補給物資を届けてくれるかしら。北防波壁の隊長は「ノルトムーン大甲士」で、南防波壁の隊長は「スタルレット大甲士」よ。			兄弟仲良くケンカしな							
届けてもらう「黒渦団の軍用食」は、まったく同量にしてあるわ。こうしないとケンカになるのよね……。			届けてもらう「黒渦団の軍用食」は、まったく同量にしてあるわ。こうしないとケンカになるのよね……。			兄弟仲良くケンカしな							
俺が、ノルトムーン大甲士だ。冒険者が何か用か？			俺が、ノルトムーン大甲士だ。冒険者が何か用か？			兄弟仲良くケンカしな							
……おお、物資の配達か、ご苦労さん！どれどれ……んん？　弟のほうが多いんじゃねえか？参謀の奴、いつもヤツを贔屓しやがって！			……おお、物資の配達か、ご苦労さん！どれどれ……んん？　弟のほうが多いんじゃねえか？参謀の奴、いつもヤツを贔屓しやがって！			兄弟仲良くケンカしな							
俺が、スタルレット大甲士だ。冒険者が何か用か？			俺が、スタルレット大甲士だ。冒険者が何か用か？			兄弟仲良くケンカしな							
おお、物資の配達か、ご苦労さん！どれどれ……また塩漬けの魚かよ！……おい、兄貴のとこは新鮮な魚、ってこたねぇだろうな？			おお、物資の配達か、ご苦労さん！どれどれ……また塩漬けの魚かよ！……おい、兄貴のとこは新鮮な魚、ってこたねぇだろうな？			兄弟仲良くケンカしな							
配達ご苦労様でした。あの兄弟、ホントに仲悪かったでしょ？まったく、ふたつの防波壁を束ねる作戦参謀として頭が痛いわ。			配達ご苦労様でした。あの兄弟、ホントに仲悪かったでしょ？まったく、ふたつの防波壁を束ねる作戦参謀として頭が痛いわ。			兄弟仲良くケンカしな							
でもあれで、いざ敵から防波壁を守るってときには、お互い連携して防衛できるんだから不思議よねぇ。……ううん、兄弟って案外そういうものなのかもね。			でもあれで、いざ敵から防波壁を守るってときには、お互い連携して防衛できるんだから不思議よねぇ。……ううん、兄弟って案外そういうものなのかもね。			兄弟仲良くケンカしな							
キャンプ・スカルバレーのエイリス中甲士は、冒険者に手を貸してほしいようだ。			キャンプ・スカルバレーのエイリス中甲士は、冒険者に手を貸してほしいようだ。			防波壁陽動作戦							
北防波壁周辺で陽動作戦をしたいというエイリス中甲士。北防波壁の防衛隊長、兄「ノルトムーン大甲士」から、くわしい作戦内容を聞こう。			北防波壁周辺で陽動作戦をしたいというエイリス中甲士。北防波壁の防衛隊長、兄「ノルトムーン大甲士」から、くわしい作戦内容を聞こう。			防波壁陽動作戦							
陽動作戦について説明を受けた。北防波壁周辺の「トレンチトゥース・サハギン」を2体倒そう。			陽動作戦について説明を受けた。北防波壁周辺の「トレンチトゥース・サハギン」を2体倒そう。			防波壁陽動作戦							
