エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			連載第二回「マメが繋ぐ交流の芽」							
ウィルトウェークに報告し、アラグの錫杖を返却した。彼の話では、どうやら事件の黒幕は錬金術師であり、拐った人々を使って、おぞましい人体実験を試みていたようだ。これからもウィルトウェークらとともに、危険な錬金術師を追いつめていこう。※錬金術師のレベルが58以上になると、レヴナンツトールのウィルトウェークから次の錬金術師クエストを受注することができます。			ウィルトウェークに報告し、アラグの錫杖を返却した。彼の話では、どうやら事件の黒幕は錬金術師であり、拐った人々を使って、おぞましい人体実験を試みていたようだ。これからもウィルトウェークらとともに、危険な錬金術師を追いつめていこう。※錬金術師のレベルが58以上になると、レヴナンツトールのウィルトウェークから次の錬金術師クエストを受注することができます。			ココロツヨキオンナ							
ロウェナ記念会館でチャネネと合流			ロウェナ記念会館でチャネネと合流			ココロツヨキオンナ							
知力の錬金溶剤G1を製作ロウェナに知力の錬金溶剤G1を納品			知力の錬金溶剤G1を製作ロウェナに知力の錬金溶剤G1を納品			ココロツヨキオンナ							
ウィルトウェークに報告			ウィルトウェークに報告			ココロツヨキオンナ							
錬金術師ギルドのセヴェリアンにアラグの錫杖を見せる			錬金術師ギルドのセヴェリアンにアラグの錫杖を見せる			ココロツヨキオンナ							
レヴナンツトールのウィルトウェークにアラグの錫杖を渡す			レヴナンツトールのウィルトウェークにアラグの錫杖を渡す			ココロツヨキオンナ							
いいところに来たな……君に報告がふたつある！まずは、先に捕縛した「近東風の若者」についての続報だ。いまだに自失状態が続いていて、取り調べができる状況にない。			いいところに来たな……君に報告がふたつある！まずは、先に捕縛した「近東風の若者」についての続報だ。いまだに自失状態が続いていて、取り調べができる状況にない。			ココロツヨキオンナ							
可能性として考えられるのは、犯罪集団の下っ端……または、最近相次いでいる失踪事件の被害者で、口封じに記憶を失わせる薬でも飲まされた……というところだ。			可能性として考えられるのは、犯罪集団の下っ端……または、最近相次いでいる失踪事件の被害者で、口封じに記憶を失わせる薬でも飲まされた……というところだ。			ココロツヨキオンナ							
ただ、届出があったなかに、該当しそうな失踪者はいなかった。つまりは身許不明のまま、というわけだ。そして、もうひとつ……これは、たったいま入った情報だ！			ただ、届出があったなかに、該当しそうな失踪者はいなかった。つまりは身許不明のまま、というわけだ。そして、もうひとつ……これは、たったいま入った情報だ！			ココロツヨキオンナ							
先に聖コイナク財団から盗まれた品のひとつが、「ロウェナ」さんの店に持ち込まれたらしい！事情を聞きにチャネネが向かったから、君も立ち会ってくれ！			先に聖コイナク財団から盗まれた品のひとつが、「ロウェナ」さんの店に持ち込まれたらしい！事情を聞きにチャネネが向かったから、君も立ち会ってくれ！			ココロツヨキオンナ							
しかし……地元の商会に盗品を持ち込むとは、すぐに足がつくということを考えなかったのか。どうも、これまでに比べて、手口が稚拙すぎるようだが……。			しかし……地元の商会に盗品を持ち込むとは、すぐに足がつくということを考えなかったのか。どうも、これまでに比べて、手口が稚拙すぎるようだが……。			ココロツヨキオンナ							
先に聖コイナク財団から盗まれた品のひとつが、「ロウェナ」さんの店に持ち込まれたらしい！事情を聞きにチャネネが向かったから、君も立ち会ってくれ！			先に聖コイナク財団から盗まれた品のひとつが、「ロウェナ」さんの店に持ち込まれたらしい！事情を聞きにチャネネが向かったから、君も立ち会ってくれ！			ココロツヨキオンナ							
買い取った品に、盗品が混じっていてね。厄介なことになっているのよ。			買い取った品に、盗品が混じっていてね。厄介なことになっているのよ。			ココロツヨキオンナ							
