アルフィノは、今後について冒険者と話がしたいようだ。									アルフィノは、今後について冒険者と話がしたいようだ。	イシュガルドへ
私は、もう少しこの酒場に留まりまっす。皆さんは、先に戻ってくださいでっす。									私は、もう少しこの酒場に留まりまっす。皆さんは、先に戻ってくださいでっす。	わだかまる雲霧
と、とんでもない！このような場所に、レディひとりを残しておくだなんて！									と、とんでもない！このような場所に、レディひとりを残しておくだなんて！	わだかまる雲霧
……何か考えがありそうだね、タタル。									……何か考えがありそうだね、タタル。	わだかまる雲霧
はいでっす！ざざっと店内を見たのでっすが、この酒場には、商人さんや荷運び人さんたちも出入りしているようでっす。									はいでっす！ざざっと店内を見たのでっすが、この酒場には、商人さんや荷運び人さんたちも出入りしているようでっす。	わだかまる雲霧
そういった方と仲良くなれば、いろいろと「外」の情報も入ってくると思うのでっす。									そういった方と仲良くなれば、いろいろと「外」の情報も入ってくると思うのでっす。	わだかまる雲霧
ふむ、なるほどね。……とはいえ、ひとりで大丈夫なのかい？									ふむ、なるほどね。……とはいえ、ひとりで大丈夫なのかい？	わだかまる雲霧
砂の家と石の家で、幾千の不審者たちを門前払いにしてきた、「暁の受付」の実力を見せるときでっす！心配はご無用なのでっす！									砂の家と石の家で、幾千の不審者たちを門前払いにしてきた、「暁の受付」の実力を見せるときでっす！心配はご無用なのでっす！	わだかまる雲霧
安心しな、詳しい事情は知らんが、客に手出しはさせねぇよ。目を光らせてっから、気が済むまでゆっくりしていきな。									安心しな、詳しい事情は知らんが、客に手出しはさせねぇよ。目を光らせてっから、気が済むまでゆっくりしていきな。	わだかまる雲霧
……と、言うことだそうだ。我々は一足先に「フォルタン家の屋敷」に戻るとしよう。タタル、何かあったらリンクパールで報せてくれ。									……と、言うことだそうだ。我々は一足先に「フォルタン家の屋敷」に戻るとしよう。タタル、何かあったらリンクパールで報せてくれ。	わだかまる雲霧
了解でっす！									了解でっす！	わだかまる雲霧
人を見る目には、自信があるでっす。しっかり情報収集をしてみせまっす！									人を見る目には、自信があるでっす。しっかり情報収集をしてみせまっす！	わだかまる雲霧
皇都「イシュガルド」、気に入っていただけたかな？									皇都「イシュガルド」、気に入っていただけたかな？	わだかまる雲霧
おっ、酒の香りをさせてんな？さっそく、一杯ひっかけてくるたぁ、なかなかやるな。気が合いそうで、嬉しいかぎりだぜ。									おっ、酒の香りをさせてんな？さっそく、一杯ひっかけてくるたぁ、なかなかやるな。気が合いそうで、嬉しいかぎりだぜ。	わだかまる雲霧
ぼ、僕のような使用人のことなど、お気になさらないでくださいっ……。									ぼ、僕のような使用人のことなど、お気になさらないでくださいっ……。	わだかまる雲霧
いかがだったかな、皇都「イシュガルド」は。									いかがだったかな、皇都「イシュガルド」は。	わだかまる雲霧
噂以上に壮麗な都でした。千年の歴史の重みを感じると同時に、下層の被害を見て、ドラゴン族の脅威もまた肌で感じました。									噂以上に壮麗な都でした。千年の歴史の重みを感じると同時に、下層の被害を見て、ドラゴン族の脅威もまた肌で感じました。	わだかまる雲霧
うむ……先日のドラゴン族の侵攻は、我らイシュガルドの貴族にとっても衝撃的であった。民衆に多くの犠牲が出たことは、痛恨の極みと言えよう。									うむ……先日のドラゴン族の侵攻は、我らイシュガルドの貴族にとっても衝撃的であった。民衆に多くの犠牲が出たことは、痛恨の極みと言えよう。	わだかまる雲霧
