石の家のアルフィノは、考え込んでいるようだ。									石の家のアルフィノは、考え込んでいるようだ。	長城を越えて
じゃあ、まずは滝壺の方に行ってみようか。あの辺りには、休憩中の闘士たちもよく来るんだ。きっと、珍しい種族の仲間も、見ることができると思うよ。									じゃあ、まずは滝壺の方に行ってみようか。あの辺りには、休憩中の闘士たちもよく来るんだ。きっと、珍しい種族の仲間も、見ることができると思うよ。	壊神の拳が届く場所
アラミゴ解放軍に協力する酒保商人が来てるみたい。私たちとも、取引してくれるそうよ。									アラミゴ解放軍に協力する酒保商人が来てるみたい。私たちとも、取引してくれるそうよ。	壊神の拳が届く場所
「酒保商人(しゅほしょうにん)」というのは、軍隊や傭兵団といっしょに移動し、物資を用立てる商人のことさ。彼らの活躍なしに、どんな軍隊も行動はできないだろうね。									「酒保商人(しゅほしょうにん)」というのは、軍隊や傭兵団といっしょに移動し、物資を用立てる商人のことさ。彼らの活躍なしに、どんな軍隊も行動はできないだろうね。	壊神の拳が届く場所
水しぶきが気持ちいいから、ここは人気の休憩場所なんだ。アタシも含めて、ギラバニアの主要部族ハイランダーには、暑がりが多いからさ……。									水しぶきが気持ちいいから、ここは人気の休憩場所なんだ。アタシも含めて、ギラバニアの主要部族ハイランダーには、暑がりが多いからさ……。	壊神の拳が届く場所
部族と言えば、解放軍の半数はハイランダーじゃないかな。ほかにはアバラシア山脈を根拠地にするローエンガルデや、メ・ナーゴみたいなサンシーカーのミコッテ族もいるよ。									部族と言えば、解放軍の半数はハイランダーじゃないかな。ほかにはアバラシア山脈を根拠地にするローエンガルデや、メ・ナーゴみたいなサンシーカーのミコッテ族もいるよ。	壊神の拳が届く場所
それから、アナンタ族！ほら下半身がニョロニョロっとした獣人種族がいるでしょ？彼女たちも、大切な仲間なんだ。									それから、アナンタ族！ほら下半身がニョロニョロっとした獣人種族がいるでしょ？彼女たちも、大切な仲間なんだ。	壊神の拳が届く場所
アナンタ族の大半は、戦いを嫌ってるんだけど、一部の人たちが、勇気を出して解放軍に参加してくれていてね。									アナンタ族の大半は、戦いを嫌ってるんだけど、一部の人たちが、勇気を出して解放軍に参加してくれていてね。	壊神の拳が届く場所
魔法を使って金属の造形をする不思議な種族で、彼女たちが作った装飾具は、どれもすごく綺麗なんだ。ギラバニア以外の土地では、あまり知られていないんだけど……。									魔法を使って金属の造形をする不思議な種族で、彼女たちが作った装飾具は、どれもすごく綺麗なんだ。ギラバニア以外の土地では、あまり知られていないんだけど……。	壊神の拳が届く場所
それじゃ、次に行こうか。「壊神ラールガー像」を見に行こう。									それじゃ、次に行こうか。「壊神ラールガー像」を見に行こう。	壊神の拳が届く場所
ここがエーテライト・プラザ……。アラミゴの国教「ラールガー星導教」の総本山だった場所だから、エオルゼアでも、早い時期にエーテライトが置かれたみたい。									ここがエーテライト・プラザ……。アラミゴの国教「ラールガー星導教」の総本山だった場所だから、エオルゼアでも、早い時期にエーテライトが置かれたみたい。	壊神の拳が届く場所
