石の家のタタルは、冒険者に聞きたいことがあるようだ。									石の家のタタルは、冒険者に聞きたいことがあるようだ。	生命力の揺らぎ
解決の糸口があるかもしれないなら、もちろん案内するわ。……でも、彼らの闘病の邪魔だけはしないでね。									解決の糸口があるかもしれないなら、もちろん案内するわ。……でも、彼らの闘病の邪魔だけはしないでね。	ベーク＝ラグの見立て
……ふむ、安心してほしい。隠遁生活を続けていたとはいえ、礼儀はわきまえておるつもりだ。									……ふむ、安心してほしい。隠遁生活を続けていたとはいえ、礼儀はわきまえておるつもりだ。	ベーク＝ラグの見立て
そういうことなら、私は、ウリエンジェに合流して、白聖石の生成準備を手伝うわ。大勢で押しかけるような場所でもないしね……。									そういうことなら、私は、ウリエンジェに合流して、白聖石の生成準備を手伝うわ。大勢で押しかけるような場所でもないしね……。	ベーク＝ラグの見立て
私も、そちらの方が役に立てそうだな。「旅立ちの宿」への案内は、あなたたちに任せても？									私も、そちらの方が役に立てそうだな。「旅立ちの宿」への案内は、あなたたちに任せても？	ベーク＝ラグの見立て
では、ベーク＝ラグ殿。アム・アレーンの「旅立ちの宿」へ、私たち3人がお供いたしましょう。									では、ベーク＝ラグ殿。アム・アレーンの「旅立ちの宿」へ、私たち3人がお供いたしましょう。	ベーク＝ラグの見立て
いま話した内容を、より深く吟味すれば、白聖石自体の構造や生成法そのものを、より適正にできるかもしれないわね。									いま話した内容を、より深く吟味すれば、白聖石自体の構造や生成法そのものを、より適正にできるかもしれないわね。	ベーク＝ラグの見立て
世界から光が払われたと言っても、「旅立ちの宿」の人々が、すぐに快復するわけではない。歯がゆい状況ではあるがね……。									世界から光が払われたと言っても、「旅立ちの宿」の人々が、すぐに快復するわけではない。歯がゆい状況ではあるがね……。	ベーク＝ラグの見立て
ベーク＝ラグが、一番重篤な患者に会いたいって。ハルリクも、微かに声を発するくらいには、回復してきているんだけどね。									ベーク＝ラグが、一番重篤な患者に会いたいって。ハルリクも、微かに声を発するくらいには、回復してきているんだけどね。	ベーク＝ラグの見立て
大罪喰いはすべて倒したんだ。彼らの症状も、年月が解決するものだと信じたいが……。									大罪喰いはすべて倒したんだ。彼らの症状も、年月が解決するものだと信じたいが……。	ベーク＝ラグの見立て
…………う……ぅー……。									…………う……ぅー……。	ベーク＝ラグの見立て
ふむ、彼が最も重篤な子……ハルリクか。なるほど、聞いたとおり、体内エーテルが光に侵されておる……。									ふむ、彼が最も重篤な子……ハルリクか。なるほど、聞いたとおり、体内エーテルが光に侵されておる……。	ベーク＝ラグの見立て
そう、光……すなわち、停滞の光だ。									そう、光……すなわち、停滞の光だ。	ベーク＝ラグの見立て
停滞……それは、「光の氾濫」以後、この世界を蝕んでいた……									停滞……それは、「光の氾濫」以後、この世界を蝕んでいた……	ベーク＝ラグの見立て
うむ、この者たちは光の力によって、魂と生命力の源たるエーテルが不活性化しつつある状態だ。その果てにあるのが、罪喰い化というわけだな……。									うむ、この者たちは光の力によって、魂と生命力の源たるエーテルが不活性化しつつある状態だ。その果てにあるのが、罪喰い化というわけだな……。	ベーク＝ラグの見立て
でも、天を覆っていた光はForenameが退けたわ。これ以上、患者たちのエーテルが光に偏ることはないはず。その証拠に……回復の兆しだって。									でも、天を覆っていた光はForenameが退けたわ。これ以上、患者たちのエーテルが光に偏ることはないはず。その証拠に……回復の兆しだって。	ベーク＝ラグの見立て
