フォルタン家の騎兵は、話したいことがあるようだ。									フォルタン家の騎兵は、話したいことがあるようだ。	戦う者たちの休息
第七霊災の真実を求める旅も、まだ終わってはいないけれど、こちらの都合を顧みずにあなたを借りていくほど、私も考えなしではないつもりよ。									第七霊災の真実を求める旅も、まだ終わってはいないけれど、こちらの都合を顧みずにあなたを借りていくほど、私も考えなしではないつもりよ。	ルヴェユールの双子
あなたと、かの大迷宮に挑むためにも、今は闇の戦士の問題解決に、全力で協力させてもらうわ。									あなたと、かの大迷宮に挑むためにも、今は闇の戦士の問題解決に、全力で協力させてもらうわ。	ルヴェユールの双子
本当は、まだ合流するつもりじゃなかったんだけどね。旅立つ前に、あなたに話したこと……私もエオルゼアの剣になりたいって目標が、道半ばだから。									本当は、まだ合流するつもりじゃなかったんだけどね。旅立つ前に、あなたに話したこと……私もエオルゼアの剣になりたいって目標が、道半ばだから。	ルヴェユールの双子
それでも、全力は尽くすわ。また、近くでいろいろと学ばせてちょうだい。									それでも、全力は尽くすわ。また、近くでいろいろと学ばせてちょうだい。	ルヴェユールの双子
アリゼーに何と言う？									アリゼーに何と言う？	ルヴェユールの双子
こちらこそ、よろしく！									こちらこそ、よろしく！	ルヴェユールの双子
ほかにもどこかで縁がなかった？									ほかにもどこかで縁がなかった？	ルヴェユールの双子
お手並み拝見だ									お手並み拝見だ	ルヴェユールの双子
そういえば……ウルダハの「戦勝祝賀会」から逃げるためのキャリッジは、君が手配してくれたのかい？									そういえば……ウルダハの「戦勝祝賀会」から逃げるためのキャリッジは、君が手配してくれたのかい？	ルヴェユールの双子
確か、ルヴェユール家の子女から頼まれたと、同乗した商人が言っていたと思うのだが……。									確か、ルヴェユール家の子女から頼まれたと、同乗した商人が言っていたと思うのだが……。	ルヴェユールの双子
ああ、偶然、きな臭いことになってるって知ったからね。知っていて見過ごすのもなんだし。……今回は私が助けてもらったから、貸し借りはチャラよ。									ああ、偶然、きな臭いことになってるって知ったからね。知っていて見過ごすのもなんだし。……今回は私が助けてもらったから、貸し借りはチャラよ。	ルヴェユールの双子
……やはり君は変わったよ、アリゼー。その様子だと、君の中で、エオルゼアは守るに足るものだと判断されたのかな。									……やはり君は変わったよ、アリゼー。その様子だと、君の中で、エオルゼアは守るに足るものだと判断されたのかな。	ルヴェユールの双子
私の力でエオルゼアを守ることができると思えるほど、もう身の程知らずじゃないわ。戦う意味にも、絶対の真理が見いだせたわけじゃない。									私の力でエオルゼアを守ることができると思えるほど、もう身の程知らずじゃないわ。戦う意味にも、絶対の真理が見いだせたわけじゃない。	ルヴェユールの双子
ただ、私は、今日を後悔しないためにここに来た。今はそれがすべてよ。									ただ、私は、今日を後悔しないためにここに来た。今はそれがすべてよ。	ルヴェユールの双子
……十分な返事だよ。それでは、「砂の家」へと出発することにしよう。ウリエンジェから、蛮神召喚についての動向を聞くんだ。									……十分な返事だよ。それでは、「砂の家」へと出発することにしよう。ウリエンジェから、蛮神召喚についての動向を聞くんだ。	ルヴェユールの双子
